Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5,0.359,0.362,7,-7.414,1,0.0276,0.815,0,0.313,0.382,92.18,390387
5,0.557,0.746,8,-6.783,1,0.0306,0.0144,0,0.252,0.327,103.492,441547
5,0.446,0.316,9,-10.864,1,0.0329,0.252,0,0.119,0.116,123.797,425800
5,0.4,0.596,8,-6.377,1,0.0407,0.127,0,0.384,0.264,99.717,406440
5,0.309,0.613,9,-8.119,0,0.0375,0.146,0.00136,0.0811,0.147,137.38,422333
5,0.296,0.365,0,-8.881,1,0.0316,0.53,0,0.0964,0.256,135.173,733283
5,0.177,0.513,7,-8.675,1,0.0353,0.549,0.0228,0.303,0.217,157.012,314747
5,0.314,0.798,3,-5.851,1,0.0544,0.022,3.63E-06,0.362,0.336,150.129,384760
5,0.37,0.553,3,-6.112,0,0.0294,0.057,1.84E-06,0.0917,0.114,110.657,333903
5,0.55,0.442,0,-5.708,1,0.0313,0.573,0,0.138,0.248,123.744,386560
5,0.45,0.494,1,-6.311,1,0.0287,0.252,0,0.666,0.158,146.947,297680
5,0.517,0.613,3,-5.804,1,0.031,0.65,0,0.281,0.387,134.002,297726
5,0.362,0.685,9,-6.53,1,0.0535,0.0155,0,0.569,0.161,113.023,498427
5,0.431,0.382,6,-8.367,0,0.0308,0.615,0.00164,0.16,0.0576,129.857,360188
5,0.463,0.457,0,-7.034,1,0.0322,0.379,0,0.289,0.167,113.897,271209
5,0.283,0.506,4,-8.891,1,0.0368,0.185,0,0.23,0.186,139.304,578926
5,0.483,0.568,7,-8.57,1,0.0392,0.127,0,0.12,0.0807,129.988,398563
5,0.481,0.462,9,-8.316,1,0.0307,0.0794,0.000459,0.141,0.0944,136.131,342960
5,0.473,0.445,4,-9.815,1,0.0372,0.168,1.43E-06,0.221,0.192,130.001,429332
5,0.294,0.67,6,-6.511,1,0.0403,0.0102,0,0.202,0.211,141.688,436613
5,0.312,0.451,2,-7.388,1,0.0336,0.275,0,0.439,0.179,125.103,495013
5,0.552,0.479,9,-6.889,1,0.0263,0.418,0,0.0963,0.242,131.921,315587
5,0.304,0.406,0,-10.13,0,0.0314,0.141,2.07E-06,0.175,0.147,136.122,465885
5,0.382,0.623,4,-6.085,1,0.0328,0.138,0,0.487,0.173,84.902,431080
5,0.492,0.435,4,-8.633,0,0.0292,0.107,0,0.948,0.11,139.989,411000
5,0.54,0.833,6,-4.432,1,0.0453,0.0363,0,0.952,0.151,115.983,325200
5,0.427,0.614,2,-6.674,1,0.0277,0.136,1.99E-06,0.744,0.13,144.061,310067
5,0.327,0.731,8,-5.821,1,0.0398,0.322,8.66E-06,0.267,0.0792,132.76,562388
5,0.532,0.749,0,-6.712,1,0.0284,0.00352,0.00237,0.731,0.204,113.971,365093
5,0.489,0.46,9,-8.181,1,0.0289,0.491,0,0.6,0.239,139.745,368347
5,0.613,0.473,7,-6.548,1,0.0305,0.124,0,0.0842,0.157,129.788,420977
5,0.441,0.573,0,-7.924,1,0.0311,0.017,1.23E-06,0.707,0.118,131.042,447843
5,0.628,0.535,4,-7.541,1,0.0412,0.548,0,0.0875,0.19,131.961,235173
5,0.279,0.597,2,-6.269,0,0.0398,0.405,0,0.697,0.365,140.192,399244
5,0.484,0.388,7,-11.161,1,0.0478,0.775,0,0.752,0.289,119.78,240707
5,0.519,0.613,6,-8.715,0,0.037,0.242,0,0.129,0.268,125.009,360500
5,0.426,0.618,4,-7.159,1,0.0396,0.625,5.55E-06,0.484,0.209,135.963,513960
5,0.433,0.446,0,-9.076,1,0.0306,0.128,3.18E-05,0.621,0.101,114.979,499360
5,0.315,0.607,11,-6.879,1,0.0372,0.439,1.73E-06,0.705,0.177,143.538,507213
5,0.361,0.468,7,-8.037,1,0.0301,0.149,0.00207,0.117,0.0972,143.892,404667
5,0.333,0.377,10,-9.522,1,0.0289,0.553,0,0.0978,0.214,154.61,307742
5,0.512,0.32,8,-9.227,0,0.0313,0.586,0,0.113,0.131,132.149,314640
5,0.557,0.639,3,-6.181,1,0.0329,0.569,0,0.216,0.446,131.915,224560
5,0.498,0.644,9,-6.284,1,0.0339,0.0368,0,0.683,0.209,128.146,471733
5,0.419,0.576,4,-6.402,1,0.0339,0.427,0,0.318,0.408,131.594,426747
5,0.454,0.444,1,-7.74,0,0.0271,0.438,0,0.956,0.168,138.033,349267
5,0.52,0.474,11,-7.357,1,0.0259,0.72,0,0.384,0.264,88.029,261178
5,0.34,0.592,8,-4.87,1,0.0319,0.315,0,0.416,0.255,135.899,284862
5,0.433,0.269,0,-9.261,1,0.04,0.824,0,0.11,0.354,120.225,259853
5,0.473,0.304,4,-13.385,1,0.0781,0.834,0,0.607,0.293,103.642,277680
