Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,270587
6,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,325507
6,0.889,0.816,9,-4.67,1,0.247,0.472,0,0.204,0.777,96.056,302693
6,0.479,0.549,11,-10.551,0,0.373,0.57,0.0239,0.127,0.576,180.985,252187
6,0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,161507
6,0.778,0.578,9,-7.22,0,0.274,0.432,0,0.138,0.758,84.487,252747
6,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,260000
6,0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,278387
6,0.849,0.521,11,-12.999,0,0.216,0.304,1.65E-06,0.115,0.763,95.265,248867
6,0.897,0.612,11,-10.489,1,0.211,0.0297,0.186,0.0894,0.767,102.305,208267
6,0.875,0.745,1,-5.878,1,0.269,0.0227,2.37E-06,0.287,0.749,95.201,217440
6,0.813,0.703,11,-5.077,0,0.268,0.125,1.26E-06,0.237,0.241,94.828,224533
6,0.834,0.878,8,-9.484,1,0.15,0.0461,0,0.334,0.418,102.848,258688
6,0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099,293973
6,0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695,211493
6,0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,229827
6,0.873,0.719,1,-5.948,1,0.248,0.03,0,0.333,0.858,93.281,307773
6,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,222293
6,0.724,0.853,11,-3.895,0,0.283,0.0164,0,0.65,0.775,170.51,332733
6,0.934,0.735,1,-6.668,1,0.251,0.031,8.60E-06,0.107,0.768,101.368,273107
6,0.859,0.75,8,-8.325,0,0.303,0.0193,0,0.0538,0.857,98.691,345717
6,0.875,0.658,0,-3.641,1,0.359,0.275,0,0.122,0.661,92.039,274093
6,0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.387,79.974,240693
6,0.826,0.566,10,-10.747,0,0.31,0.197,0,0.356,0.653,99.13,216133
6,0.785,0.479,3,-10.247,1,0.362,0.0417,3.50E-05,0.334,0.727,87.691,339893
6,0.692,0.833,7,-3.974,1,0.0492,0.000136,1.98E-05,0.515,0.692,96.814,246320
6,0.828,0.686,11,-5.689,0,0.218,0.273,0,0.524,0.617,91.713,319373
6,0.777,0.957,11,-3.201,0,0.318,0.18,0,0.296,0.543,105.755,313053
6,0.803,0.784,11,-5.97,0,0.198,0.0012,0.000161,0.0794,0.801,90.185,296907
6,0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926,253533
6,0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997,308733
6,0.678,0.794,10,-6.186,0,0.14,0.274,1.68E-06,0.124,0.54,87.374,290573
6,0.894,0.698,6,-8.264,0,0.275,0.0279,3.56E-06,0.329,0.695,98.104,336917
6,0.772,0.821,11,-0.14,0,0.25,0.223,0,0.148,0.77,91.921,244200
6,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,232773
6,0.843,0.7,9,-3.249,0,0.26,0.127,0,0.876,0.675,95.05,293053
6,0.797,0.852,0,-2.234,1,0.172,0.0432,3.97E-06,0.409,0.674,95.416,330760
6,0.906,0.775,2,-5.775,1,0.268,0.0831,2.74E-05,0.15,0.838,100.054,221373
6,0.817,0.552,8,-10.8,0,0.386,0.032,7.17E-06,0.826,0.808,102.011,291067
6,0.614,0.543,5,-7.178,1,0.374,0.00776,3.28E-05,0.383,0.485,178.422,234093
6,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.10E-06,0.203,0.904,104.536,257400
6,0.836,0.484,2,-7.332,1,0.327,0.0454,0,0.0557,0.839,95.941,222933
6,0.801,0.699,11,-8.18,0,0.279,0.00575,0,0.146,0.655,94.605,238467
6,0.771,0.912,1,-5.06,1,0.141,0.0136,1.38E-06,0.0632,0.616,92.516,302200
6,0.787,0.671,1,-5.308,0,0.0904,0.00132,0,0.0783,0.637,81.897,242107
6,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43E-06,0.0519,0.523,93.908,282373
6,0.756,0.53,7,-9.639,1,0.142,0.00138,0.00701,0.323,0.524,79.855,274307
6,0.804,0.443,6,-10.268,0,0.134,0.0312,0.0225,0.112,0.58,92.035,203027
6,0.711,0.62,11,-10.174,0,0.212,0.0175,0,0.134,0.805,179.817,217627
6,0.712,0.772,10,-3.024,0,0.346,0.0521,4.35E-06,0.0368,0.848,84.722,249480
