Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7,0.376,0.0222,11,-26.348,1,0.0563,0.995,0.936,0.124,0.229,72.772,187399
7,0.497,0.409,5,-14.42,0,0.0333,0.012,0.802,0.113,0.168,170.046,121419
7,0.597,0.304,10,-13.681,1,0.0299,0.908,0.898,0.141,0.434,139.688,175959
7,0.664,0.12,10,-16.577,1,0.0431,0.981,0.922,0.113,0.274,119.744,223000
7,0.302,0.0134,10,-27.372,1,0.0418,0.991,0.925,0.129,0.433,85.572,139052
7,0.483,0.193,1,-16.57,0,0.0344,0.933,0.95,0.101,0.205,85.137,202147
7,0.72,0.302,1,-17.8,1,0.0363,0.954,0.937,0.0995,0.535,117.881,218910
7,0.372,0.168,5,-22.966,1,0.0319,0.738,0.729,0.0917,0.195,96.074,465133
7,0.457,0.102,5,-20.175,0,0.04,0.977,0.858,0.108,0.199,114.279,243334
7,0.794,0.325,4,-12.578,0,0.0499,0.581,0.000544,0.306,0.314,100.014,243451
7,0.536,0.0572,5,-21.435,0,0.0452,0.973,0.919,0.115,0.178,137.15,240960
7,0.484,0.17,0,-15.033,0,0.0358,0.927,0.911,0.112,0.164,107.194,337986
7,0.351,0.244,9,-10.019,1,0.0318,0.977,0.0749,0.107,0.31,68.92,223908
7,0.576,0.328,5,-10.995,1,0.0367,0.95,0.795,0.106,0.231,117.239,377500
7,0.316,0.0105,6,-22.864,1,0.0385,0.992,0.864,0.09,0.176,66.492,228513
7,0.495,0.359,7,-8.175,0,0.0299,0.85,0.684,0.102,0.296,102.423,137317
7,0.747,0.476,4,-10.945,1,0.0577,0.772,0.183,0.321,0.664,149.89,149954
7,0.411,0.449,9,-15.659,0,0.0318,0.548,0.609,0.0814,0.579,144,250000
7,0.493,0.297,4,-18.663,0,0.0335,0.892,0.964,0.11,0.525,125.543,279000
7,0.373,0.183,5,-18.031,0,0.0356,0.922,0.8,0.0934,0.144,185.057,316098
7,0.646,0.237,4,-13.886,0,0.0601,0.828,0.845,0.0961,0.537,85.199,185747
7,0.386,0.106,0,-19.209,0,0.0308,0.977,0.941,0.121,0.16,101.784,301500
7,0.578,0.0801,8,-20.314,1,0.0501,0.966,0.539,0.106,0.0747,105.706,242067
7,0.397,0.287,7,-16.476,1,0.0346,0.624,0.663,0.0614,0.321,83.015,236000
7,0.812,0.358,5,-9.313,1,0.0482,0.886,0.901,0.158,0.688,120.006,219750
7,0.446,0.188,7,-17.215,0,0.0303,0.786,0.0916,0.104,0.0988,107.147,258227
7,0.485,0.0422,9,-21.347,0,0.0345,0.96,0.869,0.0954,0.246,80.473,213893
7,0.402,0.647,5,-12.533,1,0.0341,0.353,0.00124,0.284,0.792,96.064,205453
7,0.732,0.226,1,-15.145,0,0.0452,0.562,0.866,0.0752,0.181,85.289,151901
7,0.518,0.0493,9,-26.565,0,0.0346,0.9,0.879,0.349,0.16,61.908,375094
7,0.664,0.233,7,-20.362,0,0.0488,0.397,0.775,0.0801,0.876,143.914,200867
7,0.423,0.22,0,-13.499,0,0.0298,0.949,0.854,0.12,0.152,107.595,438625
7,0.431,0.174,0,-19.689,1,0.0373,0.936,0.897,0.109,0.108,107.63,301595
7,0.487,0.12,10,-20.964,1,0.04,0.892,0.853,0.0996,0.131,56.822,314763
7,0.754,0.148,5,-17.648,1,0.0554,0.922,0.328,0.107,0.412,120.895,219000
7,0.397,0.217,7,-16.94,0,0.03,0.905,0.23,0.083,0.169,61.49,343750
7,0.403,0.13,2,-14.665,1,0.0374,0.969,0.804,0.125,0.0904,137.726,365880
7,0.518,0.128,0,-17.5,1,0.0335,0.939,0.912,0.115,0.118,115.794,318879
7,0.559,0.2,0,-17.49,0,0.0372,0.945,0.505,0.121,0.305,124.408,352250
7,0.521,0.0362,0,-18.862,0,0.0597,0.995,0.959,0.14,0.105,62.649,134670
7,0.503,0.179,7,-18.691,0,0.0545,0.742,0.915,0.126,0.667,167.594,216500
7,0.542,0.101,0,-17.675,1,0.0457,0.988,0.944,0.0936,0.44,73.782,182253
7,0.553,0.332,7,-8.588,0,0.0324,0.896,0.595,0.353,0.4,119.511,190963
7,0.515,0.184,0,-16.969,1,0.0426,0.858,0.18,0.12,0.218,122.744,381051
7,0.519,0.151,5,-20.193,0,0.0412,0.977,0.952,0.0972,0.342,141.725,190598
7,0.76,0.207,8,-14.373,1,0.033,0.748,0.85,0.135,0.284,85.257,137957
7,0.445,0.144,1,-17.051,1,0.0367,0.929,0.664,0.164,0.206,138.898,304293
7,0.563,0.209,5,-17.847,1,0.0389,0.858,0.0654,0.121,0.764,137.327,202500
7,0.358,0.0482,11,-18.887,1,0.0452,0.994,0.941,0.109,0.366,74.878,170496
7,0.652,0.796,8,-9.88,1,0.0349,0.447,0.876,0.079,0.756,90.013,224627
