Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
9,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713
9,0.765,0.523,2,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,104.988,217307
9,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63E-05,0.135,0.163,99.988,205947
9,0.717,0.73,9,-4.729,0,0.0568,0.383,0,0.398,0.792,102.002,251173
9,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
9,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33E-05,0.134,0.797,100.066,208787
9,0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,199440
9,0.694,0.853,7,-3.986,1,0.0934,0.136,0,0.322,0.501,106.098,199773
9,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41E-05,0.189,0.454,122.956,212733
9,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,206693
9,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781
9,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,261154
9,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667
9,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147
9,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160
9,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,187973
9,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347
9,0.534,0.613,8,-7.41,0,0.0591,0.234,0,0.227,0.528,144.878,194893
9,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,197993
9,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,216409
9,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983
9,0.679,0.587,7,-7.015,1,0.276,0.141,6.35E-06,0.137,0.486,186.003,230453
9,0.738,0.794,11,-4.118,0,0.0416,0.101,0,0.0533,0.566,104.014,184134
9,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96E-05,0.14,0.106,117.97,247160
9,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66E-06,0.0939,0.219,99.99,221507
9,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827
9,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,220883
9,0.446,0.8,0,-5.404,1,0.174,0.0814,0,0.199,0.474,189.89,237733
9,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,288600
9,0.555,0.662,11,-4.952,0,0.0827,0.125,0,0.111,0.356,148.128,208733
9,0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.595,112.956,223504
9,0.667,0.83,0,-5.715,1,0.0749,0.0123,0,0.191,0.701,113.03,236002
9,0.766,0.709,9,-6.471,0,0.123,0.204,1.41E-05,0.126,0.506,128.07,211853
9,0.819,0.913,4,-3.059,0,0.0427,0.0935,3.72E-05,0.161,0.536,119.989,219160
9,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,223413
9,0.873,0.495,6,-5.446,1,0.0518,0.199,0,0.0805,0.546,106.033,202062
9,0.735,0.425,0,-6.648,1,0.0466,0.011,0,0.055,0.848,85.894,188174
9,0.743,0.735,8,-5.337,1,0.0382,0.00389,0,0.304,0.631,104.979,189467
9,0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.979,204173
9,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000
9,0.705,0.64,11,-6.928,0,0.225,0.0237,0,0.262,0.887,144.077,203760
9,0.965,0.414,1,-6.408,1,0.0713,0.189,0,0.0767,0.728,121.032,214648
9,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400
9,0.489,0.588,1,-6.177,1,0.0507,0.0285,2.11E-06,0.0906,0.187,113.617,269600
9,0.683,0.53,5,-4.918,0,0.142,0.207,0,0.394,0.645,75.016,190428
9,0.334,0.617,6,-5.834,0,0.383,0.334,0,0.163,0.603,85.227,216391
9,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613
9,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64E-05,0.0813,0.343,139.934,231907
9,0.649,0.798,2,-4.346,1,0.178,0.226,0,0.0711,0.857,177.899,230413
9,0.697,0.506,8,-4.863,1,0.0325,0.0792,0,0.0893,0.516,100.002,211364
