Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
10,0.686,0.588,7,-8.343,0,0.0554,0.178,0,0.0954,0.617,94.519,249120
10,0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,223440
10,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160
10,0.452,0.574,6,-8.336,1,0.31,0.246,0,0.189,0.58,92.791,207187
10,0.665,0.696,0,-5.763,1,0.0521,0.337,0,0.106,0.711,90.116,227387
10,0.536,0.612,4,-5.847,1,0.272,0.119,0,0.209,0.57,86.768,229040
10,0.525,0.652,5,-7.042,0,0.28,0.278,0,0.339,0.602,127.673,337640
10,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400
10,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086,296693
10,0.847,0.402,7,-9.952,1,0.0641,0.0118,0,0.283,0.752,99.693,259440
10,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53E-06,0.0733,0.649,124.037,247840
10,0.839,0.706,5,-6.104,0,0.199,0.208,0,0.242,0.839,96.673,245133
10,0.81,0.538,0,-5.784,0,0.0356,0.528,0,0.0951,0.828,109.97,266840
10,0.684,0.455,5,-8.216,1,0.0307,0.215,1.08E-06,0.263,0.487,97.956,216893
10,0.8,0.502,1,-6.062,1,0.0371,0.00167,0,0.0784,0.388,115.091,289760
10,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,271333
10,0.833,0.515,11,-5,0,0.0462,0.347,0.00156,0.116,0.4,97.035,257333
10,0.653,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.982,210200
10,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.80E-06,0.244,0.722,101.875,291782
10,0.662,0.748,5,-3.041,0,0.268,0.688,8.43E-06,0.0841,0.535,82.331,239027
10,0.845,0.467,1,-7.674,1,0.138,0.0586,0,0.0694,0.702,138.007,211200
10,0.693,0.516,8,-6.446,1,0.0413,0.297,0.000127,0.0604,0.494,94.02,220853
10,0.815,0.662,6,-8.244,1,0.199,0.0915,0.000409,0.0898,0.611,151.518,248493
10,0.575,0.684,1,-6.007,1,0.325,0.299,0,0.614,0.926,172.155,204040
10,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19E-05,0.108,0.919,93.955,267093
10,0.412,0.876,5,-6.008,0,0.47,0.102,0,0.297,0.703,130.159,273133
10,0.684,0.606,5,-7.268,0,0.0504,0.17,0,0.058,0.723,127.901,275107
10,0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,192213
10,0.547,0.475,0,-10.77,0,0.183,0.358,0,0.198,0.357,99.464,233640
10,0.786,0.511,7,-6.66,1,0.286,0.0825,0,0.12,0.587,80,234133
10,0.699,0.699,8,-5.564,0,0.0737,0.358,0,0.0912,0.611,94.977,206413
10,0.657,0.629,6,-4.938,1,0.0782,0.194,0,0.254,0.726,93.985,266893
10,0.758,0.642,7,-8.128,0,0.221,0.0745,0,0.191,0.701,142.078,268067
10,0.675,0.501,10,-6.183,1,0.22,0.0541,0,0.429,0.532,139.861,260600
10,0.771,0.728,8,-5.39,1,0.128,0.184,0,0.139,0.809,131.109,256427
10,0.71,0.797,4,-3.006,0,0.0582,0.408,0,0.16,0.849,94.998,209120
10,0.801,0.454,2,-6.035,1,0.0371,0.225,0,0.226,0.34,125.139,293067
10,0.714,0.6,6,-8.365,1,0.0876,0.0465,0,0.0646,0.504,82.017,205840
10,0.796,0.477,1,-7.161,1,0.108,0.314,0,0.12,0.685,119.928,231933
10,0.458,0.445,9,-8.391,0,0.361,0.64,0,0.118,0.447,82.82,220053
10,0.568,0.732,11,-4.896,0,0.103,0.179,4.92E-06,0.401,0.626,186.048,258667
10,0.785,0.479,7,-4.956,0,0.044,0.083,0,0.0937,0.364,75.889,262773
10,0.731,0.368,8,-10.38,1,0.0688,0.00544,0,0.193,0.512,145.171,265333
10,0.814,0.387,0,-9.867,1,0.0945,0.0248,0,0.131,0.792,93.961,225173
10,0.765,0.821,4,-5.926,0,0.183,0.0918,0,0.217,0.962,162.519,276800
10,0.605,0.584,11,-7.043,0,0.197,0.286,0,0.235,0.464,125.802,245400
10,0.691,0.541,1,-5.873,1,0.0776,0.508,0,0.0753,0.319,127.683,243307
10,0.832,0.391,8,-8.504,1,0.0629,0.0564,0,0.224,0.436,104.961,238800
10,0.92,0.553,6,-5.068,1,0.191,0.236,0,0.0767,0.947,112.022,286907
10,0.701,0.669,1,-5.265,1,0.107,0.271,0,0.158,0.446,83.066,254467
