,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,audio_features,14GwnOeC9qYEKEA6uOZepa,spotify:track:14GwnOeC9qYEKEA6uOZepa,https://api.spotify.com/v1/tracks/14GwnOeC9qYEKEA6uOZepa,https://api.spotify.com/v1/audio-analysis/14GwnOeC9qYEKEA6uOZepa,188893,4
1,0.499,0.643,11,-5.416,1,0.0354,0.307,0.0,0.106,0.469,93.805,audio_features,6ZU30kIHamg5oiQm4gQQ3A,spotify:track:6ZU30kIHamg5oiQm4gQQ3A,https://api.spotify.com/v1/tracks/6ZU30kIHamg5oiQm4gQQ3A,https://api.spotify.com/v1/audio-analysis/6ZU30kIHamg5oiQm4gQQ3A,201480,4
2,0.574,0.792,6,-5.868,1,0.0489,0.0135,0.0,0.11,0.562,104.989,audio_features,62SvLj5dBDI9Ee3eBA0BxL,spotify:track:62SvLj5dBDI9Ee3eBA0BxL,https://api.spotify.com/v1/tracks/62SvLj5dBDI9Ee3eBA0BxL,https://api.spotify.com/v1/audio-analysis/62SvLj5dBDI9Ee3eBA0BxL,198209,4
3,0.511,0.652,4,-4.149,1,0.0436,0.182,0.0,0.0897,0.175,77.76,audio_features,4ELIsUW4wLhMDdNWR0YG74,spotify:track:4ELIsUW4wLhMDdNWR0YG74,https://api.spotify.com/v1/tracks/4ELIsUW4wLhMDdNWR0YG74,https://api.spotify.com/v1/audio-analysis/4ELIsUW4wLhMDdNWR0YG74,200768,4
4,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,audio_features,03fT3OHB9KyMtGMt2zwqCT,spotify:track:03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT,226867,4
5,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.516,75.975,audio_features,6xHI9KjUjYT0FPtGO8Mxa1,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1,https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1,222533,4
6,0.566,0.713,6,-4.25,1,0.0417,0.645,0.0,0.114,0.807,169.864,audio_features,3eBnEo9WL34ulBCZlLpUQO,spotify:track:3eBnEo9WL34ulBCZlLpUQO,https://api.spotify.com/v1/tracks/3eBnEo9WL34ulBCZlLpUQO,https://api.spotify.com/v1/audio-analysis/3eBnEo9WL34ulBCZlLpUQO,238147,4
7,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,audio_features,6foY66mWZN0pSRjZ408c00,spotify:track:6foY66mWZN0pSRjZ408c00,https://api.spotify.com/v1/tracks/6foY66mWZN0pSRjZ408c00,https://api.spotify.com/v1/audio-analysis/6foY66mWZN0pSRjZ408c00,234347,4
8,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,audio_features,3xdjjKMcMOFgo1eQrfbogM,spotify:track:3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/audio-analysis/3xdjjKMcMOFgo1eQrfbogM,298373,4
9,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,audio_features,10M2Ex445zw585Ducldzkw,spotify:track:10M2Ex445zw585Ducldzkw,https://api.spotify.com/v1/tracks/10M2Ex445zw585Ducldzkw,https://api.spotify.com/v1/audio-analysis/10M2Ex445zw585Ducldzkw,224853,4
