,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.359,0.362,7,-7.414,1,0.0276,0.815,0.0,0.313,0.382,92.18,audio_features,682XjN6L1Qhs5rXbuGSQKK,spotify:track:682XjN6L1Qhs5rXbuGSQKK,https://api.spotify.com/v1/tracks/682XjN6L1Qhs5rXbuGSQKK,https://api.spotify.com/v1/audio-analysis/682XjN6L1Qhs5rXbuGSQKK,390387,4
1,0.557,0.746,8,-6.783,1,0.0306,0.0144,0.0,0.252,0.327,103.492,audio_features,0nSrUpDjFouhaQB7dOi0h7,spotify:track:0nSrUpDjFouhaQB7dOi0h7,https://api.spotify.com/v1/tracks/0nSrUpDjFouhaQB7dOi0h7,https://api.spotify.com/v1/audio-analysis/0nSrUpDjFouhaQB7dOi0h7,441547,4
2,0.446,0.316,9,-10.864,1,0.0329,0.252,0.0,0.119,0.116,123.797,audio_features,1mCSBNFx3kwPYTflRUelNj,spotify:track:1mCSBNFx3kwPYTflRUelNj,https://api.spotify.com/v1/tracks/1mCSBNFx3kwPYTflRUelNj,https://api.spotify.com/v1/audio-analysis/1mCSBNFx3kwPYTflRUelNj,425800,4
3,0.4,0.596,8,-6.377,1,0.0407,0.127,0.0,0.384,0.264,99.717,audio_features,0ruqgF5YjYjQPr0uwQsvYQ,spotify:track:0ruqgF5YjYjQPr0uwQsvYQ,https://api.spotify.com/v1/tracks/0ruqgF5YjYjQPr0uwQsvYQ,https://api.spotify.com/v1/audio-analysis/0ruqgF5YjYjQPr0uwQsvYQ,406440,4
4,0.309,0.613,9,-8.119,0,0.0375,0.146,0.00136,0.0811,0.147,137.38,audio_features,7Dp0unlUzhQtk60rVq5mMC,spotify:track:7Dp0unlUzhQtk60rVq5mMC,https://api.spotify.com/v1/tracks/7Dp0unlUzhQtk60rVq5mMC,https://api.spotify.com/v1/audio-analysis/7Dp0unlUzhQtk60rVq5mMC,422333,4
5,0.296,0.365,0,-8.881,1,0.0316,0.53,0.0,0.0964,0.256,135.173,audio_features,1lymSqz42DeEn03NMn9BiT,spotify:track:1lymSqz42DeEn03NMn9BiT,https://api.spotify.com/v1/tracks/1lymSqz42DeEn03NMn9BiT,https://api.spotify.com/v1/audio-analysis/1lymSqz42DeEn03NMn9BiT,733283,4
6,0.177,0.513,7,-8.675,1,0.0353,0.549,0.0228,0.303,0.217,157.012,audio_features,0L3UFMmq5An0W3j1Q9cLG6,spotify:track:0L3UFMmq5An0W3j1Q9cLG6,https://api.spotify.com/v1/tracks/0L3UFMmq5An0W3j1Q9cLG6,https://api.spotify.com/v1/audio-analysis/0L3UFMmq5An0W3j1Q9cLG6,314747,3
7,0.314,0.798,3,-5.851,1,0.0544,0.022,3.63e-06,0.362,0.336,150.129,audio_features,21UUN3OEpS7Lr8YiN4xh4N,spotify:track:21UUN3OEpS7Lr8YiN4xh4N,https://api.spotify.com/v1/tracks/21UUN3OEpS7Lr8YiN4xh4N,https://api.spotify.com/v1/audio-analysis/21UUN3OEpS7Lr8YiN4xh4N,384760,4
8,0.37,0.553,3,-6.112,0,0.0294,0.057,1.84e-06,0.0917,0.114,110.657,audio_features,5qyFts6geTWeNbMeYQcPai,spotify:track:5qyFts6geTWeNbMeYQcPai,https://api.spotify.com/v1/tracks/5qyFts6geTWeNbMeYQcPai,https://api.spotify.com/v1/audio-analysis/5qyFts6geTWeNbMeYQcPai,333903,4
9,0.55,0.442,0,-5.708,1,0.0313,0.573,0.0,0.138,0.248,123.744,audio_features,7fzImqefMkagp3jEeKtdVy,spotify:track:7fzImqefMkagp3jEeKtdVy,https://api.spotify.com/v1/tracks/7fzImqefMkagp3jEeKtdVy,https://api.spotify.com/v1/audio-analysis/7fzImqefMkagp3jEeKtdVy,386560,4
