,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4
1,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,audio_features,33ZXjLCpiINn8eQIDYEPTD,spotify:track:33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,325507,4
2,0.889,0.816,9,-4.67,1,0.247,0.472,0.0,0.204,0.777,96.056,audio_features,5ByAIlEEnxYdvpnezg7HTX,spotify:track:5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,302693,4
3,0.479,0.549,11,-10.551,0,0.373,0.57,0.0239,0.127,0.576,180.985,audio_features,119c93MHjrDLJTApCVGpvx,spotify:track:119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/audio-analysis/119c93MHjrDLJTApCVGpvx,252187,4
4,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,4LwU4Vp6od3Sb08CsP99GC,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507,4
5,0.778,0.578,9,-7.22,0,0.274,0.432,0.0,0.138,0.758,84.487,audio_features,2g8HN35AnVGIk7B8yMucww,spotify:track:2g8HN35AnVGIk7B8yMucww,https://api.spotify.com/v1/tracks/2g8HN35AnVGIk7B8yMucww,https://api.spotify.com/v1/audio-analysis/2g8HN35AnVGIk7B8yMucww,252747,4
6,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,audio_features,2qOm7ukLyHUXWyR4ZWLwxA,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,https://api.spotify.com/v1/tracks/2qOm7ukLyHUXWyR4ZWLwxA,https://api.spotify.com/v1/audio-analysis/2qOm7ukLyHUXWyR4ZWLwxA,260000,4
7,0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,audio_features,20fBuVybkHgjF6vNhSMROD,spotify:track:20fBuVybkHgjF6vNhSMROD,https://api.spotify.com/v1/tracks/20fBuVybkHgjF6vNhSMROD,https://api.spotify.com/v1/audio-analysis/20fBuVybkHgjF6vNhSMROD,278387,4
8,0.849,0.521,11,-12.999,0,0.216,0.304,1.65e-06,0.115,0.763,95.265,audio_features,7nYvUtkQMx1v80S2FH2s9J,spotify:track:7nYvUtkQMx1v80S2FH2s9J,https://api.spotify.com/v1/tracks/7nYvUtkQMx1v80S2FH2s9J,https://api.spotify.com/v1/audio-analysis/7nYvUtkQMx1v80S2FH2s9J,248867,4
9,0.897,0.612,11,-10.489,1,0.211,0.0297,0.186,0.0894,0.767,102.305,audio_features,1oTHteQbmJw15rPxPVXUTv,spotify:track:1oTHteQbmJw15rPxPVXUTv,https://api.spotify.com/v1/tracks/1oTHteQbmJw15rPxPVXUTv,https://api.spotify.com/v1/audio-analysis/1oTHteQbmJw15rPxPVXUTv,208267,4
