,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.376,0.0222,11,-26.348,1,0.0563,0.995,0.936,0.124,0.229,72.772,audio_features,0QBgBYJGKbQ94uBKStszv0,spotify:track:0QBgBYJGKbQ94uBKStszv0,https://api.spotify.com/v1/tracks/0QBgBYJGKbQ94uBKStszv0,https://api.spotify.com/v1/audio-analysis/0QBgBYJGKbQ94uBKStszv0,187399,3
1,0.497,0.409,5,-14.42,0,0.0333,0.012,0.802,0.113,0.168,170.046,audio_features,3umXA9PE3HwhN6aqbM7QoB,spotify:track:3umXA9PE3HwhN6aqbM7QoB,https://api.spotify.com/v1/tracks/3umXA9PE3HwhN6aqbM7QoB,https://api.spotify.com/v1/audio-analysis/3umXA9PE3HwhN6aqbM7QoB,121419,4
2,0.597,0.304,10,-13.681,1,0.0299,0.908,0.898,0.141,0.434,139.688,audio_features,30qPlOpLeJWD1mASyON1po,spotify:track:30qPlOpLeJWD1mASyON1po,https://api.spotify.com/v1/tracks/30qPlOpLeJWD1mASyON1po,https://api.spotify.com/v1/audio-analysis/30qPlOpLeJWD1mASyON1po,175959,3
3,0.664,0.12,10,-16.577,1,0.0431,0.981,0.922,0.113,0.274,119.744,audio_features,3cAnCLivD2rxdgHN1B27vX,spotify:track:3cAnCLivD2rxdgHN1B27vX,https://api.spotify.com/v1/tracks/3cAnCLivD2rxdgHN1B27vX,https://api.spotify.com/v1/audio-analysis/3cAnCLivD2rxdgHN1B27vX,223000,3
4,0.302,0.0134,10,-27.372,1,0.0418,0.991,0.925,0.129,0.433,85.572,audio_features,2m6G2vP3x33rQhfmSYB9Iy,spotify:track:2m6G2vP3x33rQhfmSYB9Iy,https://api.spotify.com/v1/tracks/2m6G2vP3x33rQhfmSYB9Iy,https://api.spotify.com/v1/audio-analysis/2m6G2vP3x33rQhfmSYB9Iy,139052,3
5,0.483,0.193,1,-16.57,0,0.0344,0.933,0.95,0.101,0.205,85.137,audio_features,4xMSs10bUKFuWmOs2DmBzw,spotify:track:4xMSs10bUKFuWmOs2DmBzw,https://api.spotify.com/v1/tracks/4xMSs10bUKFuWmOs2DmBzw,https://api.spotify.com/v1/audio-analysis/4xMSs10bUKFuWmOs2DmBzw,202147,4
6,0.72,0.302,1,-17.8,1,0.0363,0.954,0.937,0.0995,0.535,117.881,audio_features,74tBxy0qDxFviVy77F4oDK,spotify:track:74tBxy0qDxFviVy77F4oDK,https://api.spotify.com/v1/tracks/74tBxy0qDxFviVy77F4oDK,https://api.spotify.com/v1/audio-analysis/74tBxy0qDxFviVy77F4oDK,218910,4
7,0.372,0.168,5,-22.966,1,0.0319,0.738,0.729,0.0917,0.195,96.074,audio_features,0Pw63fBSPpWdWPfcUr9hY5,spotify:track:0Pw63fBSPpWdWPfcUr9hY5,https://api.spotify.com/v1/tracks/0Pw63fBSPpWdWPfcUr9hY5,https://api.spotify.com/v1/audio-analysis/0Pw63fBSPpWdWPfcUr9hY5,465133,4
8,0.457,0.102,5,-20.175,0,0.04,0.977,0.858,0.108,0.199,114.279,audio_features,6V5OcaQior9q7a8r4b93M5,spotify:track:6V5OcaQior9q7a8r4b93M5,https://api.spotify.com/v1/tracks/6V5OcaQior9q7a8r4b93M5,https://api.spotify.com/v1/audio-analysis/6V5OcaQior9q7a8r4b93M5,243334,4
9,0.794,0.325,4,-12.578,0,0.0499,0.581,0.000544,0.306,0.314,100.014,audio_features,55YpH8TtEx99fwOJAaxAIE,spotify:track:55YpH8TtEx99fwOJAaxAIE,https://api.spotify.com/v1/tracks/55YpH8TtEx99fwOJAaxAIE,https://api.spotify.com/v1/audio-analysis/55YpH8TtEx99fwOJAaxAIE,243451,4
10,0.536,0.0572,5,-21.435,0,0.0452,0.973,0.919,0.115,0.178,137.15,audio_features,29nK4itJtykZEtsVE8dt4R,spotify:track:29nK4itJtykZEtsVE8dt4R,https://api.spotify.com/v1/tracks/29nK4itJtykZEtsVE8dt4R,https://api.spotify.com/v1/audio-analysis/29nK4itJtykZEtsVE8dt4R,240960,4
