,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,audio_features,5O4erNlJ74PIF6kGol1ZrC,spotify:track:5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,237000,4
1,0.836,0.661,7,-6.502,0,0.338,0.0208,0.0,0.449,0.753,76.71,audio_features,22AbXxQbMdVqEz7xJjhccG,spotify:track:22AbXxQbMdVqEz7xJjhccG,https://api.spotify.com/v1/tracks/22AbXxQbMdVqEz7xJjhccG,https://api.spotify.com/v1/audio-analysis/22AbXxQbMdVqEz7xJjhccG,213200,4
2,0.788,0.773,9,-5.272,0,0.099,0.0381,0.0,0.35,0.584,73.978,audio_features,2OHQhOiGIYaXqqJVIMpNrF,spotify:track:2OHQhOiGIYaXqqJVIMpNrF,https://api.spotify.com/v1/tracks/2OHQhOiGIYaXqqJVIMpNrF,https://api.spotify.com/v1/audio-analysis/2OHQhOiGIYaXqqJVIMpNrF,192400,4
3,0.824,0.366,7,-10.96,1,0.145,0.039,0.106,0.0403,0.895,73.949,audio_features,4DQttwipnILl88cru3BRZx,spotify:track:4DQttwipnILl88cru3BRZx,https://api.spotify.com/v1/tracks/4DQttwipnILl88cru3BRZx,https://api.spotify.com/v1/audio-analysis/4DQttwipnILl88cru3BRZx,249533,4
4,0.929,0.463,9,-8.651,1,0.308,0.142,5.26e-06,0.0634,0.757,124.084,audio_features,7BfW1eoDh27W69nxsmRicb,spotify:track:7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/tracks/7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/audio-analysis/7BfW1eoDh27W69nxsmRicb,255840,4
5,0.801,0.641,8,-9.349,1,0.173,0.34,4.5e-05,0.0693,0.741,96.96,audio_features,5uBKhKWTJ4E47rcLQqu3YH,spotify:track:5uBKhKWTJ4E47rcLQqu3YH,https://api.spotify.com/v1/tracks/5uBKhKWTJ4E47rcLQqu3YH,https://api.spotify.com/v1/audio-analysis/5uBKhKWTJ4E47rcLQqu3YH,279720,4
6,0.804,0.607,10,-6.84,0,0.37,0.0773,0.0,0.0993,0.823,142.421,audio_features,1UOhKnE2fZJuGdB7ssn9nf,spotify:track:1UOhKnE2fZJuGdB7ssn9nf,https://api.spotify.com/v1/tracks/1UOhKnE2fZJuGdB7ssn9nf,https://api.spotify.com/v1/audio-analysis/1UOhKnE2fZJuGdB7ssn9nf,191333,4
7,0.825,0.62,2,-6.083,1,0.211,0.183,0.0,0.0822,0.744,150.243,audio_features,6KGggJ08SRmMuJojRYM4Lv,spotify:track:6KGggJ08SRmMuJojRYM4Lv,https://api.spotify.com/v1/tracks/6KGggJ08SRmMuJojRYM4Lv,https://api.spotify.com/v1/audio-analysis/6KGggJ08SRmMuJojRYM4Lv,206307,4
8,0.749,0.849,4,-5.761,0,0.0544,0.0299,0.000168,0.115,0.959,145.169,audio_features,5uPYEStMW3KsXnnLV7iCTw,spotify:track:5uPYEStMW3KsXnnLV7iCTw,https://api.spotify.com/v1/tracks/5uPYEStMW3KsXnnLV7iCTw,https://api.spotify.com/v1/audio-analysis/5uPYEStMW3KsXnnLV7iCTw,244253,4
9,0.78,0.427,5,-8.371,0,0.126,0.128,1.76e-05,0.0697,0.526,71.665,audio_features,5iynCtpEY7mx4ou54tHBPH,spotify:track:5iynCtpEY7mx4ou54tHBPH,https://api.spotify.com/v1/tracks/5iynCtpEY7mx4ou54tHBPH,https://api.spotify.com/v1/audio-analysis/5iynCtpEY7mx4ou54tHBPH,228760,4
