,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.546,0.911,6,-4.801,1,0.062,0.0008,7.73e-05,0.131,0.757,76.008,audio_features,1OsZJVrWpTUAdoBOMEqjdx,spotify:track:1OsZJVrWpTUAdoBOMEqjdx,https://api.spotify.com/v1/tracks/1OsZJVrWpTUAdoBOMEqjdx,https://api.spotify.com/v1/audio-analysis/1OsZJVrWpTUAdoBOMEqjdx,216515,4
1,0.347,0.875,2,-7.997,1,0.0454,0.000374,5.08e-06,0.315,0.48,168.039,audio_features,6uZCL8Ym4sc7XZLHxyM0eO,spotify:track:6uZCL8Ym4sc7XZLHxyM0eO,https://api.spotify.com/v1/tracks/6uZCL8Ym4sc7XZLHxyM0eO,https://api.spotify.com/v1/audio-analysis/6uZCL8Ym4sc7XZLHxyM0eO,280904,4
2,0.563,0.932,1,-4.306,1,0.0408,7.69e-05,0.462,0.0156,0.745,131.984,audio_features,0MFZ1wizLI1vcmAoLCorHh,spotify:track:0MFZ1wizLI1vcmAoLCorHh,https://api.spotify.com/v1/tracks/0MFZ1wizLI1vcmAoLCorHh,https://api.spotify.com/v1/audio-analysis/0MFZ1wizLI1vcmAoLCorHh,233293,4
3,0.527,0.973,3,-2.948,0,0.153,0.00121,0.0,0.335,0.663,144.046,audio_features,6dx5S8zTzRqYulcXGNy0oy,spotify:track:6dx5S8zTzRqYulcXGNy0oy,https://api.spotify.com/v1/tracks/6dx5S8zTzRqYulcXGNy0oy,https://api.spotify.com/v1/audio-analysis/6dx5S8zTzRqYulcXGNy0oy,172250,3
4,0.542,0.965,6,-3.257,1,0.118,0.00246,0.000863,0.284,0.47,133.048,audio_features,5TeZm9VbENB3JE1v3wSYk9,spotify:track:5TeZm9VbENB3JE1v3wSYk9,https://api.spotify.com/v1/tracks/5TeZm9VbENB3JE1v3wSYk9,https://api.spotify.com/v1/audio-analysis/5TeZm9VbENB3JE1v3wSYk9,216067,4
5,0.315,0.963,3,-4.907,0,0.111,1.44e-06,0.185,0.0504,0.53,173.98,audio_features,34sgVMGuXsU6J7RFVgmlHJ,spotify:track:34sgVMGuXsU6J7RFVgmlHJ,https://api.spotify.com/v1/tracks/34sgVMGuXsU6J7RFVgmlHJ,https://api.spotify.com/v1/audio-analysis/34sgVMGuXsU6J7RFVgmlHJ,231035,4
6,0.173,0.893,6,-5.53,0,0.163,0.000211,0.0214,0.102,0.36,84.985,audio_features,6iACYlu0i0csBkEHcuq34H,spotify:track:6iACYlu0i0csBkEHcuq34H,https://api.spotify.com/v1/tracks/6iACYlu0i0csBkEHcuq34H,https://api.spotify.com/v1/audio-analysis/6iACYlu0i0csBkEHcuq34H,242000,4
7,0.446,0.81,1,-7.528,0,0.0336,0.000315,0.000449,0.125,0.404,152.558,audio_features,4SzxBp2OeQ7DTlCPwVSnYk,spotify:track:4SzxBp2OeQ7DTlCPwVSnYk,https://api.spotify.com/v1/tracks/4SzxBp2OeQ7DTlCPwVSnYk,https://api.spotify.com/v1/audio-analysis/4SzxBp2OeQ7DTlCPwVSnYk,235907,4
8,0.428,0.963,3,-3.297,1,0.123,0.0503,0.672,0.143,0.498,144.744,audio_features,3L1c1cwqg8hRbehzw8beLm,spotify:track:3L1c1cwqg8hRbehzw8beLm,https://api.spotify.com/v1/tracks/3L1c1cwqg8hRbehzw8beLm,https://api.spotify.com/v1/audio-analysis/3L1c1cwqg8hRbehzw8beLm,203137,4
9,0.579,0.893,2,-2.331,1,0.0487,0.00121,0.0,0.186,0.488,95.995,audio_features,0wxSeL4sojZx6qFx6Qw7uN,spotify:track:0wxSeL4sojZx6qFx6Qw7uN,https://api.spotify.com/v1/tracks/0wxSeL4sojZx6qFx6Qw7uN,https://api.spotify.com/v1/audio-analysis/0wxSeL4sojZx6qFx6Qw7uN,211250,4
