Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,152280
1,0.343,0.0342,8,-25.591,1,0.0406,0.991,0.92,0.1,0.0378,60.228,270000
1,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427
1,0.109,0.167,4,-18.669,0,0.0382,0.91,0.92,0.109,0.0692,86.554,166867
1,0.387,0.0451,3,-24.698,1,0.0364,0.99,0.913,0.112,0.071,61.494,268427
1,0.296,0.0709,9,-29.517,0,0.0462,0.994,0.892,0.0807,0.192,127.086,188467
1,0.343,0.0252,1,-27.013,1,0.0488,0.993,0.932,0.0454,0.0395,67.207,279160
1,0.204,0.0331,2,-24.044,0,0.0487,0.927,0.825,0.0954,0.0547,116.2,207267
1,0,0.0842,9,-19.397,1,0,0.755,0.889,0.262,0,0,432533
1,0.15,0.128,2,-20.46,1,0.0459,0.944,0.93,0.0703,0.113,46.771,415813
1,0.39,0.0432,6,-24.344,1,0.0506,0.723,0.000303,0.108,0.326,147.436,468133
1,0.358,0.167,7,-16,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707
1,0.322,0.184,0,-18.312,0,0.0338,0.984,0.902,0.0813,0.356,107.847,193600
1,0.362,0.569,7,-15.394,0,0.0345,0.876,0.91,0.327,0.746,148.692,173427
1,0.272,0.00397,1,-31.601,0,0.0475,0.992,0.9,0.0763,0.19,72.059,239973
1,0.132,0.0195,0,-29.76,1,0.0445,0.993,0.888,0.0569,0.14,81.616,163267
1,0.386,0.0738,2,-19.369,1,0.0433,0.839,0.947,0.155,0.172,142.499,251200
1,0.205,0.00644,1,-38.382,0,0.0604,0.995,0.872,0.115,0.147,163.137,315200
1,0.441,0.319,3,-13.99,1,0.0392,0.829,0,0.0765,0.671,99.419,453507
1,0.251,0.219,7,-16.781,1,0.0323,0.929,0.933,0.0824,0.0965,89.997,325000
1,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.601,0.143,0.0936,94.736,707173
1,0.575,0.174,4,-14.423,1,0.0424,0.883,0.898,0.108,0.381,113.134,187720
1,0.594,0.00544,7,-35.422,1,0.07,0.995,0.952,0.0814,0.314,76.497,204267
1,0.209,0.101,0,-19.383,1,0.0403,0.927,0.9,0.0776,0.153,85.851,341693
1,0.522,0.0308,5,-26.86,1,0.0641,0.995,0.915,0.0805,0.313,72.551,284000
1,0.442,0.181,7,-20.419,0,0.0443,0.906,0.656,0.0598,0.172,115.884,432133
1,0.364,0.571,6,-15.596,1,0.0453,0.874,0.867,0.121,0.38,84.899,150667
1,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,442000
1,0.335,0.372,5,-16.127,1,0.037,0.697,5.36E-05,0.141,0.821,127.129,138000
1,0.5,0.0104,2,-26.764,1,0.0622,0.996,0.949,0.0573,0.133,114.76,327080
1,0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325,209373
1,0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,497773
1,0.309,0.0472,3,-25.497,1,0.041,0.992,0.866,0.0979,0.0693,72.915,232240
1,0.128,0.132,2,-17.67,1,0.0353,0.744,0.942,0.107,0.0988,85.314,301587
1,0.424,0.214,10,-17.688,1,0.0763,0.962,2.90E-05,0.681,0.282,113.211,175507
1,0.323,0.0114,4,-38.855,0,0.0343,0.893,0.652,0.171,0.134,112.378,141373
1,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267
1,0.314,0.0157,1,-36.252,0,0.0356,0.991,0.916,0.134,0.0939,95.89,199773
1,0.308,0.00605,4,-35.164,1,0.0486,0.995,0.929,0.0869,0.0739,66.122,274747
1,0.429,0.535,3,-11.043,1,0.0379,0.815,0.93,0.0759,0.926,81.182,131599
1,0.162,0.0898,2,-23.269,0,0.0354,0.944,0.917,0.187,0.0413,132.047,169667
1,0.251,0.00904,5,-31.599,1,0.0406,0.995,0.922,0.0779,0.0819,62.225,233400
1,0.568,0.409,9,-17.256,1,0.0336,0.794,0.0705,0.172,0.785,112.3,172093
1,0.368,0.00363,1,-36.759,1,0.035,0.993,0.922,0.137,0.085,69.363,254000
1,0.363,0.115,2,-17.325,1,0.0689,0.976,0,0.0992,0.231,134.424,262147
1,0.276,0.15,7,-18.262,1,0.0517,0.985,0.932,0.119,0.552,78.366,136582
1,0.369,0.21,6,-13.552,1,0.0437,0.959,4.53E-05,0.0905,0.391,131.714,142173
1,0.199,0.0677,0,-20.879,1,0.039,0.786,0.738,0.225,0.145,78.866,307827
1,0.4,0.312,0,-17.376,1,0.157,0.973,0.28,0.25,0.44,76.211,271973
1,0.226,0.0701,2,-20.668,1,0.0361,0.929,0.782,0.123,0.15,176.342,527400
