Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,227074
3,0.519,0.754,2,-5.689,1,0.0402,0.258,3.75E-06,0.139,0.16,125.975,215187
3,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,273803
3,0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,271427
3,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48E-05,0.074,0.56,128.003,218293
3,0.544,0.915,8,-3.405,1,0.0841,0.129,0.000914,0.115,0.51,126.094,184280
3,0.654,0.83,10,-4.801,1,0.0366,0.000629,1.13E-06,0.121,0.548,124.989,262200
3,0.485,0.724,9,-4.633,0,0.0521,0.0736,0,0.0631,0.433,128.045,221273
3,0.523,0.861,0,-3.447,1,0.0644,0.0336,0,0.144,0.346,127.049,229149
3,0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,230613
3,0.674,0.915,6,-3.999,0,0.0411,0.0282,0.00337,0.273,0.78,126.038,191293
3,0.571,0.903,7,-2.184,1,0.214,0.0615,1.23E-06,0.186,0.477,127.951,206320
3,0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,223140
3,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53E-06,0.13,0.11,126.052,214912
3,0.609,0.801,0,-4.417,0,0.034,0.0137,0.00349,0.127,0.407,129.99,243413
3,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533
3,0.478,0.818,4,-5.076,1,0.0377,0.00292,0.00789,0.438,0.163,127.953,226867
3,0.467,0.757,2,-3.01,1,0.0517,0.0866,0,0.0742,0.383,131.993,254653
3,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,176658
3,0.486,0.652,11,-7.226,0,0.052,0.408,6.63E-05,0.077,0.391,113.055,273684
3,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97E-06,0.11,0.159,179.642,212107
3,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102,230635
3,0.652,0.657,3,-4.491,0,0.0306,0.00209,7.04E-05,0.0859,0.0873,127.998,313125
3,0.649,0.792,9,-3.505,1,0.043,0.00364,2.87E-05,0.104,0.235,128.032,352969
3,0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,227267
3,0.53,0.783,3,-4.61,1,0.0388,0.0227,2.11E-06,0.0987,0.397,127.971,204347
3,0.577,0.851,11,-3.975,1,0.0339,0.0197,0.000462,0.118,0.396,129.952,247147
3,0.645,0.891,6,-2.505,0,0.0387,0.0932,3.88E-06,0.379,0.568,124.915,203520
3,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,211880
3,0.575,0.89,2,-3.169,1,0.0416,0.034,3.23E-06,0.047,0.206,128.041,278174
3,0.699,0.883,5,-3.226,0,0.219,0.0288,0,0.817,0.499,127.961,211975
3,0.723,0.806,0,-4.989,1,0.0521,0.00666,0.876,0.276,0.539,124.976,410097
3,0.583,0.695,9,-5.336,1,0.0423,0.0141,0,0.0527,0.224,104.879,220573
3,0.637,0.827,7,-5.153,0,0.0629,0.046,0.103,0.575,0.339,128.025,349489
3,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960
3,0.58,0.846,9,-2.876,0,0.0573,0.00537,6.62E-06,0.145,0.366,129.998,240000
3,0.651,0.898,11,-4.942,1,0.0391,0.152,0,0.11,0.599,126.051,240893
3,0.556,0.885,6,-4.045,1,0.0321,0.00786,1.95E-06,0.138,0.771,125.997,198133
3,0.347,0.772,5,-4.359,0,0.0549,0.0597,0.0333,0.115,0.035,192.118,191412
3,0.646,0.814,0,-4.547,1,0.0433,0.0583,6.42E-05,0.118,0.326,127.978,264800
3,0.639,0.795,9,-3.535,1,0.0416,0.0246,0.000324,0.509,0.454,128.013,191653
3,0.597,0.736,1,-7.793,0,0.0309,0.00296,0.921,0.0914,0.172,128.179,258440
3,0.88,0.821,5,-2.545,0,0.118,0.0197,0.661,0.234,0.575,127.907,326888
3,0.542,0.795,7,-3.131,1,0.0379,0.0664,2.89E-06,0.313,0.251,128.959,228837
3,0.51,0.831,7,-4.514,0,0.0606,0.0435,3.14E-06,0.346,0.376,128.025,185625
3,0.696,0.652,0,-6.826,0,0.0461,0.00326,0.67,0.0894,0.13,125.981,403810
3,0.59,0.821,0,-5.369,0,0.0693,0.158,0.00022,0.199,0.117,129.027,252997
3,0.631,0.871,9,-5.703,1,0.0585,0.000635,0.00775,0.545,0.293,125.022,408829
3,0.529,0.955,10,-2.59,0,0.0794,0.0344,4.55E-05,0.353,0.0893,125.988,222075
3,0.518,0.911,9,-3.649,1,0.086,0.00148,0,0.516,0.126,128.014,246093
