Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
13,0.711,0.362,3,-10.851,0,0.0381,0.272,0,0.127,0.616,117.287,194293
13,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62E-05,0.081,0.535,103.621,163756
13,0.479,0.416,4,-11.451,0,0.124,0.457,1.72E-05,0.118,0.514,79.593,125093
13,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345,159000
13,0.803,0.338,6,-14.029,1,0.0349,0.196,0.038,0.097,0.912,106.841,155707
13,0.587,0.133,9,-15.151,0,0.0565,0.186,2.26E-05,0.258,0.068,102.938,201733
13,0.686,0.672,11,-5.523,1,0.0323,0.7,0,0.135,0.857,128.55,128787
13,0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566,165000
13,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69E-06,0.118,0.849,111.919,157160
13,0.805,0.558,0,-5.226,1,0.041,0.164,2.20E-05,0.0546,0.965,114.95,147600
13,0.212,0.383,10,-10.071,1,0.0347,0.723,0,0.299,0.452,173.79,191160
13,0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.206,97.398,173867
13,0.556,0.61,9,-4.729,1,0.213,0.833,2.22E-06,0.258,0.665,199.373,171467
13,0.592,0.355,9,-14.051,1,0.0352,0.478,0,0.0585,0.499,133.032,216773
13,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,189840
13,0.763,0.656,0,-6.86,1,0.0417,0.549,0,0.125,0.926,118.394,156173
13,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,187760
13,0.403,0.284,10,-14.014,1,0.0338,0.798,0,0.142,0.686,176.537,154533
13,0.675,0.597,5,-11.329,1,0.0337,0.0534,0,0.0986,0.828,108.875,161160
13,0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,151667
13,0.482,0.569,0,-5.897,1,0.0328,0.617,0,0.155,0.609,70.843,165280
13,0.687,0.63,6,-10.817,1,0.0389,0.251,0,0.221,0.926,110.051,139733
13,0.539,0.24,3,-16.632,0,0.0426,0.687,5.12E-05,0.133,0.567,80.816,167373
13,0.619,0.22,0,-13.843,1,0.0667,0.782,1.19E-05,0.124,0.423,75.16,258835
13,0.618,0.588,2,-11.624,1,0.0735,0.0128,0.0266,0.351,0.768,86.903,146973
13,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,179693
13,0.883,0.464,10,-11.251,1,0.0591,0.279,1.51E-05,0.0744,0.925,111.548,172333
13,0.634,0.677,2,-7.19,1,0.0448,0.318,0,0.0902,0.939,95.792,179120
13,0.63,0.711,10,-9.34,1,0.0472,0.299,0,0.0813,0.659,96.912,167933
13,0.594,0.38,10,-12.059,0,0.0455,0.273,2.87E-05,0.1,0.446,92.004,279333
13,0.65,0.323,0,-8.698,1,0.0283,0.213,0,0.187,0.276,110.962,166973
13,0.524,0.519,6,-11.903,1,0.043,0.195,0,0.523,0.847,110.121,169800
13,0.696,0.547,5,-5.954,0,0.169,0.792,0,0.155,0.623,73.203,155507
13,0.59,0.659,5,-9.669,1,0.0697,0.104,6.56E-06,0.356,0.965,80.201,141067
13,0.471,0.585,1,-6.105,1,0.0822,0.786,0,0.811,0.655,150.719,169747
13,0.632,0.59,5,-10.206,1,0.0305,0.346,0,0.24,0.953,130.287,172733
13,0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633,158040
13,0.499,0.246,9,-12.806,1,0.0325,0.7,0.00227,0.0965,0.152,148.468,181667
13,0.613,0.487,7,-8.781,1,0.0935,0.412,1.02E-05,0.286,0.699,143.332,165800
13,0.678,0.544,4,-9.468,0,0.0326,0.668,9.62E-06,0.103,0.963,122.735,171027
13,0.376,0.67,10,-9.273,1,0.0854,0.0727,2.52E-06,0.0718,0.837,185.503,169293
13,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,156653
13,0.785,0.776,2,-5.259,1,0.0312,0.729,0,0.181,0.967,121.505,148040
13,0.59,0.737,7,-5.867,1,0.0384,0.404,0,0.108,0.877,132.966,164160
13,0.502,0.333,7,-10.914,1,0.0264,0.699,0,0.222,0.729,96.982,174360
13,0.667,0.599,0,-8.894,1,0.0291,0.245,0,0.107,0.971,127.935,160280
13,0.676,0.245,0,-14.27,1,0.0299,0.677,0,0.319,0.532,86.338,173893
13,0.733,0.624,4,-9.849,1,0.0374,0.623,0,0.407,0.912,114.584,154907
13,0.703,0.724,7,-10.818,1,0.0467,0.73,0,0.518,0.963,131.821,155173
13,0.744,0.568,0,-9.629,1,0.0494,0.186,1.18E-05,0.163,0.687,122.657,178400
