,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,audio_features,58PSYdY0GFg0LFb2PxYk4T,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,321133,3
1,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,audio_features,3cg0dJfrQB66Qf2YthPb6G,spotify:track:3cg0dJfrQB66Qf2YthPb6G,https://api.spotify.com/v1/tracks/3cg0dJfrQB66Qf2YthPb6G,https://api.spotify.com/v1/audio-analysis/3cg0dJfrQB66Qf2YthPb6G,301133,4
2,0.821,0.376,0,-13.622,1,0.0487,0.669,1.39e-05,0.106,0.824,119.039,audio_features,7j02rdE5RVtNcNMuLGY5SS,spotify:track:7j02rdE5RVtNcNMuLGY5SS,https://api.spotify.com/v1/tracks/7j02rdE5RVtNcNMuLGY5SS,https://api.spotify.com/v1/audio-analysis/7j02rdE5RVtNcNMuLGY5SS,170000,4
3,0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,audio_features,3ocm1Cf1Dk1ODrdBdybh82,spotify:track:3ocm1Cf1Dk1ODrdBdybh82,https://api.spotify.com/v1/tracks/3ocm1Cf1Dk1ODrdBdybh82,https://api.spotify.com/v1/audio-analysis/3ocm1Cf1Dk1ODrdBdybh82,169998,4
4,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,audio_features,2HUZVffVPXvqnrml0gXggp,spotify:track:2HUZVffVPXvqnrml0gXggp,https://api.spotify.com/v1/tracks/2HUZVffVPXvqnrml0gXggp,https://api.spotify.com/v1/audio-analysis/2HUZVffVPXvqnrml0gXggp,188400,4
5,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,audio_features,3KSchPNSklO5McIqRH3qYX,spotify:track:3KSchPNSklO5McIqRH3qYX,https://api.spotify.com/v1/tracks/3KSchPNSklO5McIqRH3qYX,https://api.spotify.com/v1/audio-analysis/3KSchPNSklO5McIqRH3qYX,238533,3
6,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,audio_features,5bC6ONDsL88snGN6QasjZH,spotify:track:5bC6ONDsL88snGN6QasjZH,https://api.spotify.com/v1/tracks/5bC6ONDsL88snGN6QasjZH,https://api.spotify.com/v1/audio-analysis/5bC6ONDsL88snGN6QasjZH,188200,4
7,0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,audio_features,3YGsgJqtIWKjMjZtKLk11Z,spotify:track:3YGsgJqtIWKjMjZtKLk11Z,https://api.spotify.com/v1/tracks/3YGsgJqtIWKjMjZtKLk11Z,https://api.spotify.com/v1/audio-analysis/3YGsgJqtIWKjMjZtKLk11Z,314880,3
8,0.541,0.283,0,-13.659,1,0.0527,0.805,0.0367,0.0736,0.564,76.828,audio_features,3DjwjAUPT4zvIu6ZzcgLGJ,spotify:track:3DjwjAUPT4zvIu6ZzcgLGJ,https://api.spotify.com/v1/tracks/3DjwjAUPT4zvIu6ZzcgLGJ,https://api.spotify.com/v1/audio-analysis/3DjwjAUPT4zvIu6ZzcgLGJ,228627,4
9,0.596,0.545,11,-8.913,0,0.064,0.456,5.53e-05,0.329,0.718,146.953,audio_features,41s9iG3fTuu32yBnmDLCcZ,spotify:track:41s9iG3fTuu32yBnmDLCcZ,https://api.spotify.com/v1/tracks/41s9iG3fTuu32yBnmDLCcZ,https://api.spotify.com/v1/audio-analysis/41s9iG3fTuu32yBnmDLCcZ,179733,4
