,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.642,0.764,7,-6.741,0,0.0457,0.1,0.32,0.0731,0.704,104.885,audio_features,48d8lgSahjvXsfPc3dVXCo,spotify:track:48d8lgSahjvXsfPc3dVXCo,https://api.spotify.com/v1/tracks/48d8lgSahjvXsfPc3dVXCo,https://api.spotify.com/v1/audio-analysis/48d8lgSahjvXsfPc3dVXCo,224041,4
1,0.731,0.743,11,-11.783,0,0.0506,0.0696,0.0045,0.0796,0.97,88.049,audio_features,35kDqdxX71QMxGN9TfN8Ze,spotify:track:35kDqdxX71QMxGN9TfN8Ze,https://api.spotify.com/v1/tracks/35kDqdxX71QMxGN9TfN8Ze,https://api.spotify.com/v1/audio-analysis/35kDqdxX71QMxGN9TfN8Ze,210483,4
2,0.684,0.882,8,-9.353,1,0.118,0.152,0.0225,0.313,0.758,90.149,audio_features,0E02hR1cBcwaGhZBKboKts,spotify:track:0E02hR1cBcwaGhZBKboKts,https://api.spotify.com/v1/tracks/0E02hR1cBcwaGhZBKboKts,https://api.spotify.com/v1/audio-analysis/0E02hR1cBcwaGhZBKboKts,305760,4
3,0.782,0.922,11,-4.028,0,0.0497,0.00655,0.0118,0.0728,0.761,104.016,audio_features,2r5zwMQ5dKB04MqVfc0IeH,spotify:track:2r5zwMQ5dKB04MqVfc0IeH,https://api.spotify.com/v1/tracks/2r5zwMQ5dKB04MqVfc0IeH,https://api.spotify.com/v1/audio-analysis/2r5zwMQ5dKB04MqVfc0IeH,255228,4
4,0.745,0.84,0,-6.623,1,0.0692,0.0654,0.104,0.0446,0.9,123.983,audio_features,3xq9srnNN0LBvha15ZWpTU,spotify:track:3xq9srnNN0LBvha15ZWpTU,https://api.spotify.com/v1/tracks/3xq9srnNN0LBvha15ZWpTU,https://api.spotify.com/v1/audio-analysis/3xq9srnNN0LBvha15ZWpTU,224368,4
5,0.687,0.958,9,-4.498,1,0.118,0.0561,0.138,0.0886,0.797,158.276,audio_features,0uV4hoKCnJIlveeJZKhgux,spotify:track:0uV4hoKCnJIlveeJZKhgux,https://api.spotify.com/v1/tracks/0uV4hoKCnJIlveeJZKhgux,https://api.spotify.com/v1/audio-analysis/0uV4hoKCnJIlveeJZKhgux,186349,4
6,0.61,0.752,10,-5.062,0,0.0389,0.294,0.0755,0.116,0.832,89.995,audio_features,33qbRR8yZt50GKrYVsz9tm,spotify:track:33qbRR8yZt50GKrYVsz9tm,https://api.spotify.com/v1/tracks/33qbRR8yZt50GKrYVsz9tm,https://api.spotify.com/v1/audio-analysis/33qbRR8yZt50GKrYVsz9tm,196867,4
7,0.55,0.776,0,-4.796,1,0.236,0.0893,0.000182,0.176,0.932,204.745,audio_features,5XgkwPu4UjZ6MHXp2kJgkd,spotify:track:5XgkwPu4UjZ6MHXp2kJgkd,https://api.spotify.com/v1/tracks/5XgkwPu4UjZ6MHXp2kJgkd,https://api.spotify.com/v1/audio-analysis/5XgkwPu4UjZ6MHXp2kJgkd,215587,4
8,0.658,0.895,7,-6.84,0,0.0704,0.0669,0.00312,0.361,0.855,123.912,audio_features,0POKng0AB6Z2PjFYQo2B3U,spotify:track:0POKng0AB6Z2PjFYQo2B3U,https://api.spotify.com/v1/tracks/0POKng0AB6Z2PjFYQo2B3U,https://api.spotify.com/v1/audio-analysis/0POKng0AB6Z2PjFYQo2B3U,199600,4
9,0.775,0.898,2,-7.054,1,0.0949,0.028,0.000269,0.0646,0.776,109.987,audio_features,1XW9m112RR33Xud3BmdHvd,spotify:track:1XW9m112RR33Xud3BmdHvd,https://api.spotify.com/v1/tracks/1XW9m112RR33Xud3BmdHvd,https://api.spotify.com/v1/audio-analysis/1XW9m112RR33Xud3BmdHvd,281133,4
10,0.771,0.807,7,-6.258,1,0.058,0.0107,0.0135,0.568,0.707,98.003,audio_features,38zPYzuphYkAEygg8Y6Fhb,spotify:track:38zPYzuphYkAEygg8Y6Fhb,https://api.spotify.com/v1/tracks/38zPYzuphYkAEygg8Y6Fhb,https://api.spotify.com/v1/audio-analysis/38zPYzuphYkAEygg8Y6Fhb,256960,4
11,0.849,0.781,0,-9.329,0,0.0803,0.0946,0.057,0.0681,0.817,115.009,audio_features,2zOdVxcYXq7i04m7gnrsr0,spotify:track:2zOdVxcYXq7i04m7gnrsr0,https://api.spotify.com/v1/tracks/2zOdVxcYXq7i04m7gnrsr0,https://api.spotify.com/v1/audio-analysis/2zOdVxcYXq7i04m7gnrsr0,402852,4
12,0.518,0.877,1,-5.648,1,0.0458,0.000214,0.072,0.297,0.812,92.902,audio_features,31pQtFVYEWAIkYPjSzz4nM,spotify:track:31pQtFVYEWAIkYPjSzz4nM,https://api.spotify.com/v1/tracks/31pQtFVYEWAIkYPjSzz4nM,https://api.spotify.com/v1/audio-analysis/31pQtFVYEWAIkYPjSzz4nM,222334,4
