,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.729,0.5,9,-6.327,1,0.0321,0.39,0.0,0.0843,0.279,90.0,audio_features,5n8nboldCDzZqFmJT2mzlW,spotify:track:5n8nboldCDzZqFmJT2mzlW,https://api.spotify.com/v1/tracks/5n8nboldCDzZqFmJT2mzlW,https://api.spotify.com/v1/audio-analysis/5n8nboldCDzZqFmJT2mzlW,152000,3
1,0.841,0.504,9,-7.867,1,0.0432,0.461,0.000112,0.101,0.571,100.954,audio_features,1OtbUHPOgOwBiQmo4rBeZz,spotify:track:1OtbUHPOgOwBiQmo4rBeZz,https://api.spotify.com/v1/tracks/1OtbUHPOgOwBiQmo4rBeZz,https://api.spotify.com/v1/audio-analysis/1OtbUHPOgOwBiQmo4rBeZz,157016,4
2,0.714,0.636,4,-9.227,0,0.102,0.237,4.77e-06,0.0923,0.649,124.073,audio_features,0uyS8703J6bAsuLgznGoIN,spotify:track:0uyS8703J6bAsuLgznGoIN,https://api.spotify.com/v1/tracks/0uyS8703J6bAsuLgznGoIN,https://api.spotify.com/v1/audio-analysis/0uyS8703J6bAsuLgznGoIN,171250,4
3,0.611,0.289,9,-12.225,0,0.0418,0.7,0.000141,0.0914,0.154,178.973,audio_features,2HqKzguqIAjJgC7cSWR5EP,spotify:track:2HqKzguqIAjJgC7cSWR5EP,https://api.spotify.com/v1/tracks/2HqKzguqIAjJgC7cSWR5EP,https://api.spotify.com/v1/audio-analysis/2HqKzguqIAjJgC7cSWR5EP,175642,3
4,0.635,0.735,4,-4.529,0,0.045,0.117,0.0,0.219,0.462,159.996,audio_features,76Y6f9lVNnFM5T3BRa2RJK,spotify:track:76Y6f9lVNnFM5T3BRa2RJK,https://api.spotify.com/v1/tracks/76Y6f9lVNnFM5T3BRa2RJK,https://api.spotify.com/v1/audio-analysis/76Y6f9lVNnFM5T3BRa2RJK,144920,4
5,0.596,0.32,8,-10.204,1,0.0674,0.726,0.0,0.0907,0.507,81.711,audio_features,5vmSMCACbvvNyj71zAMRQ9,spotify:track:5vmSMCACbvvNyj71zAMRQ9,https://api.spotify.com/v1/tracks/5vmSMCACbvvNyj71zAMRQ9,https://api.spotify.com/v1/audio-analysis/5vmSMCACbvvNyj71zAMRQ9,167442,4
6,0.709,0.562,11,-10.326,1,0.116,0.048,0.0,0.207,0.265,88.027,audio_features,7DHNcoR73yUYCSn6PqBgkH,spotify:track:7DHNcoR73yUYCSn6PqBgkH,https://api.spotify.com/v1/tracks/7DHNcoR73yUYCSn6PqBgkH,https://api.spotify.com/v1/audio-analysis/7DHNcoR73yUYCSn6PqBgkH,169763,4
7,0.885,0.474,6,-5.846,0,0.0444,0.0735,1.89e-06,0.463,0.538,107.041,audio_features,1YGXPblIab3jnYKrghCKhf,spotify:track:1YGXPblIab3jnYKrghCKhf,https://api.spotify.com/v1/tracks/1YGXPblIab3jnYKrghCKhf,https://api.spotify.com/v1/audio-analysis/1YGXPblIab3jnYKrghCKhf,139363,4
8,0.535,0.387,1,-9.65,0,0.0638,0.2,1.05e-06,0.114,0.14,145.046,audio_features,4x0MG72lkcCEeJtt040nWv,spotify:track:4x0MG72lkcCEeJtt040nWv,https://api.spotify.com/v1/tracks/4x0MG72lkcCEeJtt040nWv,https://api.spotify.com/v1/audio-analysis/4x0MG72lkcCEeJtt040nWv,191984,4
9,0.76,0.515,6,-6.951,0,0.175,0.0823,0.0,0.102,0.243,86.993,audio_features,2J84JH5YkAfKpjFjdLm1aJ,spotify:track:2J84JH5YkAfKpjFjdLm1aJ,https://api.spotify.com/v1/tracks/2J84JH5YkAfKpjFjdLm1aJ,https://api.spotify.com/v1/audio-analysis/2J84JH5YkAfKpjFjdLm1aJ,133995,4
10,0.739,0.616,7,-6.963,0,0.0338,0.252,1.93e-06,0.101,0.654,91.071,audio_features,5kkaSMcf4BFlhRRICCKZb6,spotify:track:5kkaSMcf4BFlhRRICCKZb6,https://api.spotify.com/v1/tracks/5kkaSMcf4BFlhRRICCKZb6,https://api.spotify.com/v1/audio-analysis/5kkaSMcf4BFlhRRICCKZb6,158466,4
