,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.148,0.0441,4,-24.975,0,0.0418,0.971,0.878,0.0672,0.0883,75.515,audio_features,1F4yiRNKcSc2iegXvZJhdt,spotify:track:1F4yiRNKcSc2iegXvZJhdt,https://api.spotify.com/v1/tracks/1F4yiRNKcSc2iegXvZJhdt,https://api.spotify.com/v1/audio-analysis/1F4yiRNKcSc2iegXvZJhdt,856187,4
1,0.197,0.133,10,-24.248,1,0.0484,0.863,0.812,0.156,0.0389,125.682,audio_features,1hq4Fx7bhOKyU7lUEqAPzM,spotify:track:1hq4Fx7bhOKyU7lUEqAPzM,https://api.spotify.com/v1/tracks/1hq4Fx7bhOKyU7lUEqAPzM,https://api.spotify.com/v1/audio-analysis/1hq4Fx7bhOKyU7lUEqAPzM,836973,4
2,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.601,0.143,0.0936,94.736,audio_features,4J0e4gEqaLQlG5EM0wws1K,spotify:track:4J0e4gEqaLQlG5EM0wws1K,https://api.spotify.com/v1/tracks/4J0e4gEqaLQlG5EM0wws1K,https://api.spotify.com/v1/audio-analysis/4J0e4gEqaLQlG5EM0wws1K,707173,4
3,0.255,0.108,4,-22.921,0,0.0473,0.845,0.0121,0.152,0.108,103.282,audio_features,4bIjbUtQR6d278R96dFbMK,spotify:track:4bIjbUtQR6d278R96dFbMK,https://api.spotify.com/v1/tracks/4bIjbUtQR6d278R96dFbMK,https://api.spotify.com/v1/audio-analysis/4bIjbUtQR6d278R96dFbMK,681267,4
4,0.386,0.325,7,-14.183,0,0.0427,0.923,0.904,0.105,0.224,155.594,audio_features,3UalUK02dcL00HzaFfbeBx,spotify:track:3UalUK02dcL00HzaFfbeBx,https://api.spotify.com/v1/tracks/3UalUK02dcL00HzaFfbeBx,https://api.spotify.com/v1/audio-analysis/3UalUK02dcL00HzaFfbeBx,644920,4
5,0.0903,0.083,11,-21.241,0,0.0387,0.958,0.863,0.0883,0.032,85.443,audio_features,3G2Rv3PBHmTbop6bTUYc8L,spotify:track:3G2Rv3PBHmTbop6bTUYc8L,https://api.spotify.com/v1/tracks/3G2Rv3PBHmTbop6bTUYc8L,https://api.spotify.com/v1/audio-analysis/3G2Rv3PBHmTbop6bTUYc8L,642827,4
6,0.156,0.0335,0,-25.684,0,0.0411,0.939,0.789,0.124,0.0359,67.197,audio_features,1rHUIdGj02fFm44oVs0p06,spotify:track:1rHUIdGj02fFm44oVs0p06,https://api.spotify.com/v1/tracks/1rHUIdGj02fFm44oVs0p06,https://api.spotify.com/v1/audio-analysis/1rHUIdGj02fFm44oVs0p06,623369,4
7,0.368,0.0224,7,-31.261,1,0.0364,0.994,0.918,0.129,0.247,98.118,audio_features,1i8tzGQ59LjKqs1DzmAs4z,spotify:track:1i8tzGQ59LjKqs1DzmAs4z,https://api.spotify.com/v1/tracks/1i8tzGQ59LjKqs1DzmAs4z,https://api.spotify.com/v1/audio-analysis/1i8tzGQ59LjKqs1DzmAs4z,620293,4
8,0.087,0.0507,2,-30.065,1,0.0432,0.21,0.419,0.106,0.0393,84.323,audio_features,07nKrcJZEHB3zt4caZtDmv,spotify:track:07nKrcJZEHB3zt4caZtDmv,https://api.spotify.com/v1/tracks/07nKrcJZEHB3zt4caZtDmv,https://api.spotify.com/v1/audio-analysis/07nKrcJZEHB3zt4caZtDmv,576920,4
9,0.165,0.0519,11,-25.473,1,0.0512,0.981,5.1e-05,0.103,0.0398,76.891,audio_features,5WDKVW847gjX0S3szpeOq0,spotify:track:5WDKVW847gjX0S3szpeOq0,https://api.spotify.com/v1/tracks/5WDKVW847gjX0S3szpeOq0,https://api.spotify.com/v1/audio-analysis/5WDKVW847gjX0S3szpeOq0,551907,4
10,0.0698,0.00405,3,-38.919,0,0.0383,0.851,0.418,0.153,0.0356,74.584,audio_features,2WTnavRNa9TwbN8EGVAfKf,spotify:track:2WTnavRNa9TwbN8EGVAfKf,https://api.spotify.com/v1/tracks/2WTnavRNa9TwbN8EGVAfKf,https://api.spotify.com/v1/audio-analysis/2WTnavRNa9TwbN8EGVAfKf,542760,4
