,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.529,0.813,5,-5.517,1,0.0327,0.00823,0.0,0.359,0.79,154.068,audio_features,0KtxdSPi1ZbDc3wwD2IGF0,spotify:track:0KtxdSPi1ZbDc3wwD2IGF0,https://api.spotify.com/v1/tracks/0KtxdSPi1ZbDc3wwD2IGF0,https://api.spotify.com/v1/audio-analysis/0KtxdSPi1ZbDc3wwD2IGF0,219920,4
1,0.582,0.86,7,-4.092,1,0.0389,0.048,0.0,0.169,0.79,148.31,audio_features,3dV1fjKOlLnaNK5MeZHXGv,spotify:track:3dV1fjKOlLnaNK5MeZHXGv,https://api.spotify.com/v1/tracks/3dV1fjKOlLnaNK5MeZHXGv,https://api.spotify.com/v1/audio-analysis/3dV1fjKOlLnaNK5MeZHXGv,210480,4
2,0.45,0.9,2,-2.684,1,0.0894,0.0317,0.0,0.203,0.567,180.035,audio_features,5IprLrzGkKjvuheyDmKLq2,spotify:track:5IprLrzGkKjvuheyDmKLq2,https://api.spotify.com/v1/tracks/5IprLrzGkKjvuheyDmKLq2,https://api.spotify.com/v1/audio-analysis/5IprLrzGkKjvuheyDmKLq2,185191,4
3,0.486,0.443,4,-6.791,1,0.034,0.611,2.46e-06,0.0981,0.215,125.159,audio_features,13bXmY0acm51KkgEdhCm1n,spotify:track:13bXmY0acm51KkgEdhCm1n,https://api.spotify.com/v1/tracks/13bXmY0acm51KkgEdhCm1n,https://api.spotify.com/v1/audio-analysis/13bXmY0acm51KkgEdhCm1n,226438,3
4,0.484,0.903,8,-3.9,0,0.0882,0.0649,0.0,0.151,0.716,169.948,audio_features,5M3v6frAiTyqenNAeQVcxC,spotify:track:5M3v6frAiTyqenNAeQVcxC,https://api.spotify.com/v1/tracks/5M3v6frAiTyqenNAeQVcxC,https://api.spotify.com/v1/audio-analysis/5M3v6frAiTyqenNAeQVcxC,186988,4
5,0.433,0.928,4,-5.117,0,0.0512,0.0135,2.01e-06,0.32,0.552,155.938,audio_features,6UL2RC5J2vMau9KOMKQfJg,spotify:track:6UL2RC5J2vMau9KOMKQfJg,https://api.spotify.com/v1/tracks/6UL2RC5J2vMau9KOMKQfJg,https://api.spotify.com/v1/audio-analysis/6UL2RC5J2vMau9KOMKQfJg,197160,4
6,0.588,0.813,5,-5.779,1,0.0391,0.141,0.0,0.116,0.648,81.051,audio_features,4t64dPfqlZa7fFGPSKavId,spotify:track:4t64dPfqlZa7fFGPSKavId,https://api.spotify.com/v1/tracks/4t64dPfqlZa7fFGPSKavId,https://api.spotify.com/v1/audio-analysis/4t64dPfqlZa7fFGPSKavId,188886,4
7,0.585,0.55,11,-7.342,1,0.0255,0.408,3.97e-05,0.115,0.839,78.176,audio_features,0fCwTrRNfoNk962ati8n2K,spotify:track:0fCwTrRNfoNk962ati8n2K,https://api.spotify.com/v1/tracks/0fCwTrRNfoNk962ati8n2K,https://api.spotify.com/v1/audio-analysis/0fCwTrRNfoNk962ati8n2K,218280,4
8,0.565,0.805,0,-4.457,1,0.0489,0.0808,0.0,0.173,0.869,76.04,audio_features,53F1MVa1BWUkTBbVqgVAfN,spotify:track:53F1MVa1BWUkTBbVqgVAfN,https://api.spotify.com/v1/tracks/53F1MVa1BWUkTBbVqgVAfN,https://api.spotify.com/v1/audio-analysis/53F1MVa1BWUkTBbVqgVAfN,181933,4
9,0.649,0.368,2,-10.372,1,0.109,0.478,0.0002,0.257,0.191,73.542,audio_features,0yVG0ZtKZZT7lUy4hkzX2u,spotify:track:0yVG0ZtKZZT7lUy4hkzX2u,https://api.spotify.com/v1/tracks/0yVG0ZtKZZT7lUy4hkzX2u,https://api.spotify.com/v1/audio-analysis/0yVG0ZtKZZT7lUy4hkzX2u,258267,4
