,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4
1,0.784,0.951,7,-7.92,1,0.052,0.00403,0.852,0.0324,0.808,123.99,audio_features,5t8ya2Qx7Xc6bG53piXMYY,spotify:track:5t8ya2Qx7Xc6bG53piXMYY,https://api.spotify.com/v1/tracks/5t8ya2Qx7Xc6bG53piXMYY,https://api.spotify.com/v1/audio-analysis/5t8ya2Qx7Xc6bG53piXMYY,220645,4
2,0.563,0.741,2,-5.151,1,0.0419,0.0927,0.0,0.142,0.438,128.002,audio_features,6hpUC8LHOj0U1JHuFasl9b,spotify:track:6hpUC8LHOj0U1JHuFasl9b,https://api.spotify.com/v1/tracks/6hpUC8LHOj0U1JHuFasl9b,https://api.spotify.com/v1/audio-analysis/6hpUC8LHOj0U1JHuFasl9b,209077,4
3,0.715,0.635,7,-6.591,1,0.0791,0.127,0.0,0.0862,0.39,112.887,audio_features,5Gj1wG8b12VQdEd3hUuSwo,spotify:track:5Gj1wG8b12VQdEd3hUuSwo,https://api.spotify.com/v1/tracks/5Gj1wG8b12VQdEd3hUuSwo,https://api.spotify.com/v1/audio-analysis/5Gj1wG8b12VQdEd3hUuSwo,198635,4
4,0.547,0.672,0,-5.094,1,0.0436,0.306,0.0,0.068,0.564,99.946,audio_features,4Z2S3bGjf3hWkvRghqiqjP,spotify:track:4Z2S3bGjf3hWkvRghqiqjP,https://api.spotify.com/v1/tracks/4Z2S3bGjf3hWkvRghqiqjP,https://api.spotify.com/v1/audio-analysis/4Z2S3bGjf3hWkvRghqiqjP,237933,4
5,0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,audio_features,0vrmHPfoBadXVr2n0m1aqZ,spotify:track:0vrmHPfoBadXVr2n0m1aqZ,https://api.spotify.com/v1/tracks/0vrmHPfoBadXVr2n0m1aqZ,https://api.spotify.com/v1/audio-analysis/0vrmHPfoBadXVr2n0m1aqZ,277262,4
6,0.68,0.84,10,-5.329,0,0.0421,0.0525,0.00194,0.161,0.39,126.023,audio_features,4tePJZsxieT8sxiuSwvyCZ,spotify:track:4tePJZsxieT8sxiuSwvyCZ,https://api.spotify.com/v1/tracks/4tePJZsxieT8sxiuSwvyCZ,https://api.spotify.com/v1/audio-analysis/4tePJZsxieT8sxiuSwvyCZ,172381,4
7,0.448,0.911,1,-3.095,1,0.0408,0.0214,0.0,0.059,0.255,127.127,audio_features,4alnYO7vhfEvNarX4SgBch,spotify:track:4alnYO7vhfEvNarX4SgBch,https://api.spotify.com/v1/tracks/4alnYO7vhfEvNarX4SgBch,https://api.spotify.com/v1/audio-analysis/4alnYO7vhfEvNarX4SgBch,234012,4
8,0.582,0.757,0,-3.965,1,0.0399,0.16,0.0,0.187,0.516,104.105,audio_features,6hciDCyJDYCsYQp2lH6kdA,spotify:track:6hciDCyJDYCsYQp2lH6kdA,https://api.spotify.com/v1/tracks/6hciDCyJDYCsYQp2lH6kdA,https://api.spotify.com/v1/audio-analysis/6hciDCyJDYCsYQp2lH6kdA,205787,4
9,0.533,0.807,2,-3.597,1,0.0457,0.097,0.0,0.0608,0.369,125.025,audio_features,4mAFdxKaADfs3t2K0QCOXv,spotify:track:4mAFdxKaADfs3t2K0QCOXv,https://api.spotify.com/v1/tracks/4mAFdxKaADfs3t2K0QCOXv,https://api.spotify.com/v1/audio-analysis/4mAFdxKaADfs3t2K0QCOXv,253440,4
10,0.529,0.612,10,-8.794,1,0.052,0.253,0.0,0.246,0.434,119.272,audio_features,3o1CUVeHIid49sabk6A6Nf,spotify:track:3o1CUVeHIid49sabk6A6Nf,https://api.spotify.com/v1/tracks/3o1CUVeHIid49sabk6A6Nf,https://api.spotify.com/v1/audio-analysis/3o1CUVeHIid49sabk6A6Nf,193847,4
11,0.7,0.904,2,-4.03,1,0.0431,0.0531,8.03e-06,0.105,0.347,103.039,audio_features,68zNuCEl9UHTbcBltW2uDv,spotify:track:68zNuCEl9UHTbcBltW2uDv,https://api.spotify.com/v1/tracks/68zNuCEl9UHTbcBltW2uDv,https://api.spotify.com/v1/audio-analysis/68zNuCEl9UHTbcBltW2uDv,181102,4
12,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,audio_features,4aTtHoSBB0CuQGA6vXBNyp,spotify:track:4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/tracks/4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/audio-analysis/4aTtHoSBB0CuQGA6vXBNyp,239067,4
13,0.633,0.918,11,-8.208,0,0.0454,0.0334,0.867,0.364,0.786,129.99,audio_features,6iAbvkrFdaUM3T3JcXRG7G,spotify:track:6iAbvkrFdaUM3T3JcXRG7G,https://api.spotify.com/v1/tracks/6iAbvkrFdaUM3T3JcXRG7G,https://api.spotify.com/v1/audio-analysis/6iAbvkrFdaUM3T3JcXRG7G,194926,4
14,0.566,0.909,8,-7.281,0,0.054,0.004,0.0932,0.156,0.382,127.037,audio_features,17kleFbwU5STT8AiR1EXOT,spotify:track:17kleFbwU5STT8AiR1EXOT,https://api.spotify.com/v1/tracks/17kleFbwU5STT8AiR1EXOT,https://api.spotify.com/v1/audio-analysis/17kleFbwU5STT8AiR1EXOT,240384,4
