,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.248,0.729,1,-4.707,0,0.0665,0.214,0.0,0.7,0.144,171.924,audio_features,0DTCdLczLgxt8EXrQFgnQV,spotify:track:0DTCdLczLgxt8EXrQFgnQV,https://api.spotify.com/v1/tracks/0DTCdLczLgxt8EXrQFgnQV,https://api.spotify.com/v1/audio-analysis/0DTCdLczLgxt8EXrQFgnQV,585080,4
1,0.343,0.316,8,-10.43,1,0.0311,0.53,0.0,0.0784,0.0947,128.475,audio_features,1XGD06MU8Ds1O0J9mjo2yn,spotify:track:1XGD06MU8Ds1O0J9mjo2yn,https://api.spotify.com/v1/tracks/1XGD06MU8Ds1O0J9mjo2yn,https://api.spotify.com/v1/audio-analysis/1XGD06MU8Ds1O0J9mjo2yn,507893,4
2,0.436,0.636,8,-5.065,1,0.0394,0.00914,0.0,0.137,0.272,93.594,audio_features,5RjS5iW0FWn1U4ZaWjhLlP,spotify:track:5RjS5iW0FWn1U4ZaWjhLlP,https://api.spotify.com/v1/tracks/5RjS5iW0FWn1U4ZaWjhLlP,https://api.spotify.com/v1/audio-analysis/5RjS5iW0FWn1U4ZaWjhLlP,506200,4
3,0.293,0.46,7,-6.992,1,0.0335,0.14,0.0,0.0779,0.191,97.635,audio_features,0Dlm41iXvTsIVsEOce3yX6,spotify:track:0Dlm41iXvTsIVsEOce3yX6,https://api.spotify.com/v1/tracks/0Dlm41iXvTsIVsEOce3yX6,https://api.spotify.com/v1/audio-analysis/0Dlm41iXvTsIVsEOce3yX6,480547,3
4,0.385,0.698,1,-6.893,1,0.0857,0.0686,2.93e-06,0.65,0.357,79.285,audio_features,1Le6O6aIBN69wCWL1psmLR,spotify:track:1Le6O6aIBN69wCWL1psmLR,https://api.spotify.com/v1/tracks/1Le6O6aIBN69wCWL1psmLR,https://api.spotify.com/v1/audio-analysis/1Le6O6aIBN69wCWL1psmLR,469631,4
5,0.436,0.703,6,-6.403,1,0.0416,0.044,6.57e-06,0.195,0.263,125.992,audio_features,0eidZQA8WPrWcBRfj7YHCa,spotify:track:0eidZQA8WPrWcBRfj7YHCa,https://api.spotify.com/v1/tracks/0eidZQA8WPrWcBRfj7YHCa,https://api.spotify.com/v1/audio-analysis/0eidZQA8WPrWcBRfj7YHCa,458498,4
6,0.557,0.746,8,-6.783,1,0.0306,0.0144,0.0,0.252,0.327,103.492,audio_features,0nSrUpDjFouhaQB7dOi0h7,spotify:track:0nSrUpDjFouhaQB7dOi0h7,https://api.spotify.com/v1/tracks/0nSrUpDjFouhaQB7dOi0h7,https://api.spotify.com/v1/audio-analysis/0nSrUpDjFouhaQB7dOi0h7,441547,4
7,0.328,0.871,8,-4.596,1,0.123,0.0185,2.42e-06,0.922,0.271,167.021,audio_features,1f0ULNih5OLKZk6wcLnoVx,spotify:track:1f0ULNih5OLKZk6wcLnoVx,https://api.spotify.com/v1/tracks/1f0ULNih5OLKZk6wcLnoVx,https://api.spotify.com/v1/audio-analysis/1f0ULNih5OLKZk6wcLnoVx,434547,4
8,0.214,0.487,1,-8.455,1,0.0479,0.451,1.62e-05,0.393,0.194,81.36,audio_features,0GRRDzyfiF5dQU1ZpC4Ftk,spotify:track:0GRRDzyfiF5dQU1ZpC4Ftk,https://api.spotify.com/v1/tracks/0GRRDzyfiF5dQU1ZpC4Ftk,https://api.spotify.com/v1/audio-analysis/0GRRDzyfiF5dQU1ZpC4Ftk,423107,3
9,0.556,0.843,1,-7.324,1,0.0555,0.0146,1.53e-05,0.784,0.403,112.935,audio_features,4KuFyYtKIizLOjfofjxZT8,spotify:track:4KuFyYtKIizLOjfofjxZT8,https://api.spotify.com/v1/tracks/4KuFyYtKIizLOjfofjxZT8,https://api.spotify.com/v1/audio-analysis/4KuFyYtKIizLOjfofjxZT8,408814,4
