,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.372,0.168,5,-22.966,1,0.0319,0.738,0.729,0.0917,0.195,96.074,audio_features,0Pw63fBSPpWdWPfcUr9hY5,spotify:track:0Pw63fBSPpWdWPfcUr9hY5,https://api.spotify.com/v1/tracks/0Pw63fBSPpWdWPfcUr9hY5,https://api.spotify.com/v1/audio-analysis/0Pw63fBSPpWdWPfcUr9hY5,465133,4
1,0.423,0.22,0,-13.499,0,0.0298,0.949,0.854,0.12,0.152,107.595,audio_features,4GMJNNA04YDBVixAWiK5zD,spotify:track:4GMJNNA04YDBVixAWiK5zD,https://api.spotify.com/v1/tracks/4GMJNNA04YDBVixAWiK5zD,https://api.spotify.com/v1/audio-analysis/4GMJNNA04YDBVixAWiK5zD,438625,4
2,0.76,0.462,9,-11.571,1,0.0355,0.333,0.727,0.0997,0.842,109.998,audio_features,1qqVgXK4RrVwkM851ALIP4,spotify:track:1qqVgXK4RrVwkM851ALIP4,https://api.spotify.com/v1/tracks/1qqVgXK4RrVwkM851ALIP4,https://api.spotify.com/v1/audio-analysis/1qqVgXK4RrVwkM851ALIP4,423320,4
3,0.515,0.184,0,-16.969,1,0.0426,0.858,0.18,0.12,0.218,122.744,audio_features,6qTF7EjSSecc1rip7xckgN,spotify:track:6qTF7EjSSecc1rip7xckgN,https://api.spotify.com/v1/tracks/6qTF7EjSSecc1rip7xckgN,https://api.spotify.com/v1/audio-analysis/6qTF7EjSSecc1rip7xckgN,381051,3
4,0.576,0.328,5,-10.995,1,0.0367,0.95,0.795,0.106,0.231,117.239,audio_features,7K0RtjPEyD4djyUJUQUiNG,spotify:track:7K0RtjPEyD4djyUJUQUiNG,https://api.spotify.com/v1/tracks/7K0RtjPEyD4djyUJUQUiNG,https://api.spotify.com/v1/audio-analysis/7K0RtjPEyD4djyUJUQUiNG,377500,3
5,0.518,0.0493,9,-26.565,0,0.0346,0.9,0.879,0.349,0.16,61.908,audio_features,3LZ0GUgBO1XXW6jKK5A2lJ,spotify:track:3LZ0GUgBO1XXW6jKK5A2lJ,https://api.spotify.com/v1/tracks/3LZ0GUgBO1XXW6jKK5A2lJ,https://api.spotify.com/v1/audio-analysis/3LZ0GUgBO1XXW6jKK5A2lJ,375094,4
6,0.403,0.13,2,-14.665,1,0.0374,0.969,0.804,0.125,0.0904,137.726,audio_features,50ma4LjaP5XDL1BsHrZ1D9,spotify:track:50ma4LjaP5XDL1BsHrZ1D9,https://api.spotify.com/v1/tracks/50ma4LjaP5XDL1BsHrZ1D9,https://api.spotify.com/v1/audio-analysis/50ma4LjaP5XDL1BsHrZ1D9,365880,4
7,0.731,0.752,2,-7.899,1,0.0356,0.0713,0.892,0.278,0.667,123.972,audio_features,2OskiZnUwZFdHhcpkYDZUG,spotify:track:2OskiZnUwZFdHhcpkYDZUG,https://api.spotify.com/v1/tracks/2OskiZnUwZFdHhcpkYDZUG,https://api.spotify.com/v1/audio-analysis/2OskiZnUwZFdHhcpkYDZUG,359302,4
8,0.794,0.674,1,-11.176,1,0.0494,0.0677,0.000199,0.0749,0.742,120.013,audio_features,4f4VW2zi93QbIgo9YsWQzb,spotify:track:4f4VW2zi93QbIgo9YsWQzb,https://api.spotify.com/v1/tracks/4f4VW2zi93QbIgo9YsWQzb,https://api.spotify.com/v1/audio-analysis/4f4VW2zi93QbIgo9YsWQzb,356000,4
9,0.559,0.2,0,-17.49,0,0.0372,0.945,0.505,0.121,0.305,124.408,audio_features,2qBOKp5eX9j0rZiZuIl7sc,spotify:track:2qBOKp5eX9j0rZiZuIl7sc,https://api.spotify.com/v1/tracks/2qBOKp5eX9j0rZiZuIl7sc,https://api.spotify.com/v1/audio-analysis/2qBOKp5eX9j0rZiZuIl7sc,352250,4
