,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.869,0.75,7,-8.6,1,0.048,0.0311,0.0049,0.163,0.961,132.844,audio_features,5nDPGDOqmAeSV4hXQsAU01,spotify:track:5nDPGDOqmAeSV4hXQsAU01,https://api.spotify.com/v1/tracks/5nDPGDOqmAeSV4hXQsAU01,https://api.spotify.com/v1/audio-analysis/5nDPGDOqmAeSV4hXQsAU01,460227,4
1,0.655,0.675,1,-9.352,1,0.0599,0.272,0.0236,0.727,0.587,77.589,audio_features,423hwXFgoN8RYmqLoLuVvY,spotify:track:423hwXFgoN8RYmqLoLuVvY,https://api.spotify.com/v1/tracks/423hwXFgoN8RYmqLoLuVvY,https://api.spotify.com/v1/audio-analysis/423hwXFgoN8RYmqLoLuVvY,427800,4
2,0.749,0.296,4,-17.927,1,0.356,0.0713,0.00458,0.0879,0.475,164.707,audio_features,1YpH91YcUZlo2mxKJVhWM8,spotify:track:1YpH91YcUZlo2mxKJVhWM8,https://api.spotify.com/v1/tracks/1YpH91YcUZlo2mxKJVhWM8,https://api.spotify.com/v1/audio-analysis/1YpH91YcUZlo2mxKJVhWM8,388227,4
3,0.917,0.745,7,-4.424,0,0.186,0.258,2.39e-05,0.382,0.935,142.001,audio_features,5NYWAlsnlOKNUlmKoDMENy,spotify:track:5NYWAlsnlOKNUlmKoDMENy,https://api.spotify.com/v1/tracks/5NYWAlsnlOKNUlmKoDMENy,https://api.spotify.com/v1/audio-analysis/5NYWAlsnlOKNUlmKoDMENy,339267,4
4,0.773,0.522,7,-10.747,1,0.0921,0.0893,0.127,0.0616,0.427,98.396,audio_features,7E1duSMvHGUcYRgwrMZOUf,spotify:track:7E1duSMvHGUcYRgwrMZOUf,https://api.spotify.com/v1/tracks/7E1duSMvHGUcYRgwrMZOUf,https://api.spotify.com/v1/audio-analysis/7E1duSMvHGUcYRgwrMZOUf,333107,4
5,0.751,0.463,9,-10.96,1,0.104,0.642,0.208,0.0314,0.926,150.191,audio_features,4FNm4ZJaUVLDCMXcqwS6zY,spotify:track:4FNm4ZJaUVLDCMXcqwS6zY,https://api.spotify.com/v1/tracks/4FNm4ZJaUVLDCMXcqwS6zY,https://api.spotify.com/v1/audio-analysis/4FNm4ZJaUVLDCMXcqwS6zY,330760,4
6,0.739,0.84,9,-5.076,0,0.132,0.346,0.0,0.135,0.612,119.02,audio_features,1OxAshjLPHmmv3pNbBpBUI,spotify:track:1OxAshjLPHmmv3pNbBpBUI,https://api.spotify.com/v1/tracks/1OxAshjLPHmmv3pNbBpBUI,https://api.spotify.com/v1/audio-analysis/1OxAshjLPHmmv3pNbBpBUI,319707,4
7,0.724,0.696,1,-6.326,1,0.201,0.123,0.0,0.106,0.433,93.607,audio_features,6Ja1mjO9WcJFX3LsH22gRk,spotify:track:6Ja1mjO9WcJFX3LsH22gRk,https://api.spotify.com/v1/tracks/6Ja1mjO9WcJFX3LsH22gRk,https://api.spotify.com/v1/audio-analysis/6Ja1mjO9WcJFX3LsH22gRk,317333,4
8,0.577,0.811,0,-4.868,0,0.0835,0.318,0.0,0.165,0.542,155.992,audio_features,4gDtGK7uVjYaY7oh7dFbbv,spotify:track:4gDtGK7uVjYaY7oh7dFbbv,https://api.spotify.com/v1/tracks/4gDtGK7uVjYaY7oh7dFbbv,https://api.spotify.com/v1/audio-analysis/4gDtGK7uVjYaY7oh7dFbbv,310760,4
9,0.749,0.686,9,-5.527,0,0.0526,0.109,1.01e-06,0.176,0.884,125.016,audio_features,4tvir8RdYszAMkraiyTSmN,spotify:track:4tvir8RdYszAMkraiyTSmN,https://api.spotify.com/v1/tracks/4tvir8RdYszAMkraiyTSmN,https://api.spotify.com/v1/audio-analysis/4tvir8RdYszAMkraiyTSmN,301965,4
10,0.675,0.166,11,-22.602,1,0.171,0.88,7.14e-05,0.0461,0.747,68.837,audio_features,4hObp5bmIJ3PP3cKA9K9GY,spotify:track:4hObp5bmIJ3PP3cKA9K9GY,https://api.spotify.com/v1/tracks/4hObp5bmIJ3PP3cKA9K9GY,https://api.spotify.com/v1/audio-analysis/4hObp5bmIJ3PP3cKA9K9GY,294400,4
11,0.366,0.408,2,-10.67,0,0.035,0.422,0.0,0.466,0.307,127.279,audio_features,11h8rVb7ZQ21enNmHRraFj,spotify:track:11h8rVb7ZQ21enNmHRraFj,https://api.spotify.com/v1/tracks/11h8rVb7ZQ21enNmHRraFj,https://api.spotify.com/v1/audio-analysis/11h8rVb7ZQ21enNmHRraFj,293632,4
12,0.667,0.709,11,-4.941,0,0.288,0.0805,0.000104,0.111,0.527,171.93,audio_features,68kfZVu80OztFIEM0haqca,spotify:track:68kfZVu80OztFIEM0haqca,https://api.spotify.com/v1/tracks/68kfZVu80OztFIEM0haqca,https://api.spotify.com/v1/audio-analysis/68kfZVu80OztFIEM0haqca,289760,4
13,0.769,0.657,5,-9.084,1,0.0496,0.371,1.79e-05,0.122,0.583,92.982,audio_features,7BKg6TiZdDQa4GQXCofth6,spotify:track:7BKg6TiZdDQa4GQXCofth6,https://api.spotify.com/v1/tracks/7BKg6TiZdDQa4GQXCofth6,https://api.spotify.com/v1/audio-analysis/7BKg6TiZdDQa4GQXCofth6,289032,4
14,0.752,0.499,4,-6.637,1,0.031,0.0685,1.98e-05,0.179,0.585,135.096,audio_features,30IDv8NTGHirorcjkk8MLR,spotify:track:30IDv8NTGHirorcjkk8MLR,https://api.spotify.com/v1/tracks/30IDv8NTGHirorcjkk8MLR,https://api.spotify.com/v1/audio-analysis/30IDv8NTGHirorcjkk8MLR,289177,4
15,0.786,0.642,8,-9.324,1,0.184,0.329,2.3e-05,0.09,0.708,96.886,audio_features,4MGa3uO14yw16f8IPKnLZ6,spotify:track:4MGa3uO14yw16f8IPKnLZ6,https://api.spotify.com/v1/tracks/4MGa3uO14yw16f8IPKnLZ6,https://api.spotify.com/v1/audio-analysis/4MGa3uO14yw16f8IPKnLZ6,281027,4
16,0.811,0.428,7,-10.728,1,0.221,0.0122,0.317,0.344,0.653,80.962,audio_features,0INtJm8gCJKtNaAYQNVlpZ,spotify:track:0INtJm8gCJKtNaAYQNVlpZ,https://api.spotify.com/v1/tracks/0INtJm8gCJKtNaAYQNVlpZ,https://api.spotify.com/v1/audio-analysis/0INtJm8gCJKtNaAYQNVlpZ,277893,4
17,0.77,0.787,11,-5.489,0,0.278,0.23,0.000199,0.198,0.588,82.029,audio_features,2PeRJj9lTSq7Eb3UHXLFK8,spotify:track:2PeRJj9lTSq7Eb3UHXLFK8,https://api.spotify.com/v1/tracks/2PeRJj9lTSq7Eb3UHXLFK8,https://api.spotify.com/v1/audio-analysis/2PeRJj9lTSq7Eb3UHXLFK8,277653,4
18,0.92,0.56,8,-9.53,1,0.0576,0.0551,4.09e-05,0.097,0.625,140.004,audio_features,49CdYBpfABUa0ZfT8FizQZ,spotify:track:49CdYBpfABUa0ZfT8FizQZ,https://api.spotify.com/v1/tracks/49CdYBpfABUa0ZfT8FizQZ,https://api.spotify.com/v1/audio-analysis/49CdYBpfABUa0ZfT8FizQZ,273996,4
19,0.379,0.656,7,-4.105,0,0.0495,0.239,0.00518,0.625,0.656,174.174,audio_features,7Ab2TE1F8Wx8IoajiHRfLD,spotify:track:7Ab2TE1F8Wx8IoajiHRfLD,https://api.spotify.com/v1/tracks/7Ab2TE1F8Wx8IoajiHRfLD,https://api.spotify.com/v1/audio-analysis/7Ab2TE1F8Wx8IoajiHRfLD,272840,3
20,0.779,0.418,7,-9.207,1,0.188,0.00333,0.000138,0.252,0.425,127.942,audio_features,5Uv1YNz6uBepPLDdoFANKQ,spotify:track:5Uv1YNz6uBepPLDdoFANKQ,https://api.spotify.com/v1/tracks/5Uv1YNz6uBepPLDdoFANKQ,https://api.spotify.com/v1/audio-analysis/5Uv1YNz6uBepPLDdoFANKQ,271000,4
21,0.614,0.576,9,-7.245,0,0.0761,0.144,1.07e-05,0.957,0.739,134.131,audio_features,4vCOf6SiqLHKB4bipUpZPu,spotify:track:4vCOf6SiqLHKB4bipUpZPu,https://api.spotify.com/v1/tracks/4vCOf6SiqLHKB4bipUpZPu,https://api.spotify.com/v1/audio-analysis/4vCOf6SiqLHKB4bipUpZPu,267519,4
22,0.794,0.57,7,-7.753,1,0.0645,0.0197,0.014,0.104,0.575,143.977,audio_features,7HXcSZsNnjm5HV49Rlk7n4,spotify:track:7HXcSZsNnjm5HV49Rlk7n4,https://api.spotify.com/v1/tracks/7HXcSZsNnjm5HV49Rlk7n4,https://api.spotify.com/v1/audio-analysis/7HXcSZsNnjm5HV49Rlk7n4,267360,4
23,0.869,0.642,0,-5.332,1,0.0372,0.0157,0.0,0.312,0.843,109.969,audio_features,0D8RsHcA3lhqLVw8vg9vyB,spotify:track:0D8RsHcA3lhqLVw8vg9vyB,https://api.spotify.com/v1/tracks/0D8RsHcA3lhqLVw8vg9vyB,https://api.spotify.com/v1/audio-analysis/0D8RsHcA3lhqLVw8vg9vyB,261893,4
