,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.49,0.833,6,-5.899,1,0.0487,0.0116,0.000504,0.15,0.39,89.981,audio_features,5FQXMRDSTkn9fowDJ3kZo8,spotify:track:5FQXMRDSTkn9fowDJ3kZo8,https://api.spotify.com/v1/tracks/5FQXMRDSTkn9fowDJ3kZo8,https://api.spotify.com/v1/audio-analysis/5FQXMRDSTkn9fowDJ3kZo8,187347,4
1,0.455,0.764,2,-5.633,1,0.0327,0.00446,0.0,0.105,0.359,74.021,audio_features,1Nuqm2gavvcmZtEFWvbDbK,spotify:track:1Nuqm2gavvcmZtEFWvbDbK,https://api.spotify.com/v1/tracks/1Nuqm2gavvcmZtEFWvbDbK,https://api.spotify.com/v1/audio-analysis/1Nuqm2gavvcmZtEFWvbDbK,260507,4
2,0.531,0.969,6,-3.578,1,0.0491,0.000108,0.0013,0.121,0.449,130.015,audio_features,6V3NY4ylppvtfSalCJpf3Z,spotify:track:6V3NY4ylppvtfSalCJpf3Z,https://api.spotify.com/v1/tracks/6V3NY4ylppvtfSalCJpf3Z,https://api.spotify.com/v1/audio-analysis/6V3NY4ylppvtfSalCJpf3Z,218587,4
3,0.548,0.924,11,-4.48,0,0.0689,0.00033,1.42e-05,0.162,0.242,124.031,audio_features,2pYaGdqXBrl8MdvuwgtBb7,spotify:track:2pYaGdqXBrl8MdvuwgtBb7,https://api.spotify.com/v1/tracks/2pYaGdqXBrl8MdvuwgtBb7,https://api.spotify.com/v1/audio-analysis/2pYaGdqXBrl8MdvuwgtBb7,244538,4
4,0.354,0.942,7,-3.245,1,0.237,0.00039,6.36e-06,0.431,0.242,119.992,audio_features,3IqHzcXy7IsYYND6lKwPAi,spotify:track:3IqHzcXy7IsYYND6lKwPAi,https://api.spotify.com/v1/tracks/3IqHzcXy7IsYYND6lKwPAi,https://api.spotify.com/v1/audio-analysis/3IqHzcXy7IsYYND6lKwPAi,207987,4
5,0.437,0.907,4,-4.284,0,0.245,0.000277,6e-06,0.0994,0.477,124.033,audio_features,6wt1Y7oZoOPXTsG2calurz,spotify:track:6wt1Y7oZoOPXTsG2calurz,https://api.spotify.com/v1/tracks/6wt1Y7oZoOPXTsG2calurz,https://api.spotify.com/v1/audio-analysis/6wt1Y7oZoOPXTsG2calurz,172826,4
6,0.553,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023,audio_features,56sk7jBpZV0CD31G9hEU3b,spotify:track:56sk7jBpZV0CD31G9hEU3b,https://api.spotify.com/v1/tracks/56sk7jBpZV0CD31G9hEU3b,https://api.spotify.com/v1/audio-analysis/56sk7jBpZV0CD31G9hEU3b,231400,4
7,0.5,0.899,4,-4.066,1,0.0736,4.84e-05,0.000198,0.0794,0.566,130.06,audio_features,5ZyXUaBaeZYAZqHxKX8cKL,spotify:track:5ZyXUaBaeZYAZqHxKX8cKL,https://api.spotify.com/v1/tracks/5ZyXUaBaeZYAZqHxKX8cKL,https://api.spotify.com/v1/audio-analysis/5ZyXUaBaeZYAZqHxKX8cKL,229107,4
8,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,audio_features,18lR4BzEs7e3qzc0KVkTpU,spotify:track:18lR4BzEs7e3qzc0KVkTpU,https://api.spotify.com/v1/tracks/18lR4BzEs7e3qzc0KVkTpU,https://api.spotify.com/v1/audio-analysis/18lR4BzEs7e3qzc0KVkTpU,205613,4
9,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587,4
