,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.529,0.813,5,-5.517,1,0.0327,0.00823,0.0,0.359,0.79,154.06799999999998,219920
1,1,0.5820000000000001,0.86,7,-4.092,1,0.0389,0.048,0.0,0.16899999999999998,0.79,148.31,210480
2,2,0.45,0.9,2,-2.6839999999999997,1,0.0894,0.0317,0.0,0.203,0.5670000000000001,180.035,185191
3,3,0.486,0.44299999999999995,4,-6.791,1,0.034,0.611,2.46e-06,0.0981,0.215,125.15899999999999,226438
4,4,0.484,0.903,8,-3.9,0,0.0882,0.0649,0.0,0.151,0.716,169.94799999999998,186988
5,5,0.433,0.9279999999999999,4,-5.117,0,0.0512,0.0135,2.01e-06,0.32,0.552,155.938,197160
6,6,0.588,0.813,5,-5.779,1,0.0391,0.141,0.0,0.11599999999999999,0.648,81.051,188886
7,7,0.585,0.55,11,-7.3420000000000005,1,0.0255,0.408,3.97e-05,0.115,0.8390000000000001,78.176,218280
8,8,0.565,0.805,0,-4.457,1,0.0489,0.0808,0.0,0.17300000000000001,0.8690000000000001,76.04,181933
9,9,0.649,0.368,2,-10.372,1,0.109,0.478,0.0002,0.257,0.191,73.542,258267
10,10,0.465,0.8,0,-5.876,1,0.037000000000000005,0.0132,0.0,0.0975,0.773,94.796,201453
11,11,0.5429999999999999,0.7440000000000001,8,-5.41,1,0.0273,0.0124,0.0,0.315,0.38,93.029,201213
12,12,0.562,0.6829999999999999,7,-4.427,1,0.0296,0.0053100000000000005,0.0,0.107,0.385,132.003,244798
13,13,0.475,0.507,5,-5.666,1,0.0403,0.17300000000000001,0.000523,0.0723,0.303,143.804,236396
14,14,0.6729999999999999,0.8270000000000001,7,-3.162,0,0.0389,0.0066099999999999996,0.0,0.18,0.9470000000000001,126.073,187453
15,15,0.499,0.643,11,-5.416,1,0.0354,0.307,0.0,0.106,0.469,93.805,201480
16,16,0.569,0.389,7,-6.435,1,0.0283,0.532,9.65e-06,0.13699999999999998,0.19699999999999998,127.484,179867
17,17,0.653,0.861,0,-5.2829999999999995,1,0.0388,0.0734,0.0,0.114,0.354,101.95100000000001,184535
18,18,0.621,0.7909999999999999,9,-3.343,1,0.0265,0.0361,0.0,0.14300000000000002,0.7340000000000001,95.075,209110
19,19,0.669,0.5589999999999999,5,-5.003,1,0.0251,0.0805,0.0,0.0703,0.491,95.001,199413
20,20,0.736,0.423,7,-6.934,1,0.0428,0.39799999999999996,0.0,0.10800000000000001,0.34600000000000003,94.919,186450
21,21,0.503,0.536,4,-7.229,1,0.0259,0.642,0.00143,0.111,0.21,90.96600000000001,241467
22,22,0.7390000000000001,0.682,2,-3.728,1,0.205,0.129,0.0,0.32799999999999996,0.634,131.983,199382
