,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.75,0.664,8,-5.9079999999999995,0,0.154,0.275,0.0,0.0632,0.617,105.023,208156
1,1,0.6859999999999999,0.83,8,-4.437,1,0.0369,0.0948,1.33e-06,0.182,0.486,123.03200000000001,214634
2,2,0.611,0.6509999999999999,1,-6.973,1,0.0587,0.14800000000000002,1.84e-05,0.105,0.35700000000000004,122.98299999999999,215361
3,3,0.45799999999999996,0.802,1,-3.9139999999999997,1,0.0416,0.0155,0.0,0.0706,0.51,145.135,218402
4,4,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123.056,182200
5,5,0.6409999999999999,0.529,6,-11.536,1,0.0288,0.00441,0.0008619999999999999,0.0809,0.449,121.027,211452
6,6,0.442,0.619,1,-5.28,1,0.0321,0.0841,0.0,0.0889,0.382,128.31799999999998,206279
7,7,0.643,0.7190000000000001,1,-5.535,1,0.11,0.414,0.0,0.0744,0.39399999999999996,119.973,217247
8,8,0.6970000000000001,0.871,1,-5.926,1,0.0321,0.0617,0.0008939999999999999,0.11,0.423,122.98899999999999,225761
9,9,0.441,0.738,4,-3.1689999999999996,1,0.0449,0.0105,0.0,0.126,0.20800000000000002,126.954,238628
10,10,0.73,0.762,6,-5.191,0,0.0375,0.0663,2.4100000000000003e-05,0.0498,0.643,107.01899999999999,187571
11,11,0.7509999999999999,0.813,0,-4.724,0,0.0403,0.217,2.25e-05,0.11699999999999999,0.8370000000000001,99.99799999999999,168000
12,12,0.541,0.929,6,-4.143,0,0.0641,0.0151,0.0006929999999999999,0.213,0.262,107.024,200748
13,13,0.562,0.63,11,-7.306,1,0.0413,0.0228,0.0,0.268,0.457,133.947,197687
14,14,0.44,0.7390000000000001,1,-5.341,0,0.0494,0.0221,0.0,0.561,0.156,127.62,180000
15,15,0.693,0.7390000000000001,0,-6.682,0,0.0388,0.16399999999999998,1.66e-06,0.0906,0.675,99.976,202053
16,16,0.703,0.894,3,-4.288,0,0.0303,0.0218,0.000223,0.0894,0.779,124.007,164516
17,17,0.614,0.9209999999999999,2,-4.199,1,0.0625,0.0205,9.67e-06,0.11900000000000001,0.42700000000000005,127.964,207999
18,18,0.728,0.7559999999999999,8,-4.61,0,0.0349,0.128,0.0141,0.151,0.294,128.043,213281
19,19,0.6809999999999999,0.935,5,-8.721,1,0.0533,0.0103,0.932,0.364,0.5760000000000001,123.98700000000001,172742
20,20,0.598,0.526,10,-8.658999999999999,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387
21,21,0.6459999999999999,0.7879999999999999,2,-5.193,0,0.0456,0.0271,0.0,0.136,0.35600000000000004,126.00200000000001,196190
22,22,0.645,0.623,5,-4.736000000000001,1,0.034,0.642,0.00029,0.138,0.527,119.994,168000
23,23,0.563,0.758,1,-5.641,0,0.0576,0.0066,0.0,0.0542,0.41200000000000003,123.883,176825
24,24,0.5870000000000001,0.9059999999999999,0,-4.284,1,0.0533,0.265,0.0006129999999999999,0.496,0.45,128.077,159375
25,25,0.622,0.99,11,-5.5,0,0.0424,0.00126,0.612,0.696,0.643,124.008,154390
26,26,0.7070000000000001,0.715,1,-4.599,0,0.0358,0.23,8.65e-05,0.306,0.627,96.01799999999999,195625
27,27,0.805,0.934,4,-6.968,0,0.0482,0.008029999999999999,0.9259999999999999,0.267,0.247,124.00299999999999,207097
28,28,0.52,0.499,11,-8.743,1,0.0382,0.0442,0.0,0.545,0.16899999999999998,144.8,163810
29,29,0.63,0.826,0,-4.798,1,0.0449,0.35600000000000004,6.98e-06,0.136,0.239,116.039,175326
30,30,0.585,0.956,0,-3.577,1,0.0564,0.0285,0.0,0.213,0.593,120.00399999999999,205704
31,31,0.762,0.5429999999999999,8,-8.759,1,0.0377,0.16699999999999998,0.505,0.0299,0.18,123.01,266172
32,32,0.732,0.5760000000000001,10,-7.765,0,0.23199999999999998,0.0304,0.00293,0.11800000000000001,0.561,101.958,194460
33,33,0.624,0.767,8,-3.824,1,0.0417,0.00763,0.0005059999999999999,0.215,0.235,127.96700000000001,170791
34,34,0.531,0.733,9,-7.178,1,0.0357,0.006790000000000001,0.0,0.0862,0.41700000000000004,122.04799999999999,198694
35,35,0.6409999999999999,0.782,6,-7.28,0,0.0623,0.382,0.000558,0.126,0.596,124.009,230323
