,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.359,0.36200000000000004,7,-7.414,1,0.0276,0.815,0.0,0.313,0.382,92.18,390387
1,1,0.745,0.677,1,-5.355,1,0.215,0.18100000000000002,0.0,0.0895,0.72,97.09200000000001,251258
2,2,0.6659999999999999,0.601,1,-9.292,1,0.0625,0.34,0.0,0.0721,0.715,87.054,311063
3,3,0.557,0.746,8,-6.7829999999999995,1,0.0306,0.0144,0.0,0.252,0.327,103.492,441547
4,4,0.32899999999999996,0.557,6,-6.952000000000001,1,0.0433,0.0453,1.25e-05,0.166,0.218,90.022,366320
5,5,0.6709999999999999,0.423,0,-9.992,0,0.0749,0.185,0.00025499999999999996,0.0987,0.409,155.941,275583
6,6,0.629,0.624,9,-4.975,0,0.0745,0.12,0.0,0.203,0.73,140.042,209062
7,7,0.263,0.5870000000000001,6,-5.446000000000001,1,0.0588,0.134,0.0,0.0989,0.157,173.81,365191
8,8,0.258,0.23800000000000002,9,-18.088,1,0.0394,0.995,0.74,0.12,0.188,93.538,131893
9,9,0.496,0.0181,10,-29.83,1,0.0594,0.993,0.91,0.11,0.239,125.98700000000001,223842
10,10,0.818,0.721,0,-6.981,0,0.0606,0.125,0.0,0.36700000000000005,0.858,109.978,236340
11,11,0.6990000000000001,0.85,9,-5.207000000000001,1,0.0279,0.0763,0.0,0.424,0.963,119.988,237893
12,12,0.475,0.525,8,-6.652,1,0.0421,0.46,0.0,0.13,0.34299999999999997,119.863,265173
13,13,0.54,0.871,10,-5.268,1,0.0469,0.0111,6.63e-06,0.361,0.301,103.012,379563
14,14,0.248,0.7290000000000001,1,-4.707,0,0.0665,0.214,0.0,0.7,0.14400000000000002,171.924,585080
15,15,0.654,0.871,7,-5.956,0,0.1,0.184,0.0,0.0937,0.5329999999999999,94.97200000000001,299013
16,16,0.627,0.331,9,-12.206,1,0.0365,0.7340000000000001,0.0,0.0944,0.28,114.99799999999999,215215
17,17,0.325,0.583,3,-7.099,1,0.0371,0.446,8.19e-06,0.40299999999999997,0.155,140.056,344019
18,18,0.45399999999999996,0.597,5,-6.9079999999999995,1,0.0798,0.6859999999999999,0.0,0.21600000000000003,0.382,113.01899999999999,242893
19,19,0.655,0.9540000000000001,1,-3.813,1,0.0888,0.0601,0.0,0.326,0.612,127.988,384013
20,20,0.522,0.625,2,-6.7379999999999995,0,0.0322,0.0853,0.0,0.0786,0.19899999999999998,103.075,220850
21,21,0.436,0.636,8,-5.065,1,0.0394,0.00914,0.0,0.13699999999999998,0.272,93.594,506200
22,22,0.436,0.703,6,-6.403,1,0.0416,0.044000000000000004,6.57e-06,0.195,0.263,125.992,458498
23,23,0.214,0.48700000000000004,1,-8.455,1,0.0479,0.451,1.62e-05,0.39299999999999996,0.19399999999999998,81.36,423107
24,24,0.63,0.9,2,-5.547999999999999,1,0.23199999999999998,0.106,0.0,0.331,0.769,165.923,257093
25,25,0.6409999999999999,0.6890000000000001,1,-5.938,0,0.155,0.268,0.0,0.185,0.8059999999999999,91.805,246107
26,26,0.332,0.612,7,-4.897,0,0.126,0.127,0.0,0.16899999999999998,0.171,192.174,292790
27,27,0.32799999999999996,0.871,8,-4.596,1,0.12300000000000001,0.0185,2.42e-06,0.922,0.271,167.021,434547
28,28,0.313,0.843,5,-4.868,1,0.302,0.0208,0.0,0.465,0.35100000000000003,160.275,306427
29,29,0.573,0.898,0,-3.583,1,0.133,0.0427,0.0,0.15,0.539,125.745,223667
30,30,0.486,0.563,0,-6.492000000000001,1,0.0334,0.135,0.0,0.332,0.32299999999999995,105.37100000000001,318187
31,31,0.5,0.602,9,-5.03,1,0.0286,0.081,0.0,0.34,0.24,116.13600000000001,383553
32,32,0.485,0.867,10,-4.937,0,0.22399999999999998,0.0539,0.00020800000000000001,0.127,0.845,85.55,175813
33,33,0.642,0.97,0,-2.253,1,0.0678,0.00915,0.0,0.47600000000000003,0.516,104.975,384093
34,34,0.6459999999999999,0.302,7,-8.825,1,0.0298,0.711,1.01e-05,0.166,0.402,118.009,227335
35,35,0.35700000000000004,0.804,0,-4.313,1,0.0805,0.0808,0.0,0.33,0.322,84.807,259907
36,36,0.763,0.526,10,-7.2010000000000005,0,0.0466,0.22899999999999998,1.01e-05,0.0645,0.33299999999999996,129.04399999999998,255787
37,37,0.447,0.635,0,-6.0329999999999995,0,0.0445,0.514,0.0,0.684,0.237,119.285,376360
38,38,0.45,0.7090000000000001,1,-6.4510000000000005,1,0.0651,0.10099999999999999,1.6e-05,0.43200000000000005,0.419,155.821,323878
39,39,0.72,0.722,2,-4.462,0,0.192,0.182,0.0,0.254,0.293,102.132,320955
40,40,0.34299999999999997,0.316,8,-10.43,1,0.0311,0.53,0.0,0.0784,0.0947,128.475,507893
41,41,0.344,0.8220000000000001,6,-4.915,1,0.243,0.0249,0.0,0.11699999999999999,0.413,89.40899999999999,295213
42,42,0.265,0.48700000000000004,10,-5.495,1,0.0349,0.6970000000000001,0.0,0.14,0.371,171.21400000000003,243613
43,43,0.556,0.843,1,-7.324,1,0.0555,0.0146,1.53e-05,0.784,0.40299999999999997,112.935,408814
44,44,0.617,0.93,1,-4.565,0,0.151,0.0222,1.09e-05,0.295,0.32899999999999996,124.083,273357
45,45,0.28,0.581,2,-4.831,1,0.0387,0.608,0.0,0.23199999999999998,0.327,148.274,287674
46,46,0.484,0.73,5,-5.854,1,0.0997,0.0265,0.0,0.36200000000000004,0.387,84.86,275581
47,47,0.9059999999999999,0.7979999999999999,8,-6.615,1,0.0716,0.0431,0.0008470000000000001,0.0474,0.741,94.01100000000001,153853
48,48,0.28600000000000003,0.7609999999999999,5,-4.793,1,0.10800000000000001,0.308,0.0,0.355,0.32899999999999996,159.16,282827
49,49,0.584,0.927,10,-4.563,1,0.139,0.0161,0.00047000000000000004,0.447,0.642,95.40799999999999,297653
50,50,0.385,0.698,1,-6.893,1,0.0857,0.0686,2.93e-06,0.65,0.35700000000000004,79.285,469631
51,51,0.55,0.537,7,-9.271,1,0.138,0.254,0.0,0.11199999999999999,0.21899999999999997,90.15100000000001,290213
52,52,0.643,0.8109999999999999,6,-5.718,0,0.115,0.126,0.0,0.882,0.747,92.32700000000001,225400
53,53,0.655,0.491,8,-6.982,1,0.21,0.603,0.0,0.49,0.835,178.062,345625
54,54,0.33399999999999996,0.7040000000000001,11,-5.9910000000000005,1,0.0857,0.151,0.0,0.109,0.2,83.999,260120
55,55,0.363,0.833,7,-3.81,1,0.16699999999999998,0.18100000000000002,0.0,0.361,0.5670000000000001,78.36399999999999,254120
56,56,0.48,0.731,8,-5.917999999999999,1,0.0965,0.36200000000000004,0.000309,0.201,0.43200000000000005,140.028,283587
57,57,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591
58,58,0.611,0.47600000000000003,7,-5.4110000000000005,1,0.0435,0.0299,0.0,0.48200000000000004,0.401,87.971,238807
59,59,0.293,0.46,7,-6.992000000000001,1,0.0335,0.14,0.0,0.0779,0.191,97.635,480547
60,60,0.57,0.67,7,-5.226,1,0.142,0.24100000000000002,0.0,0.17300000000000001,0.48200000000000004,166.088,175673
61,61,0.612,0.644,11,-5.5520000000000005,1,0.0436,0.306,0.0,0.184,0.385,143.969,257541
62,62,0.461,0.413,6,-6.914,1,0.0327,0.19699999999999998,2.25e-06,0.312,0.35100000000000003,115.568,287573
63,63,0.627,0.579,10,-6.537999999999999,1,0.0261,0.147,0.0,0.109,0.214,99.029,287582
64,64,0.377,0.48100000000000004,6,-8.371,1,0.0341,0.28800000000000003,0.0,0.14,0.34600000000000003,99.98899999999999,312255
65,65,0.135,0.37200000000000005,4,-8.236,1,0.0363,0.0553,3.67e-06,0.0927,0.0393,80.906,305385
66,66,0.24100000000000002,0.445,8,-10.443,1,0.0386,0.6940000000000001,0.0,0.0842,0.205,78.44800000000001,306533
67,67,0.332,0.361,7,-10.706,1,0.0588,0.506,0.0,0.126,0.284,159.19899999999998,238416
68,68,0.35200000000000004,0.79,8,-4.27,1,0.0702,0.133,0.0,0.11900000000000001,0.223,126.603,402844
69,69,0.386,0.45399999999999996,7,-7.676,1,0.0336,0.0742,0.0,0.114,0.0439,166.049,330361
70,70,0.894,0.41600000000000004,9,-6.8229999999999995,0,0.0538,0.312,0.0,0.146,0.46299999999999997,116.96,116560
71,71,0.745,0.753,1,-2.408,1,0.16399999999999998,0.223,0.0,0.705,0.589,144.05700000000002,307973
72,72,0.27899999999999997,0.557,2,-6.452000000000001,1,0.0466,0.141,0.00038199999999999996,0.23,0.254,70.529,213304
73,73,0.77,0.8370000000000001,4,-5.397,0,0.0353,0.0806,0.0,0.0932,0.6629999999999999,113.01,244376
74,74,0.752,0.516,4,-6.215,0,0.0433,0.136,0.0,0.0901,0.466,139.94799999999998,196199
75,75,0.57,0.66,1,-6.861000000000001,1,0.0537,0.000394,0.0688,0.111,0.401,188.08,188879
76,76,0.33399999999999996,0.483,2,-7.812,1,0.0449,0.222,0.0,0.358,0.16399999999999998,130.13299999999998,255974
77,77,0.599,0.49,7,-9.1,1,0.336,0.47100000000000003,0.000272,0.0921,0.44799999999999995,90.363,269253
78,78,0.6709999999999999,0.423,0,-9.992,0,0.0749,0.185,0.00025499999999999996,0.0987,0.409,155.941,275583
79,79,0.46,0.51,0,-7.814,1,0.0571,0.48700000000000004,0.0,0.318,0.235,185.765,236769
80,80,0.826,0.524,8,-5.559,0,0.109,0.282,0.0,0.098,0.284,110.041,214973
81,81,0.387,0.44,4,-9.004,1,0.0527,0.552,0.0,0.424,0.251,58.608999999999995,248898
82,82,0.539,0.47100000000000003,11,-6.997999999999999,1,0.0288,0.0446,4.73e-06,0.0798,0.15,112.071,245002
83,83,0.5,0.583,6,-7.152,0,0.113,0.29100000000000004,0.0,0.836,0.297,63.452,314787
84,84,0.3,0.652,5,-5.265,1,0.0647,0.0387,0.0,0.309,0.413,181.52,223305
85,85,0.516,0.8240000000000001,8,-4.926,1,0.23399999999999999,0.429,0.0,0.302,0.519,171.93599999999998,328693
86,86,0.804,0.649,1,-4.428999999999999,1,0.0857,0.0859,0.0,0.11199999999999999,0.9059999999999999,91.06700000000001,378200
87,87,0.424,0.679,2,-7.565,1,0.111,0.0355,0.0015400000000000001,0.0848,0.36200000000000004,179.641,300947
88,88,0.402,0.40399999999999997,1,-8.596,1,0.0279,0.66,0.0,0.47700000000000004,0.354,96.074,133932
89,89,0.264,0.779,6,-6.4270000000000005,1,0.0786,0.0491,0.0,0.275,0.518,139.657,243914
90,90,0.44,0.5660000000000001,9,-9.447000000000001,1,0.198,0.713,0.0,0.149,0.17600000000000002,104.06200000000001,204000
91,91,0.732,0.35100000000000003,8,-8.916,1,0.0429,0.28,0.0,0.5,0.415,115.87700000000001,297960
92,92,0.5660000000000001,0.63,0,-10.907,1,0.0521,0.292,0.0067,0.073,0.0385,95.04700000000001,183361
93,93,0.584,0.639,1,-6.435,1,0.0416,0.0407,0.0,0.11599999999999999,0.192,100.979,233773
94,94,0.617,0.23199999999999998,0,-9.379,0,0.0335,0.723,0.0,0.272,0.237,95.016,158858
95,95,0.304,0.389,7,-7.066,1,0.031,0.895,0.00011399999999999999,0.161,0.171,144.77,288000
96,96,0.737,0.5529999999999999,9,-6.311,1,0.0435,0.0871,1.08e-06,0.0618,0.624,140.02200000000002,213550
97,97,0.6940000000000001,0.797,6,-5.227,0,0.0552,0.102,0.0,0.315,0.589,143.994,191191
98,98,0.531,0.644,0,-6.676,1,0.0586,0.111,0.0,0.268,0.499,91.986,331596
99,99,0.304,0.45399999999999996,7,-8.535,1,0.0688,0.648,0.0,0.109,0.325,80.972,330360
