,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.9159999999999999,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.31200000000001,237000
1,1,0.929,0.46299999999999997,9,-8.651,1,0.308,0.142,5.26e-06,0.0634,0.757,124.084,255840
2,2,0.934,0.467,11,-10.99,0,0.307,0.102,3.98e-05,0.109,0.73,123.583,211000
3,3,0.8140000000000001,0.48200000000000004,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267
4,4,0.7759999999999999,0.5589999999999999,6,-8.375,0,0.10300000000000001,0.11,0.0,0.0671,0.758,122.242,232200
5,5,0.807,0.48700000000000004,9,-10.456,1,0.0758,0.0102,1.98e-06,0.0501,0.6509999999999999,148.491,180267
6,6,0.775,0.563,6,-8.225,0,0.0815,0.11900000000000001,0.0,0.155,0.7859999999999999,122.26899999999999,230800
7,7,0.7190000000000001,0.515,10,-9.72,1,0.348,0.0912,0.0,0.0791,0.927,76.518,172933
8,8,0.774,0.531,11,-7.176,0,0.0446,0.0595,0.0,0.0409,0.966,142.001,242333
9,9,0.932,0.611,9,-8.277999999999999,1,0.0853,0.0901,0.00156,0.0467,0.77,125.238,231267
10,10,0.6709999999999999,0.256,7,-10.743,1,0.0387,0.608,0.0,0.0737,0.6940000000000001,115.87100000000001,233560
11,11,0.713,0.643,6,-6.837000000000001,0,0.0325,0.0101,0.00117,0.262,0.8009999999999999,142.378,192707
12,12,0.898,0.365,0,-10.452,1,0.0462,0.159,9.28e-06,0.132,0.563,98.53,226240
13,13,0.8759999999999999,0.314,7,-11.498,1,0.316,0.0486,2.3899999999999998e-05,0.10800000000000001,0.823,131.252,206640
14,14,0.7509999999999999,0.46299999999999997,9,-10.96,1,0.10400000000000001,0.642,0.20800000000000002,0.0314,0.9259999999999999,150.191,330760
15,15,0.825,0.546,6,-9.517999999999999,0,0.386,0.321,5.13e-05,0.068,0.866,148.246,221933
16,16,0.83,0.46299999999999997,8,-11.644,1,0.335,0.0292,1.58e-05,0.0589,0.779,78.876,256240
17,17,0.655,0.675,1,-9.352,1,0.0599,0.272,0.0236,0.727,0.5870000000000001,77.589,427800
18,18,0.675,0.166,11,-22.601999999999997,1,0.171,0.88,7.140000000000001e-05,0.0461,0.747,68.837,294400
19,19,0.8690000000000001,0.75,7,-8.6,1,0.048,0.0311,0.0049,0.163,0.961,132.844,460227
20,20,0.779,0.418,7,-9.207,1,0.188,0.0033299999999999996,0.000138,0.252,0.425,127.94200000000001,271000
21,21,0.836,0.6609999999999999,7,-6.502000000000001,0,0.33799999999999997,0.0208,0.0,0.449,0.753,76.71,213200
22,22,0.865,0.562,10,-6.811,0,0.251,0.0318,0.0,0.24600000000000002,0.81,85.02,222467
23,23,0.917,0.745,7,-4.4239999999999995,0,0.18600000000000003,0.258,2.3899999999999998e-05,0.382,0.935,142.001,339267
24,24,0.7240000000000001,0.696,1,-6.3260000000000005,1,0.201,0.12300000000000001,0.0,0.106,0.433,93.60700000000001,317333
25,25,0.88,0.564,1,-6.431,1,0.0498,0.0796,0.0,0.0565,0.83,99.01899999999999,225600
26,26,0.807,0.45799999999999996,9,-9.594,0,0.0361,0.21100000000000002,9.01e-06,0.0839,0.8740000000000001,100.959,220413
27,27,0.9109999999999999,0.565,9,-6.209,0,0.0718,0.429,0.0,0.0802,0.7509999999999999,96.012,185312
28,28,0.8029999999999999,0.47,1,-9.097999999999999,1,0.345,0.505,0.0,0.0887,0.7929999999999999,88.065,180024
29,29,0.7879999999999999,0.762,9,-4.9110000000000005,0,0.193,0.0515,0.0,0.27399999999999997,0.792,90.956,233533
30,30,0.77,0.787,11,-5.489,0,0.278,0.23,0.000199,0.198,0.588,82.029,277653
31,31,0.8690000000000001,0.642,0,-5.332000000000001,1,0.0372,0.0157,0.0,0.312,0.843,109.969,261893
32,32,0.738,0.755,5,-6.053999999999999,0,0.27899999999999997,0.0779,0.0,0.193,0.6920000000000001,87.818,249120
33,33,0.42200000000000004,0.304,0,-10.407,0,0.0569,0.995,0.00571,0.256,0.638,164.725,118555
34,34,0.379,0.6559999999999999,7,-4.105,0,0.0495,0.239,0.00518,0.625,0.6559999999999999,174.174,272840
35,35,0.5770000000000001,0.8109999999999999,0,-4.868,0,0.0835,0.318,0.0,0.165,0.542,155.99200000000002,310760
36,36,0.755,0.612,7,-7.632000000000001,1,0.0483,0.185,0.0,0.377,0.389,96.009,214920
37,37,0.626,0.445,10,-10.023,0,0.14,0.267,0.00028199999999999997,0.156,0.75,126.102,245973
38,38,0.7390000000000001,0.84,9,-5.0760000000000005,0,0.132,0.34600000000000003,0.0,0.135,0.612,119.02,319707
39,39,0.667,0.7090000000000001,11,-4.941,0,0.28800000000000003,0.0805,0.00010400000000000001,0.111,0.527,171.93,289760
40,40,0.7609999999999999,0.8290000000000001,5,-5.294,1,0.0793,0.129,0.0,0.217,0.895,113.014,213453
41,41,0.727,0.7,8,-5.377999999999999,1,0.192,0.183,0.0,0.311,0.7879999999999999,102.04799999999999,198251
42,42,0.6940000000000001,0.597,8,-5.854,0,0.0473,0.23,0.00313,0.0987,0.8220000000000001,77.007,252200
43,43,0.769,0.664,4,-7.01,0,0.036000000000000004,0.523,1.0800000000000002e-05,0.0992,0.5720000000000001,135.976,205213
44,44,0.735,0.71,2,-6.17,1,0.163,0.217,0.0,0.273,0.605,92.441,249080
45,45,0.595,0.685,7,-9.316,1,0.282,0.191,0.0,0.10400000000000001,0.436,117.24700000000001,245413
46,46,0.78,0.871,7,-5.767,0,0.0868,0.159,0.0,0.14300000000000002,0.62,127.994,239680
47,47,0.606,0.31,5,-11.529000000000002,1,0.0319,0.845,2.11e-05,0.192,0.136,118.76,215147
48,48,0.446,0.584,7,-8.619,1,0.375,0.48100000000000004,4.56e-06,0.11,0.245,172.175,217263
49,49,0.598,0.8059999999999999,0,-6.431,0,0.081,0.185,0.0,0.183,0.927,83.03,243464
50,50,0.769,0.664,4,-7.01,0,0.036000000000000004,0.523,1.0800000000000002e-05,0.0992,0.5720000000000001,135.976,205213
51,51,0.8640000000000001,0.596,9,-5.603,0,0.251,0.0273,0.0,0.18100000000000002,0.72,122.139,225333
52,52,0.5820000000000001,0.6629999999999999,4,-6.547000000000001,0,0.0828,0.161,0.0,0.198,0.695,170.82,217200
53,53,0.831,0.5870000000000001,6,-6.997000000000001,0,0.354,0.0392,0.0,0.16399999999999998,0.787,83.154,224840
54,54,0.5870000000000001,0.816,9,-4.27,0,0.263,0.0565,0.0,0.36200000000000004,0.731,79.15899999999999,234837
55,55,0.7040000000000001,0.79,8,-5.756,1,0.0432,0.10099999999999999,0.00657,0.0769,0.9329999999999999,167.81599999999997,257667
56,56,0.581,0.56,6,-12.147,0,0.0327,0.0775,0.0,0.135,0.706,94.46700000000001,195832
57,57,0.604,0.847,7,-7.516,1,0.0428,0.16,6.65e-06,0.7809999999999999,0.919,77.991,196493
58,58,0.767,0.639,5,-7.466,1,0.0507,0.0704,0.0033,0.066,0.929,174.042,239613
59,59,0.752,0.499,4,-6.6370000000000005,1,0.031,0.0685,1.98e-05,0.179,0.585,135.096,289177
60,60,0.92,0.56,8,-9.53,1,0.0576,0.0551,4.09e-05,0.09699999999999999,0.625,140.004,273996
