,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.49,0.833,6,-5.899,1,0.0487,0.0116,0.000504,0.15,0.39,89.98100000000001,187347
1,1,0.455,0.764,2,-5.632999999999999,1,0.0327,0.00446,0.0,0.105,0.359,74.021,260507
2,2,0.531,0.9690000000000001,6,-3.5780000000000003,1,0.0491,0.00010800000000000001,0.0013,0.121,0.449,130.015,218587
3,3,0.5479999999999999,0.924,11,-4.48,0,0.0689,0.00033,1.42e-05,0.162,0.242,124.031,244538
4,4,0.354,0.9420000000000001,7,-3.245,1,0.237,0.00039,6.36e-06,0.431,0.242,119.992,207987
5,5,0.43700000000000006,0.907,4,-4.284,0,0.245,0.000277,6e-06,0.0994,0.47700000000000004,124.03299999999999,172826
6,6,0.5529999999999999,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023,231400
7,7,0.5,0.899,4,-4.066,1,0.0736,4.84e-05,0.000198,0.0794,0.5660000000000001,130.06,229107
8,8,0.501,0.971,6,-3.051,1,0.18899999999999997,1.9399999999999997e-05,0.0464,0.23,0.659,143.05200000000002,231963
9,9,0.48700000000000004,0.9,5,-4.54,1,0.0529,0.0020399999999999997,6.42e-06,0.11,0.377,149.959,248373
10,10,0.5539999999999999,0.932,5,-3.424,0,0.0485,0.0015400000000000001,0.00014199999999999998,0.425,0.478,112.49,242280
11,11,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613
12,12,0.496,0.863,9,-4.1530000000000005,1,0.0381,0.0046,0.0,0.639,0.243,110.01799999999999,185587
13,13,0.45899999999999996,0.903,5,-4.649,0,0.0673,0.00877,0.0,0.168,0.364,76.185,223655
14,14,0.376,0.95,9,-4.067,1,0.0641,0.00021,0.0,0.0377,0.43799999999999994,178.018,179160
15,15,0.547,0.9440000000000001,4,-3.304,0,0.0507,4.8100000000000004e-05,0.0451,0.195,0.364,93.96600000000001,203274
16,16,0.447,0.948,1,-3.8339999999999996,0,0.0456,0.000699,0.0,0.36200000000000004,0.414,139.981,185400
17,17,0.485,0.898,4,-3.75,1,0.0568,0.000776,0.00244,0.642,0.494,99.98299999999999,198680
18,18,0.45,0.872,7,-4.91,1,0.0353,0.0018,1.6100000000000002e-05,0.0833,0.396,156.059,274615
19,19,0.331,0.945,0,-4.54,1,0.34700000000000003,0.000231,0.0113,0.0435,0.151,174.005,274280
