,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.14800000000000002,0.0441,4,-24.975,0,0.0418,0.971,0.878,0.0672,0.0883,75.515,856187
1,1,0.19699999999999998,0.133,10,-24.248,1,0.0484,0.863,0.812,0.156,0.0389,125.682,836973
2,2,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.601,0.14300000000000002,0.0936,94.736,707173
3,3,0.255,0.10800000000000001,4,-22.921,0,0.0473,0.845,0.0121,0.152,0.10800000000000001,103.28200000000001,681267
4,4,0.386,0.325,7,-14.183,0,0.0427,0.9229999999999999,0.904,0.105,0.22399999999999998,155.594,644920
5,5,0.0903,0.083,11,-21.241,0,0.0387,0.958,0.863,0.0883,0.032,85.443,642827
6,6,0.156,0.0335,0,-25.684,0,0.0411,0.9390000000000001,0.789,0.124,0.0359,67.197,623369
7,7,0.368,0.0224,7,-31.261,1,0.0364,0.9940000000000001,0.9179999999999999,0.129,0.247,98.118,620293
8,8,0.087,0.0507,2,-30.065,1,0.0432,0.21,0.419,0.106,0.0393,84.323,576920
9,9,0.165,0.0519,11,-25.473000000000003,1,0.0512,0.981,5.1e-05,0.10300000000000001,0.0398,76.891,551907
10,10,0.0698,0.00405,3,-38.919000000000004,0,0.0383,0.851,0.418,0.153,0.0356,74.584,542760
11,11,0.226,0.0701,2,-20.668000000000003,1,0.0361,0.929,0.782,0.12300000000000001,0.15,176.342,527400
12,12,0.491,0.46399999999999997,7,-12.974,1,0.0505,0.7659999999999999,0.925,0.309,0.187,81.582,516253
13,13,0.34299999999999997,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,497773
14,14,0.20800000000000002,0.0728,0,-21.736,1,0.0385,0.9209999999999999,0.7829999999999999,0.182,0.0466,82.973,490147
15,15,0.396,0.126,2,-23.011,1,0.0465,0.945,0.46,0.158,0.11,97.81299999999999,483240
16,16,0.149,0.0511,4,-25.398000000000003,0,0.0442,0.9590000000000001,0.784,0.125,0.0537,81.422,471760
17,17,0.39,0.0432,6,-24.344,1,0.0506,0.723,0.000303,0.10800000000000001,0.326,147.436,468133
18,18,0.441,0.319,3,-13.99,1,0.0392,0.8290000000000001,0.0,0.0765,0.6709999999999999,99.419,453507
19,19,0.248,0.298,0,-15.661,0,0.0395,0.9570000000000001,0.9,0.0943,0.157,97.853,442000
20,20,0.18,0.0951,11,-24.228,0,0.048,0.97,0.9109999999999999,0.11,0.0527,75.667,435787
21,21,0.0,0.0842,9,-19.397000000000002,1,0.0,0.755,0.889,0.262,0.0,0.0,432533
22,22,0.442,0.18100000000000002,7,-20.419,0,0.0443,0.9059999999999999,0.6559999999999999,0.0598,0.172,115.884,432133
23,23,0.19,0.0266,0,-25.947,0,0.0428,0.992,0.868,0.062,0.0574,122.353,425933
24,24,0.15,0.128,2,-20.46,1,0.0459,0.9440000000000001,0.93,0.0703,0.113,46.771,415813
25,25,0.281,0.113,4,-16.608,1,0.0586,0.99,1.9e-06,0.10099999999999999,0.23199999999999998,81.682,405387
26,26,0.0802,0.006520000000000001,3,-35.334,1,0.0446,0.976,0.166,0.12,0.0377,82.109,403720
27,27,0.33299999999999996,0.125,0,-19.339000000000002,1,0.0337,0.72,0.456,0.0902,0.203,113.221,399040
28,28,0.278,0.373,0,-16.175,1,0.0446,0.748,0.251,0.19,0.284,80.788,394307
29,29,0.29600000000000004,0.252,7,-18.558,0,0.0451,0.9059999999999999,0.8859999999999999,0.106,0.3,89.935,380688
30,30,0.138,0.111,5,-18.272000000000002,1,0.0451,0.976,0.59,0.0862,0.0388,80.465,370000
31,31,0.14,0.0347,1,-24.935,0,0.0414,0.848,0.175,0.0888,0.0378,83.087,369720
32,32,0.38799999999999996,0.276,5,-15.012,0,0.0277,0.9329999999999999,0.33399999999999996,0.111,0.42700000000000005,97.34,351653
33,33,0.368,0.242,0,-17.463,0,0.0382,0.96,0.804,0.109,0.177,87.959,343093
34,34,0.209,0.10099999999999999,0,-19.383,1,0.0403,0.927,0.9,0.0776,0.153,85.851,341693
