,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.687,0.792,5,-2.7489999999999997,1,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015,214290
1,1,0.784,0.951,7,-7.92,1,0.052000000000000005,0.00403,0.852,0.0324,0.8079999999999999,123.99,220645
2,2,0.563,0.741,2,-5.151,1,0.0419,0.0927,0.0,0.142,0.43799999999999994,128.002,209077
3,3,0.715,0.635,7,-6.591,1,0.0791,0.127,0.0,0.0862,0.39,112.887,198635
4,4,0.547,0.672,0,-5.093999999999999,1,0.0436,0.306,0.0,0.068,0.564,99.946,237933
5,5,0.5920000000000001,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.01100000000001,277262
6,6,0.68,0.84,10,-5.329,0,0.0421,0.0525,0.0019399999999999999,0.161,0.39,126.023,172381
7,7,0.44799999999999995,0.9109999999999999,1,-3.095,1,0.0408,0.0214,0.0,0.059000000000000004,0.255,127.12700000000001,234012
8,8,0.5820000000000001,0.757,0,-3.965,1,0.0399,0.16,0.0,0.187,0.516,104.105,205787
9,9,0.5329999999999999,0.807,2,-3.597,1,0.0457,0.09699999999999999,0.0,0.0608,0.369,125.025,253440
10,10,0.529,0.612,10,-8.794,1,0.052000000000000005,0.253,0.0,0.24600000000000002,0.434,119.272,193847
11,11,0.7,0.904,2,-4.03,1,0.0431,0.0531,8.03e-06,0.105,0.34700000000000003,103.039,181102
12,12,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.23600000000000002,128.114,239067
13,13,0.633,0.9179999999999999,11,-8.208,0,0.0454,0.0334,0.867,0.364,0.7859999999999999,129.99,194926
14,14,0.5660000000000001,0.909,8,-7.281000000000001,0,0.054000000000000006,0.004,0.0932,0.156,0.382,127.037,240384
15,15,0.6509999999999999,0.693,4,-4.7219999999999995,1,0.0375,0.45799999999999996,0.0,0.335,0.392,118.97,236765
16,16,0.562,0.882,11,-4.356,0,0.0604,0.0034,0.12300000000000001,0.55,0.6940000000000001,125.985,240000
17,17,0.937,0.632,11,-8.216000000000001,0,0.3,0.0349,0.000742,0.10800000000000001,0.57,128.02100000000002,210703
18,18,0.693,0.6779999999999999,8,-7.159,1,0.0324,0.0154,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,228267
19,19,0.498,0.494,0,-12.42,1,0.0343,0.0118,0.00108,0.166,0.12,134.983,209938
20,20,0.637,0.812,5,-4.314,0,0.0553,0.00927,0.0,0.46299999999999997,0.593,123.02600000000001,196814
21,21,0.654,0.795,0,-4.419,1,0.0536,0.17800000000000002,0.0,0.19,0.465,120.01899999999999,185750
22,22,0.722,0.856,1,-6.392,0,0.0338,0.0305,0.0597,0.231,0.826,121.98899999999999,162295
23,23,0.58,0.804,9,-4.618,1,0.0279,0.0304,0.00359,0.105,0.13699999999999998,126.005,215388
24,24,0.72,0.8420000000000001,11,-6.747999999999999,0,0.14300000000000002,0.0503,0.0342,0.406,0.425,125.99799999999999,251413
25,25,0.6829999999999999,0.785,7,-4.879,1,0.037000000000000005,0.0643,1.34e-05,0.177,0.581,122.99700000000001,184564
26,26,0.9259999999999999,0.951,6,-5.531000000000001,0,0.0924,0.00232,0.452,0.313,0.9179999999999999,123.98700000000001,206588
27,27,0.595,0.9540000000000001,4,-7.7860000000000005,0,0.0473,0.00164,0.7440000000000001,0.426,0.171,123.016,282927
28,28,0.47,0.905,7,-2.832,0,0.0645,0.0125,2.01e-06,0.514,0.0549,127.07700000000001,228661
29,29,0.624,0.758,8,-6.039,1,0.0413,0.153,1.6100000000000002e-05,0.10400000000000001,0.413,122.01899999999999,186213
30,30,0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.35700000000000004,85.33200000000001,209893
31,31,0.503,0.754,7,-3.634,1,0.0424,0.264,5.85e-05,0.297,0.597,116.524,186750
32,32,0.818,0.823,11,-3.563,0,0.2,0.0663,1.17e-05,0.133,0.52,128.136,160794
33,33,0.49700000000000005,0.792,2,-6.539,1,0.0291,0.0555,0.506,0.0946,0.22399999999999998,125.06700000000001,172222
34,34,0.43799999999999994,0.767,3,-4.335,1,0.0422,0.0173,0.0,0.11599999999999999,0.244,127.96,191719
35,35,0.81,0.7879999999999999,10,-3.6630000000000003,1,0.0447,0.267,0.000172,0.196,0.845,135.991,174761
36,36,0.565,0.674,8,-6.098,0,0.0463,0.0248,8.68e-06,0.105,0.254,127.046,170079
37,37,0.624,0.767,8,-3.824,1,0.0417,0.00763,0.0005059999999999999,0.215,0.235,127.96700000000001,170791
38,38,0.531,0.733,9,-7.178,1,0.0357,0.006790000000000001,0.0,0.0862,0.41700000000000004,122.04799999999999,198694
39,39,0.6409999999999999,0.782,6,-7.28,0,0.0623,0.382,0.000558,0.126,0.596,124.009,230323
40,40,0.743,0.8640000000000001,9,-4.043,0,0.0539,0.10099999999999999,0.000285,0.111,0.528,124.01,184686
41,41,0.8490000000000001,0.7559999999999999,11,-7.226,1,0.0985,0.513,0.0,0.259,0.701,104.98100000000001,161167
42,42,0.596,0.9620000000000001,11,-2.502,1,0.0571,0.0147,0.10300000000000001,0.247,0.325,126.09100000000001,162840
43,43,0.629,0.539,7,-7.006,0,0.063,0.166,0.0,0.18899999999999997,0.316,109.885,193747
44,44,0.812,0.635,11,-11.050999999999998,1,0.0753,1.8100000000000003e-05,0.9359999999999999,0.126,0.8109999999999999,121.98299999999999,222295
45,45,0.764,0.868,5,-8.033999999999999,0,0.136,0.00725,0.000682,0.0946,0.337,126.03399999999999,195429
46,46,0.54,0.961,11,-3.5869999999999997,0,0.0645,0.0123,0.7959999999999999,0.0913,0.648,121.664,188732
47,47,0.355,0.746,11,-5.3420000000000005,0,0.0479,0.0387,0.055,0.0552,0.361,150.227,169125
48,48,0.726,0.747,1,-11.173,1,0.0383,0.0301,0.7559999999999999,0.33899999999999997,0.495,125.986,230476
49,49,0.5870000000000001,0.648,11,-6.9270000000000005,0,0.0439,0.0561,0.0,0.115,0.281,144.028,220141
