,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.8590000000000001,0.75,8,-8.325,0,0.303,0.0193,0.0,0.0538,0.857,98.691,345717
1,1,0.785,0.479,3,-10.247,1,0.36200000000000004,0.0417,3.5e-05,0.33399999999999996,0.727,87.691,339893
2,2,0.894,0.698,6,-8.264,0,0.275,0.0279,3.56e-06,0.32899999999999996,0.695,98.104,336917
3,3,0.7240000000000001,0.853,11,-3.895,0,0.28300000000000003,0.0164,0.0,0.65,0.775,170.51,332733
4,4,0.763,0.7859999999999999,10,-6.472,0,0.22899999999999998,0.0146,0.0114,0.0817,0.504,93.85700000000001,325507
5,5,0.777,0.9570000000000001,11,-3.201,0,0.319,0.179,0.0,0.29600000000000004,0.5429999999999999,105.756,313053
6,6,0.8859999999999999,0.512,10,-11.825,0,0.237,0.207,0.0,0.0991,0.45399999999999996,93.99700000000001,308733
7,7,0.873,0.7190000000000001,1,-5.9479999999999995,1,0.248,0.03,0.0,0.33299999999999996,0.858,93.281,307773
8,8,0.8029999999999999,0.784,11,-5.97,0,0.198,0.0012,0.000161,0.0794,0.8009999999999999,90.185,296907
9,9,0.665,0.91,6,-4.6819999999999995,0,0.223,0.0394,0.0,0.22699999999999998,0.887,84.09899999999999,293973
10,10,0.6779999999999999,0.794,10,-6.186,0,0.14,0.27399999999999997,1.68e-06,0.124,0.54,87.374,290573
11,11,0.8009999999999999,0.9079999999999999,2,-6.553999999999999,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,278387
12,12,0.875,0.6579999999999999,0,-3.641,1,0.359,0.275,0.0,0.122,0.6609999999999999,92.039,274093
13,13,0.816,0.775,11,-3.323,1,0.23399999999999999,0.16,0.00031,0.0543,0.527,93.431,270587
14,14,0.698,0.45399999999999996,1,-6.756,0,0.151,0.12300000000000001,0.0,0.155,0.13699999999999998,92.932,260640
15,15,0.8109999999999999,0.512,8,-7.455,1,0.316,0.354,0.0,0.102,0.752,139.918,260875
16,16,0.7979999999999999,0.7440000000000001,7,-5.327999999999999,0,0.136,0.33,0.000106,0.292,0.794,82.35600000000001,260000
17,17,0.8340000000000001,0.878,8,-9.484,1,0.15,0.0461,0.0,0.33399999999999996,0.418,102.848,258688
18,18,0.6,0.706,10,-7.899,0,0.361,0.209,0.0,0.125,0.58,173.926,253533
19,19,0.479,0.5489999999999999,11,-10.550999999999998,0,0.373,0.57,0.0239,0.127,0.5760000000000001,180.985,252187
20,20,0.8490000000000001,0.521,11,-12.999,0,0.21600000000000003,0.304,1.65e-06,0.115,0.763,95.265,248867
21,21,0.6579999999999999,0.922,7,-1.864,1,0.10099999999999999,0.0704,0.0,0.36200000000000004,0.527,136.04,248137
22,22,0.6920000000000001,0.833,7,-3.9739999999999998,1,0.0492,0.000136,1.98e-05,0.515,0.6920000000000001,96.814,246320
23,23,0.838,0.7709999999999999,1,-3.7910000000000004,1,0.244,0.0117,0.0,0.0853,0.405,175.957,245387
24,24,0.508,0.47600000000000003,6,-13.277000000000001,0,0.124,0.18100000000000002,2.65e-06,0.0849,0.28300000000000003,149.88,243748
25,25,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.39799999999999996,0.387,79.97399999999999,240693
26,26,0.8170000000000001,0.873,1,-4.221,1,0.121,0.0325,7.72e-06,0.129,0.76,116.016,234052
27,27,0.805,0.764,10,-4.176,0,0.0664,0.035,0.006659999999999999,0.0489,0.124,144.077,230000
28,28,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478
29,29,0.816,0.579,1,-6.097,1,0.0867,0.203,0.0,0.127,0.43,120.07799999999999,226314
30,30,0.813,0.703,11,-5.077,0,0.268,0.125,1.26e-06,0.237,0.24100000000000002,94.82799999999999,224533
31,31,0.835,0.564,1,-5.39,1,0.065,0.168,0.0,0.10300000000000001,0.228,140.02,222929
32,32,0.924,0.74,8,-1.2990000000000002,1,0.0774,0.0827,0.0,0.163,0.621,133.974,222293
33,33,0.735,0.449,10,-7.507000000000001,1,0.34700000000000003,0.629,0.0,0.113,0.0397,122.947,220488
34,34,0.875,0.745,1,-5.877999999999999,1,0.26899999999999996,0.0227,2.37e-06,0.287,0.7490000000000001,95.20100000000001,217440
35,35,0.826,0.5660000000000001,10,-10.747,0,0.31,0.19699999999999998,0.0,0.35600000000000004,0.653,99.13,216133
36,36,0.956,0.6679999999999999,1,-5.365,1,0.36200000000000004,0.00975,0.0,0.113,0.48100000000000004,127.927,211677
37,37,0.84,0.22699999999999998,2,-15.350999999999999,1,0.0742,0.763,2.62e-05,0.0911,0.409,119.98899999999999,211984
38,38,0.5489999999999999,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.34600000000000003,94.695,211493
39,39,0.897,0.612,11,-10.489,1,0.21100000000000002,0.0297,0.18600000000000003,0.0894,0.767,102.305,208267
40,40,0.358,0.9129999999999999,2,-3.477,1,0.218,0.0881,0.392,0.287,0.5770000000000001,75.01,206400
41,41,0.831,0.502,10,-4.045,0,0.046,0.10099999999999999,0.0,0.122,0.10099999999999999,100.541,205427
42,42,0.7859999999999999,0.733,6,-4.961,0,0.127,0.0257,0.0,0.14300000000000002,0.358,101.046,202653
43,43,0.7959999999999999,0.586,4,-6.946000000000001,0,0.147,0.0247,0.0,0.132,0.179,97.98100000000001,200107
44,44,0.825,0.45799999999999996,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,197760
45,45,0.809,0.741,5,-8.45,1,0.18600000000000003,0.44799999999999995,2.38e-06,0.147,0.866,160.03799999999998,198118
46,46,0.81,0.71,7,-8.436,1,0.193,0.0008119999999999999,0.0857,0.35700000000000004,0.743,166.987,197400
47,47,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,196760
