,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.37200000000000005,0.168,5,-22.965999999999998,1,0.0319,0.738,0.7290000000000001,0.0917,0.195,96.074,465133
1,1,0.423,0.22,0,-13.499,0,0.0298,0.9490000000000001,0.8540000000000001,0.12,0.152,107.595,438625
2,2,0.76,0.462,9,-11.571,1,0.0355,0.33299999999999996,0.727,0.0997,0.8420000000000001,109.99799999999999,423320
3,3,0.515,0.184,0,-16.969,1,0.0426,0.858,0.18,0.12,0.218,122.744,381051
4,4,0.5760000000000001,0.32799999999999996,5,-10.995,1,0.0367,0.95,0.795,0.106,0.231,117.23899999999999,377500
5,5,0.518,0.0493,9,-26.565,0,0.0346,0.9,0.879,0.349,0.16,61.908,375094
6,6,0.40299999999999997,0.13,2,-14.665,1,0.0374,0.9690000000000001,0.804,0.125,0.0904,137.726,365880
7,7,0.731,0.752,2,-7.899,1,0.0356,0.0713,0.892,0.278,0.667,123.97200000000001,359302
8,8,0.794,0.674,1,-11.175999999999998,1,0.0494,0.0677,0.000199,0.0749,0.742,120.01299999999999,356000
9,9,0.5589999999999999,0.2,0,-17.49,0,0.0372,0.945,0.505,0.121,0.305,124.40799999999999,352250
10,10,0.397,0.217,7,-16.94,0,0.03,0.905,0.23,0.083,0.16899999999999998,61.49,343750
11,11,0.6809999999999999,0.557,2,-7.666,1,0.0417,0.565,0.6920000000000001,0.0839,0.57,87.906,341796
12,12,0.484,0.17,0,-15.033,0,0.0358,0.927,0.9109999999999999,0.11199999999999999,0.16399999999999998,107.194,337986
13,13,0.466,0.485,4,-11.151,0,0.055999999999999994,0.531,0.7440000000000001,0.175,0.736,84.28200000000001,332000
14,14,0.518,0.128,0,-17.5,1,0.0335,0.9390000000000001,0.912,0.115,0.11800000000000001,115.794,318879
15,15,0.805,0.395,5,-9.609,0,0.0626,0.58,0.914,0.187,0.43700000000000006,154.119,317413
16,16,0.373,0.183,5,-18.031,0,0.0356,0.922,0.8,0.0934,0.14400000000000002,185.05700000000002,316098
17,17,0.48700000000000004,0.12,10,-20.964000000000002,1,0.04,0.892,0.853,0.0996,0.131,56.821999999999996,314763
18,18,0.633,0.405,5,-13.289000000000001,1,0.0347,0.6729999999999999,0.898,0.087,0.38799999999999996,81.99799999999999,311800
19,19,0.769,0.752,11,-6.095,0,0.0521,0.00385,0.866,0.175,0.622,115.991,306734
20,20,0.763,0.5920000000000001,10,-8.987,1,0.0313,0.325,0.862,0.0815,0.675,121.065,304357
21,21,0.445,0.14400000000000002,1,-17.051,1,0.0367,0.929,0.664,0.16399999999999998,0.20600000000000002,138.898,304293
22,22,0.659,0.695,11,-9.208,0,0.0613,0.38299999999999995,0.915,0.354,0.685,74.984,303067
23,23,0.386,0.106,0,-19.209,0,0.0308,0.977,0.941,0.121,0.16,101.78399999999999,301500
24,24,0.431,0.174,0,-19.689,1,0.0373,0.9359999999999999,0.897,0.109,0.10800000000000001,107.63,301595
25,25,0.73,0.649,3,-9.818,0,0.0554,0.547,0.48100000000000004,0.0722,0.6659999999999999,103.015,285171
26,26,0.523,0.619,8,-6.097,1,0.0267,0.252,0.7909999999999999,0.172,0.336,80.013,282533
27,27,0.6609999999999999,0.7390000000000001,5,-7.38,0,0.0688,0.0816,0.0532,0.0932,0.485,104.175,281747
28,28,0.493,0.297,4,-18.663,0,0.0335,0.892,0.9640000000000001,0.11,0.525,125.54299999999999,279000
29,29,0.7829999999999999,0.62,5,-8.4,0,0.0318,0.444,2.85e-06,0.0909,0.419,134.054,273282
30,30,0.7,0.912,11,-6.5920000000000005,0,0.0472,0.115,0.93,0.0947,0.807,99.99799999999999,272400
31,31,0.39799999999999996,0.5770000000000001,7,-6.091,0,0.23800000000000002,0.237,0.000145,0.0662,0.652,198.743,271189
32,32,0.53,0.718,7,-7.472,0,0.0382,0.0629,0.0391,0.0779,0.479,89.848,267914
33,33,0.33899999999999997,0.617,7,-9.396,0,0.0312,0.893,0.9329999999999999,0.0857,0.726,91.32799999999999,264187
