,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.568,0.981,2,-3.889,1,0.0887,0.0026899999999999997,0.00275,0.0243,0.307,135.14600000000002,284120
1,1,0.5429999999999999,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.17299999999999,515387
2,2,0.43,0.7040000000000001,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,315120
3,3,0.61,0.8909999999999999,4,-5.452000000000001,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733
4,4,0.354,0.982,4,-3.0260000000000002,0,0.168,0.00023700000000000001,0.000294,0.204,0.19399999999999998,143.77200000000002,252613
5,5,0.415,0.9079999999999999,2,-9.701,1,0.0765,0.004370000000000001,0.0345,0.08199999999999999,0.43700000000000006,114.816,243533
6,6,0.5770000000000001,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267
7,7,0.695,0.8759999999999999,3,-4.262,0,0.0553,0.0009960000000000001,6.89e-06,0.106,0.941,89.954,279213
8,8,0.32899999999999996,0.9740000000000001,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.23399999999999999,140.862,166920
9,9,0.556,0.981,1,-2.688,0,0.128,0.00662,0.0,0.218,0.716,101.42299999999999,255467
10,10,0.435,0.987,1,-4.667,0,0.16,0.000195,0.0847,0.268,0.10099999999999999,103.16,365827
11,11,0.29100000000000004,0.9740000000000001,6,-2.997,0,0.171,0.0177,5.44e-06,0.8859999999999999,0.348,134.724,278600
12,12,0.419,0.878,7,-6.352,1,0.0553,0.000594,0.5589999999999999,0.139,0.6659999999999999,147.385,264800
13,13,0.39799999999999996,0.9390000000000001,9,-2.865,0,0.0648,0.00591,0.0008810000000000001,0.35700000000000004,0.235,92.027,342821
14,14,0.27399999999999997,0.726,9,-11.540999999999999,1,0.0449,0.000212,0.0113,0.0993,0.426,146.44899999999998,422933
15,15,0.45299999999999996,0.9059999999999999,9,-4.001,1,0.115,0.361,0.0005690000000000001,0.26,0.473,137.575,296200
16,16,0.40399999999999997,0.9690000000000001,8,-2.938,1,0.195,8.51e-05,0.0114,0.268,0.29,173.878,245227
17,17,0.366,0.956,10,-3.725,0,0.10800000000000001,0.000293,0.00447,0.449,0.159,104.016,230127
18,18,0.14800000000000002,0.9079999999999999,9,-7.336,1,0.11699999999999999,4.66e-06,0.614,0.0723,0.0707,93.88799999999999,243360
19,19,0.37200000000000005,0.888,2,-5.88,1,0.0943,0.00021099999999999998,0.00442,0.115,0.555,141.374,305293
20,20,0.43700000000000006,0.695,7,-9.447000000000001,1,0.0617,0.0011099999999999999,0.0857,0.124,0.413,102.178,447440
21,21,0.33899999999999997,0.991,2,-5.0280000000000005,1,0.145,0.00024900000000000004,0.0032700000000000003,0.261,0.185,106.76700000000001,300093
22,22,0.322,0.932,4,-4.252,0,0.163,8.57e-05,0.8170000000000001,0.0969,0.376,138.042,244160
23,23,0.428,0.8740000000000001,4,-6.664,0,0.128,0.000337,0.0419,0.311,0.261,119.708,212253
24,24,0.332,0.769,9,-11.503,1,0.0765,0.00367,0.00413,0.0372,0.525,157.378,354774
25,25,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.6609999999999999,88.785,313573
26,26,0.402,0.9940000000000001,8,-7.337999999999999,0,0.0623,3.79e-05,0.0934,0.145,0.247,104.111,199867
27,27,0.311,0.6579999999999999,6,-13.529000000000002,1,0.0406,0.0706,0.10400000000000001,0.09300000000000001,0.353,151.813,314720
28,28,0.302,0.805,6,-11.395,0,0.0967,0.000849,4.19e-06,0.151,0.578,112.766,275387
29,29,0.508,0.912,9,-8.049,0,0.0368,7.06e-05,0.40299999999999997,0.0492,0.682,117.58200000000001,252693
30,30,0.475,0.953,2,-6.95,1,0.147,0.000288,0.00337,0.10400000000000001,0.22399999999999998,118.03299999999999,199227
31,31,0.547,0.963,4,-2.3369999999999997,0,0.0744,0.000443,0.0251,0.353,0.441,130.061,268587
32,32,0.278,0.985,11,-1.9340000000000002,1,0.129,0.000234,0.00023500000000000002,0.10400000000000001,0.342,104.803,277800
33,33,0.462,0.996,11,-2.9730000000000003,0,0.231,5.7999999999999994e-05,0.0037700000000000003,0.139,0.145,122.072,215600
34,34,0.42700000000000005,0.946,7,-2.188,1,0.0469,0.000118,0.0253,0.0604,0.237,101.305,260773
35,35,0.451,0.993,1,-4.143,1,0.185,0.000562,0.00479,0.152,0.14,100.82700000000001,254000
36,36,0.517,0.95,9,-7.1770000000000005,0,0.0437,7.759999999999999e-05,0.888,0.33799999999999997,0.586,132.02,284720
37,37,0.374,0.945,7,-4.949,1,0.0946,0.0009699999999999999,0.0,0.0746,0.226,146.626,292747
38,38,0.515,0.9129999999999999,1,-4.5489999999999995,0,0.03,2.56e-05,0.145,0.0687,0.49,95.006,264385
39,39,0.508,0.613,8,-4.788,0,0.0283,0.35200000000000004,1.1e-05,0.155,0.23,139.701,320467
40,40,0.466,0.361,2,-11.991,0,0.0308,0.0282,0.0,0.155,0.5429999999999999,125.10799999999999,199213
41,41,0.249,0.792,4,-6.456,0,0.047,0.0261,0.0336,0.149,0.415,177.899,435453
42,42,0.42100000000000004,0.976,4,-4.961,0,0.14800000000000002,0.0006940000000000001,2.12e-06,0.106,0.284,101.70100000000001,276613
43,43,0.183,0.752,1,-8.802999999999999,0,0.141,0.0147,0.0054399999999999995,0.43,0.158,135.202,462507
44,44,0.41600000000000004,0.938,2,-14.079,1,0.083,8.44e-05,0.32,0.33899999999999997,0.12300000000000001,140.089,228667
45,45,0.496,0.62,4,-7.457999999999999,0,0.0265,0.00386,1.47e-06,0.114,0.27899999999999997,140.06,384013
46,46,0.484,0.941,7,-4.593999999999999,0,0.0753,0.000615,9.059999999999999e-05,0.276,0.2,122.012,306047
47,47,0.534,0.929,1,-3.609,1,0.047,0.000206,5.5799999999999994e-05,0.036000000000000004,0.447,122.73299999999999,266240
48,48,0.336,0.978,7,-2.358,1,0.0846,0.000437,0.000525,0.138,0.496,129.842,315177
49,49,0.28800000000000003,0.9740000000000001,9,-3.583,0,0.16699999999999998,0.0003,0.0241,0.0816,0.11699999999999999,180.019,406933
