,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.763,0.8420000000000001,7,-7.676,0,0.0586,0.0155,2.37e-05,0.13699999999999998,0.9670000000000001,140.121,174857
1,1,0.625,0.725,9,-7.907,0,0.0878,0.249,0.000138,0.10800000000000001,0.5489999999999999,84.86399999999999,158118
2,2,0.563,0.38299999999999995,8,-13.698,0,0.107,0.452,1.1599999999999999e-05,0.10800000000000001,0.284,130.045,192444
3,3,0.6559999999999999,0.5589999999999999,4,-8.39,0,0.0371,0.0519,0.000909,0.175,0.21899999999999997,158.08100000000002,189165
4,4,0.727,0.552,0,-8.531,0,0.0494,0.0556,9.64e-06,0.324,0.726,98.911,136053
5,5,0.7490000000000001,0.373,10,-10.908,1,0.609,0.0599,0.0,0.0577,0.615,119.92,152280
6,6,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,200040
7,7,0.382,0.6859999999999999,6,-6.643,1,0.0638,0.469,6.77e-05,0.126,0.34299999999999997,89.999,211882
8,8,0.774,0.391,5,-6.752999999999999,1,0.165,0.6459999999999999,0.00165,0.0751,0.42,134.05700000000002,222090
9,9,0.7759999999999999,0.34299999999999997,5,-13.187999999999999,0,0.135,0.0704,8.32e-05,0.12,0.254,115.057,183652
10,10,0.71,0.617,1,-7.2829999999999995,0,0.0394,0.128,1.0800000000000002e-05,0.0977,0.22399999999999998,89.985,226000
11,11,0.4,0.512,3,-13.134,0,0.127,0.3,0.0,0.149,0.585,151.84799999999998,240039
12,12,0.6509999999999999,0.47700000000000004,2,-6.775,1,0.0443,0.0796,0.0,0.1,0.217,112.66799999999999,191587
13,13,0.647,0.542,9,-10.184,0,0.047,0.455,0.00375,0.10800000000000001,0.46299999999999997,114.01700000000001,229904
14,14,0.733,0.413,6,-7.797000000000001,0,0.16699999999999998,0.275,4.85e-05,0.0833,0.5760000000000001,76.062,206773
15,15,0.622,0.446,9,-9.647,0,0.22,0.318,0.0135,0.0904,0.168,68.85,215045
16,16,0.627,0.55,6,-9.52,1,0.0242,0.273,7.87e-06,0.262,0.5,111.00299999999999,342667
17,17,0.665,0.695,0,-5.763,1,0.0532,0.34700000000000003,0.0,0.106,0.7070000000000001,90.119,227387
18,18,0.662,0.507,5,-8.238,1,0.11800000000000001,0.257,0.0,0.0465,0.6759999999999999,86.412,223440
19,19,0.6859999999999999,0.588,7,-8.343,0,0.0554,0.17800000000000002,0.0,0.0954,0.617,94.51899999999999,249120
20,20,0.743,0.675,8,-4.2669999999999995,0,0.0953,0.0251,0.000717,0.0685,0.59,92.90899999999999,214400
21,21,0.684,0.455,5,-8.216000000000001,1,0.0307,0.215,1.08e-06,0.263,0.48700000000000004,97.956,216893
22,22,0.8390000000000001,0.706,5,-6.104,0,0.19899999999999998,0.20800000000000002,0.0,0.242,0.8390000000000001,96.67299999999999,245133
23,23,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960
24,24,0.6729999999999999,0.368,8,-11.398,1,0.0414,0.24,0.00133,0.0811,0.409,74.938,416027
25,25,0.6409999999999999,0.504,7,-12.485999999999999,1,0.031,0.19699999999999998,9.01e-05,0.28800000000000003,0.276,130.786,288827
26,26,0.594,0.521,0,-11.033,1,0.0417,0.161,0.00556,0.0382,0.789,167.56900000000002,328240
27,27,0.609,0.551,6,-7.93,1,0.0291,0.0233,0.0,0.23399999999999999,0.512,127.956,256040
28,28,0.633,0.424,6,-5.965,1,0.0346,0.47200000000000003,0.0,0.114,0.257,113.911,332200
29,29,0.469,0.594,7,-8.209,1,0.0403,0.0663,0.0,0.0806,0.485,167.22299999999998,222760
30,30,0.364,0.475,5,-10.423,0,0.0408,0.763,0.0,0.10099999999999999,0.14800000000000002,130.184,214467
31,31,0.457,0.285,5,-15.172,1,0.0299,0.597,2.54e-05,0.0801,0.27699999999999997,83.18799999999999,355067
32,32,0.67,0.518,4,-8.887,1,0.0443,0.132,0.0,0.10800000000000001,0.53,71.017,304733
33,33,0.57,0.48,1,-8.611,1,0.0239,0.162,0.0,0.0795,0.113,106.027,256853
34,34,0.713,0.754,6,-5.277,1,0.0271,0.0298,0.0,0.136,0.564,120.079,381733
35,35,0.713,0.737,8,-7.42,0,0.0318,0.0377,0.0,0.102,0.855,141.691,272933
36,36,0.322,0.25,0,-11.450999999999999,0,0.03,0.892,0.0,0.12,0.35200000000000004,137.714,212640
37,37,0.684,0.561,2,-6.593999999999999,1,0.0303,0.037000000000000005,0.0,0.0961,0.395,126.031,362093
38,38,0.466,0.759,8,-4.978,0,0.19899999999999998,0.0521,0.0,0.0587,0.32799999999999996,160.033,264373
39,39,0.34,0.336,8,-7.287999999999999,1,0.0289,0.765,0.00011399999999999999,0.126,0.0932,142.631,234053
40,40,0.601,0.546,0,-10.167,1,0.0298,0.19399999999999998,0.0021,0.361,0.45299999999999996,129.293,265773
41,41,0.6729999999999999,0.456,1,-6.537000000000001,1,0.0234,0.209,0.0,0.0701,0.18100000000000002,91.944,280333
