,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.5379999999999999,0.9690000000000001,11,-5.626,0,0.0906,0.41700000000000004,0.0015400000000000001,0.11900000000000001,0.9279999999999999,138.65200000000002,165790
1,1,0.769,0.36700000000000005,2,-11.225999999999999,1,0.0312,0.684,1.62e-05,0.081,0.535,103.62100000000001,163756
2,2,0.805,0.5579999999999999,0,-5.226,1,0.040999999999999995,0.16399999999999998,2.2e-05,0.0546,0.965,114.95,147600
3,3,0.265,0.8240000000000001,1,-5.654,0,0.0991,0.0991,0.0,0.359,0.8109999999999999,203.206,232600
4,4,0.815,0.36,10,-15.524000000000001,0,0.11,0.47,0.0185,0.0403,0.895,121.462,417093
5,5,0.611,0.578,1,-14.171,1,0.0676,0.0598,0.0219,0.0983,0.884,100.625,266133
6,6,0.7559999999999999,0.397,7,-10.700999999999999,0,0.0522,0.57,0.0115,0.0542,0.507,101.985,199396
7,7,0.7290000000000001,0.324,8,-13.017000000000001,0,0.0393,0.195,0.0,0.10099999999999999,0.679,116.855,195267
8,8,0.805,0.601,0,-9.7,0,0.0579,0.11900000000000001,0.000129,0.0581,0.746,94.382,238600
9,9,0.6679999999999999,0.828,7,-6.517,1,0.0616,0.249,7.21e-06,0.162,0.755,129.285,147267
10,10,0.65,0.32299999999999995,0,-8.698,1,0.0283,0.213,0.0,0.187,0.276,110.962,166973
11,11,0.867,0.746,7,-7.445,1,0.0475,0.0453,0.0,0.12300000000000001,0.9329999999999999,118.616,327573
12,12,0.494,0.723,0,-14.49,1,0.0451,0.245,1.1599999999999999e-05,0.212,0.857,120.87200000000001,276037
13,13,0.212,0.38299999999999995,10,-10.071,1,0.0347,0.723,0.0,0.299,0.452,173.79,191160
14,14,0.657,0.501,1,-13.206,0,0.0647,0.155,8.66e-06,0.0549,0.7390000000000001,165.9,162947
15,15,0.539,0.24,3,-16.632,0,0.0426,0.687,5.12e-05,0.133,0.5670000000000001,80.816,167373
16,16,0.469,0.5379999999999999,8,-13.559000000000001,1,0.0571,0.305,0.00011999999999999999,0.37,0.8859999999999999,196.605,176333
17,17,0.634,0.677,2,-7.19,1,0.0448,0.318,0.0,0.0902,0.9390000000000001,95.792,179120
18,18,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,167933
