no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,0,0.598,0.735,1,0.745268474,1,0.0973,0.44,0.000215,0.681,0.615,0.513691791,1
2,0,0.692,0.493,1,0.777698033,0,0.0325,0.0934,0.00166,0.128,0.28,0.400510322,1
3,0,0.821,0.376,0,0.672434875,1,0.0487,0.669,1.39E-05,0.106,0.824,0.550255623,1
4,0,0.661,0.342,1,0.599627858,0,0.043,0.844,0.000128,0.26,0.588,0.675427811,1
5,0,0.542,0.588,1,0.788171186,1,0.0665,0.67,0.158,0.241,0.881,0.526722568,1
6,0,0.745,0.436,1,0.778894205,0,0.043,0.597,0.0213,0.61,0.771,0.527961393,1
7,0,0.294,0.736,1,0.822913344,0,0.151,0.282,0.0418,0.102,0.753,0.964138785,1
8,0,0.541,0.283,0,0.671451356,1,0.0527,0.805,0.0367,0.0736,0.564,0.35513604,1
9,0,0.596,0.545,1,0.797607656,0,0.064,0.456,5.53E-05,0.329,0.718,0.679287583,1
10,0,0.353,0.921,1,0.88460925,1,0.0758,0.0488,0.065,0.314,0.526,0.672982518,1
11,0,0.513,0.546,0,0.617942584,1,0.0391,0.333,0,0.17,0.834,0.39534701,1
12,0,0.565,0.526,0,0.73277512,1,0.0365,0.0339,0.000119,0.11,0.637,0.776281121,1
13,0,0.676,0.334,1,0.753508772,1,0.0508,0.862,0,0.32,0.867,0.730352141,1
14,0,0.675,0.311,1,0.716640085,1,0.0525,0.93,0.000261,0.102,0.638,0.449115719,1
15,0,0.629,0.0192,1,0.504173312,1,0.0833,0.989,4.30E-05,0.106,0.335,0.782373552,1
16,0,0.256,0.423,1,0.715709729,1,0.035,0.000788,0.402,0.25,0.441,0.800937439,1
17,0,0.606,0.301,0,0.731446039,1,0.0423,0.545,0.00194,0.0419,0.457,0.4667736,1
18,0,0.613,0.934,0,0.935885167,1,0.0342,0.0406,0.000313,0.0882,0.776,0.495867501,1
19,0,0.582,0.302,1,0.725544923,1,0.0353,0.947,0.0107,0.0931,0.642,0.435844574,1
20,0,0.678,0.612,1,0.774986709,1,0.0339,0.101,0.318,0.164,0.857,0.54721403,1
21,0,0.797,0.431,0,0.597076023,1,0.0625,0.414,0.0359,0.138,0.809,0.507978404,1
22,0,0.633,0.625,0,0.743434343,1,0.0436,0.492,0.000418,0.204,0.841,0.477756617,1
23,0,0.678,0.551,1,0.839633174,1,0.0261,0.266,0.00322,0.254,0.767,0.451926188,1
24,0,0.393,0.358,1,0.779399256,0,0.0471,0.33,0.0313,0.12,0.598,0.832393429,1
25,0,0.803,0.288,1,0.624694312,0,0.0629,0.865,0.0593,0.0833,0.865,0.534751819,1
26,0,0.673,0.481,1,0.771903243,1,0.0488,0.0764,4.00E-05,0.127,0.767,0.541232539,1
27,0,0.277,0.479,1,0.809037746,0,0.0495,0.585,0.0224,0.16,0.483,0.249174887,1
28,0,0.433,0.7,1,0.816640085,1,0.163,0.843,0.324,0.102,0.8,0.372678358,1
29,0,0.656,0.551,1,0.658639022,1,0.0889,0.171,0.000155,0.0676,0.773,0.580856453,1
30,0,0.462,0.796,1,0.869670388,1,0.0322,0.384,0,0.296,0.824,0.943115738,1
31,0,0.425,0.781,1,0.924906964,1,0.0645,0.622,0.000648,0.154,0.862,0.915334621,1
32,0,0.633,0.553,1,0.808984583,1,0.0603,0.871,0.00266,0.0555,0.846,0.73552932,1
