,no,playlist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,1,0,0.6255230125523012,0.7368818992892787,1,0.7452684742158427,0.1597701149425288,0.44176445644815976,0.00022302904564319714,0.69180361439615,0.632065775950668,0.5136917913966367,1
1,2,0,0.7238493723849373,0.49291798981803514,1,0.7776980329611909,0.05336617405582922,0.09377086041386495,0.0017219917012447628,0.12558234782163513,0.28776978417266186,0.40051032200208936,1
2,3,0,0.858786610878661,0.3749684963959877,0,0.672434875066454,0.07996715927750409,0.6716852108966695,1.4419087136952058e-05,0.10305636614959302,0.8468653648509764,0.5502556232492349,1
3,4,0,0.6914225941422594,0.3406925752306065,1,0.5996278575225944,0.07060755336617408,0.8473888442088495,0.00013278008298756028,0.2607382378538883,0.60431654676259,0.675427810700121,1
4,5,0,0.5669456066945607,0.5886889460154241,1,0.7881711855396066,0.10919540229885061,0.6726892316584534,0.1639004149377593,0.24128398095530645,0.9054470709146967,0.5267225678811467,1
5,6,0,0.7792887029288703,0.4354554160996018,1,0.7788942052099946,0.07060755336617408,0.5993957160482297,0.022095435684647335,0.619106128090923,0.7923946557040081,0.5279613930311463,1
6,7,0,0.30753138075313813,0.7378900146176722,1,0.8229133439659756,0.2479474548440066,0.2831291760863057,0.043360995850622364,0.09896073311831255,0.7738951695786228,0.9641387853966551,1
7,8,0,0.5658995815899582,0.2812137708553859,0,0.6714513556618821,0.08653530377668306,0.8082320344992779,0.03807053941908711,0.06988173859622182,0.579650565262076,0.3551360396424048,1
8,9,0,0.6234309623430963,0.5453399868945008,1,0.7976076555023923,0.1050903119868637,0.45782878863670184,5.736514522824976e-05,0.33138790764347514,0.7379239465570401,0.6792875830891122,1
9,10,0,0.36924686192468625,0.9243913503704824,1,0.8846092503987241,0.12446633825944176,0.04899153443830373,0.06742738589211617,0.31602928377617356,0.5405960945529291,0.6729825177734429,1
10,11,0,0.5366108786610879,0.5463481022228943,0,0.6179425837320575,0.06420361247947459,0.334334234937284,0.0,0.16858649465007935,0.8571428571428572,0.395347009716457,1
11,12,0,0.5910041841004183,0.526185795655023,0,0.7327751196172249,0.05993431855500819,0.03403162508772384,0.00012344398340247142,0.10715199918087337,0.6546762589928058,0.7762811208594117,1
12,13,0,0.7071129707112971,0.3326276526034577,1,0.7535087719298245,0.08341543513957306,0.8654612179209593,0.0,0.32217273332309415,0.8910585817060638,0.7303521406713692,1
13,14,0,0.7060669456066946,0.30944100005040576,1,0.7166400850611376,0.0862068965517242,0.9337346297222636,0.0002707468879667996,0.09896073311831255,0.6557040082219938,0.44911571921195925,1
14,15,0,0.6579497907949791,0.015272947225162592,1,0.5041733120680489,0.13678160919540228,0.9929718546675129,4.460580912868384e-05,0.10305636614959302,0.3442959917780062,0.782373552007544,1
15,16,0,0.2677824267782427,0.4223499168304854,1,0.7157097288676236,0.05747126436781613,0.0007864896235357799,0.41701244813278016,0.2504991552756872,0.4532374100719425,0.800937439329925,1
16,17,0,0.6338912133891214,0.2993598467664701,0,0.7314460393407761,0.0694581280788178,0.5471866364354677,0.0020124481327801202,0.03742384682332467,0.4696813977389518,0.4667736000813556,1
17,18,0,0.641213389121339,0.9374968496395988,0,0.9358851674641149,0.05615763546798025,0.040758564191675895,0.00032468879668046124,0.08483079916039526,0.7975334018499486,0.4958675011787328,1
18,19,0,0.6087866108786611,0.3003679620948636,1,0.7255449229133439,0.05796387520525448,0.9508029826725897,0.011099585062240624,0.08984794962371367,0.6598150051387461,0.43584457366849405,1
19,20,0,0.7092050209205021,0.6128837138968698,1,0.7749867091972356,0.055665024630541904,0.10140141820342252,0.3298755186721991,0.16244304510315877,0.880781089414183,0.5472140301570719,1
20,21,0,0.8336820083682009,0.4304148394576339,0,0.5970760233918129,0.10262725779967163,0.4156599166417787,0.037240663900414916,0.13582143039983618,0.8314491264131553,0.5079784037645492,1
21,22,0,0.6621338912133892,0.6259892131659862,0,0.7434343434343434,0.07159277504105088,0.49397353606092187,0.0004336099585062758,0.20339937541596276,0.8643371017471737,0.4777566170828441,1
22,23,0,0.7092050209205021,0.5513886788648622,1,0.8396331738437002,0.042857142857142816,0.26706484389776364,0.003340248962655612,0.2545947883069677,0.7882836587872559,0.4519261882089731,1
23,24,0,0.41108786610878656,0.35682242048490354,1,0.7793992557150452,0.07733990147783254,0.3313221726519323,0.03246887966804979,0.11739108175907442,0.6145940390544707,0.8323934286797267,1
24,25,0,0.8399581589958158,0.2862543474973538,1,0.6246943115364169,0.10328407224958946,0.868473280206311,0.06151452282157677,0.07981364869707674,0.8890030832476876,0.5347518189466288,1
25,26,0,0.7039748953974895,0.48082060587731235,1,0.7719032429558745,0.08013136288998357,0.0767025074635389,4.149377593365422e-05,0.12455843956381507,0.7882836587872559,0.5412325385746115,1
26,27,0,0.2897489539748954,0.4788043752205252,1,0.8090377458798512,0.08128078817733986,0.587347466906823,0.023236514522821605,0.1583474120718784,0.49640287769784175,0.24917488698031742,1
