no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,0,0.598,0.735,1,0.722536485,1,0.0973,0.44,0.000215,0.681,0.615,0.532798596,1
2,0,0.692,0.493,1,0.754048818,0,0.0325,0.0934,0.00166,0.128,0.28,0.415407334,1
3,0,0.821,0.376,0,0.651762883,1,0.0487,0.669,1.39E-05,0.106,0.824,0.570722423,1
4,0,0.711,0.483,1,0.714038486,1,0.0298,0.434,0.012,0.0284,0.884,0.439417766,1
5,0,0.661,0.342,1,0.58101511,0,0.043,0.844,0.000128,0.26,0.588,0.700550399,1
6,0,0.542,0.588,1,0.764225752,1,0.0665,0.67,0.158,0.241,0.881,0.546314053,1
7,0,0.745,0.436,1,0.755211158,0,0.043,0.597,0.0213,0.61,0.771,0.547598957,1
8,0,0.294,0.736,1,0.797985277,0,0.151,0.282,0.0418,0.102,0.753,1,1
9,0,0.541,0.283,0,0.650807181,1,0.0527,0.805,0.0367,0.0736,0.564,0.368345351,1
10,0,0.596,0.545,1,0.773395325,0,0.064,0.456,5.53E-05,0.329,0.718,0.704553736,1
11,0,0.353,0.921,1,0.8579362,1,0.0758,0.0488,0.065,0.314,0.526,0.698014153,1
12,0,0.513,0.546,0,0.59881183,1,0.0391,0.333,0,0.17,0.834,0.410051971,1
13,0,0.565,0.526,0,0.710396487,1,0.0365,0.0339,0.000119,0.11,0.637,0.805154956,1
14,0,0.676,0.334,1,0.730543717,1,0.0508,0.862,0,0.32,0.867,0.757517643,1
15,0,0.675,0.311,1,0.69471781,1,0.0525,0.93,0.000261,0.102,0.638,0.465820612,1
16,0,0.629,0.0192,1,0.488260364,1,0.0833,0.989,4.30E-05,0.106,0.335,0.811473995,1
17,0,0.256,0.423,1,0.693813767,1,0.035,0.000788,0.402,0.25,0.441,0.830728368,1
18,0,0.606,0.301,0,0.709104998,1,0.0423,0.545,0.00194,0.0419,0.457,0.484135279,1
19,0,0.613,0.934,0,0.907761849,1,0.0342,0.0406,0.000313,0.0882,0.776,0.51431133,1
20,0,0.582,0.302,1,0.703370787,1,0.0353,0.947,0.0107,0.0931,0.642,0.452055845,1
21,0,0.678,0.612,1,0.751414181,1,0.0339,0.101,0.318,0.164,0.857,0.567567697,1
22,0,0.797,0.431,0,0.578535451,1,0.0625,0.414,0.0359,0.138,0.809,0.526872699,1
23,0,0.633,0.625,0,0.72075423,1,0.0436,0.492,0.000418,0.204,0.841,0.49552681,1
24,0,0.678,0.551,1,0.81423221,1,0.0261,0.266,0.00322,0.254,0.767,0.468735617,1
25,0,0.393,0.358,1,0.755701924,0,0.0471,0.33,0.0313,0.12,0.598,0.863354365,1
26,0,0.803,0.288,1,0.605372595,0,0.0629,0.865,0.0593,0.0833,0.865,0.554641953,1
27,0,0.673,0.481,1,0.748417926,1,0.0488,0.0764,4.00E-05,0.127,0.767,0.561363724,1
28,0,0.277,0.479,1,0.784502131,0,0.0495,0.585,0.0224,0.16,0.483,0.258442966,1
29,0,0.433,0.7,1,0.791889449,1,0.163,0.843,0.324,0.102,0.8,0.386540158,1
30,0,0.656,0.551,1,0.638357226,1,0.0889,0.171,0.000155,0.0676,0.773,0.602461453,1
31,0,0.462,0.796,1,0.843419863,1,0.0322,0.384,0,0.296,0.824,0.978194998,1
32,0,0.425,0.781,1,0.89709415,1,0.0645,0.622,0.000648,0.154,0.862,0.949380562,1
33,0,0.633,0.553,1,0.784450471,1,0.0603,0.871,0.00266,0.0555,0.846,0.762887389,1
34,0,0.469,0.236,1,0.565000646,1,0.0364,0.407,0.0434,0.215,0.415,0.394254373,1
35,0,0.517,0.607,1,0.901536872,1,0.0363,0.97,0.0324,0.264,0.556,0.418159328,1
36,0,0.697,0.637,1,0.702130957,0,0.0376,0.482,5.13E-05,0.257,0.807,0.491494707,1
37,0,0.73,0.235,0,0.609040424,1,0.0355,0.527,0.0112,0.0663,0.624,0.418197683,1
38,0,0.746,0.56,1,0.621619527,1,0.0565,0.494,0,0.316,0.854,0.59776772,1
39,0,0.333,0.603,0,0.78822162,1,0.176,0.331,0.0268,0.982,0.525,0.996279534,1
40,0,0.705,0.483,1,0.688260364,1,0.0542,0.15,0.0265,0.202,0.713,0.589056267,1
41,0,0.657,0.642,1,0.668345602,1,0.085,0.926,0.0165,0.12,0.737,0.529989069,1
42,0,0.642,0.599,1,0.623040165,0,0.277,0.0146,0.00238,0.164,0.889,0.747449371,1
43,0,0.321,0.625,1,0.868810539,0,0.0302,0.491,5.08E-05,0.345,0.777,0.514622967,1
44,0,0.6,0.496,1,0.757277541,1,0.062,0.759,0,0.0564,0.621,0.548725644,1
45,0,0.57,0.241,1,0.690094279,1,0.0473,0.948,0.0224,0.111,0.543,0.553045413,1
46,0,0.477,0.433,1,0.836419992,0,0.0247,0.689,0.000195,0.151,0.611,0.395635164,1
47,0,0.444,0.331,1,0.6082397,0,0.225,0.931,0.00253,0.0695,0.876,0.389090787,1
48,0,0.775,0.499,1,0.818132507,1,0.0415,0.496,0.0219,0.114,0.862,0.580392759,1
49,0,0.64,0.496,1,0.716285677,1,0.0413,0.616,4.63E-05,0.183,0.954,0.559182264,1
50,0,0.629,0.275,1,0.549735245,1,0.0606,0.889,0.00747,0.107,0.666,0.39304618,1
51,1,0.275,0.157,1,0.519256102,1,0.0636,0.89,0.842,0.186,0.304,0.351377915,1
52,1,0.343,0.0342,1,0.342606225,1,0.0406,0.991,0.92,0.1,0.0378,0.288758055,1
53,1,0.184,0.00527,1,0.041095183,0,0.0432,0.995,0.887,0.173,0.151,0.817984811,1
54,1,0.109,0.167,1,0.521399974,0,0.0382,0.91,0.92,0.109,0.0692,0.414975836,1
55,1,0.387,0.0451,1,0.36567222,1,0.0364,0.99,0.913,0.112,0.071,0.294827785,1
56,1,0.296,0.0709,1,0.241198502,0,0.0462,0.994,0.892,0.0807,0.192,0.609303084,1
57,1,0.343,0.0252,1,0.305876275,1,0.0488,0.993,0.932,0.0454,0.0395,0.32221828,1
58,1,0.204,0.0331,1,0.382564897,0,0.0487,0.927,0.825,0.0954,0.0547,0.557111077,1
