,no,playlist,key,loudness,tempo,duration_ms
0,1,0,1,0.7452684742158427,0.5136917913966367,1
1,2,0,1,0.7776980329611909,0.40051032200208936,1
2,3,0,0,0.672434875066454,0.5502556232492349,1
3,4,0,1,0.5996278575225944,0.675427810700121,1
4,5,0,1,0.7881711855396066,0.5267225678811467,1
5,6,0,1,0.7788942052099946,0.5279613930311463,1
6,7,0,1,0.8229133439659756,0.9641387853966551,1
7,8,0,0,0.6714513556618821,0.3551360396424048,1
8,9,0,1,0.7976076555023923,0.6792875830891122,1
9,10,0,1,0.8846092503987241,0.6729825177734429,1
10,11,0,0,0.6179425837320575,0.395347009716457,1
11,12,0,0,0.7327751196172249,0.7762811208594117,1
12,13,0,1,0.7535087719298245,0.7303521406713692,1
13,14,0,1,0.7166400850611376,0.44911571921195925,1
14,15,0,1,0.5041733120680489,0.782373552007544,1
15,16,0,1,0.7157097288676236,0.800937439329925,1
16,17,0,0,0.7314460393407761,0.4667736000813556,1
17,18,0,0,0.9358851674641149,0.4958675011787328,1
18,19,0,1,0.7255449229133439,0.43584457366849405,1
19,20,0,1,0.7749867091972356,0.5472140301570719,1
20,21,0,0,0.5970760233918129,0.5079784037645492,1
21,22,0,0,0.7434343434343434,0.4777566170828441,1
22,23,0,1,0.8396331738437002,0.4519261882089731,1
23,24,0,1,0.7793992557150452,0.8323934286797267,1
24,25,0,1,0.6246943115364169,0.5347518189466288,1
25,26,0,1,0.7719032429558745,0.5412325385746115,1
26,27,0,1,0.8090377458798512,0.24917488698031742,1
27,28,0,1,0.8166400850611376,0.3726783584642266,1
28,29,0,1,0.6586390217969166,0.5808564534469847,1
29,30,0,1,0.8696703880914408,0.9431157377018868,1
30,31,0,1,0.9249069643806486,0.9153346214649569,1
31,32,0,1,0.8089845826687933,0.7355293204027107,1
32,33,0,1,0.5831472620946306,0.3801159318461269,1
33,34,0,1,0.9294790005316321,0.40316362661440175,1
34,35,0,1,0.7242690058479532,0.473869109802435,1
35,36,0,0,0.6284688995215312,0.40320060646962563,1
36,37,0,1,0.6414141414141414,0.576331043663964,1
37,38,0,0,0.8128654970760234,0.9605517394399401,1
38,39,0,1,0.7099946836788942,0.5679319940462433,1
39,40,0,1,0.6895002658160553,0.5109830170014884,1
40,41,0,1,0.6428761297182349,0.7206449286751042,1
41,42,0,1,0.895800106326422,0.4961679625024268,1
42,43,0,1,0.7810207336523126,0.5290476762783474,1
43,44,0,1,0.7118819776714514,0.5332125324729354,1
44,45,0,1,0.8624667729930888,0.3814472066341861,1
45,46,0,1,0.6276448697501329,0.3751375188366137,1
46,47,0,1,0.8436469962785752,0.5595791692475524,1
